"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
2 27956.6917118178 1377 3810.75583628541 6.1 54 "day 5" "cam 1" "arena 17" "infected"
3 71067.1938723721 1444 10104.0065586175 6.4 53.7 "day 5" "cam 1" "arena 17" "control"
4 26092.5999255507 285 1224.42437605029 1.3 58.9 "day 5" "cam 1" "arena 17" "control"
1 2616.44543608927 0 0 0 60.1 "day 5" "cam 2" "arena 18" "infected"
2 19375.4584481164 650 1463.90272868606 2.9 57.2 "day 5" "cam 2" "arena 18" "infected"
3 6549.94148504964 703 1071.31836789217 3.1 57 "day 5" "cam 2" "arena 18" "control"
4 4514.34067672862 0 0 0 60.1 "day 5" "cam 2" "arena 18" "control"
1 25004.840399072 105 548.322349814913 0.5 59.7 "day 5" "cam 3" "arena 19" "infected"
2 23308.1662329857 730 1475.07879741514 3.3 56.9 "day 5" "cam 3" "arena 19" "infected"
3 26453.5050295258 359 1393.34032260485 1.6 58.6 "day 5" "cam 3" "arena 19" "control"
4 21576.1171606131 1004 2343.73064868372 4.5 55.7 "day 5" "cam 3" "arena 19" "control"
1 24454.3003784907 576 1256.27534220926 2.6 57.6 "day 5" "cam 4" "arena 20" "infected"
2 19495.4468281264 5126 6707.36006776299 22.9 37.3 "day 5" "cam 4" "arena 20" "infected"
3 23269.87797657 1012 1991.81483349063 4.5 55.6 "day 5" "cam 4" "arena 20" "control"
4 21341.1945728085 1847 3346.90376353874 8.2 51.9 "day 5" "cam 4" "arena 20" "control"
1 26429.9074552321 664 3266.43854681054 3 57.2 "day 6" "cam 1" "arena 21" "infected"
2 28520.6125257122 874 2804.53907266982 3.9 56.3 "day 6" "cam 1" "arena 21" "infected"
3 1711.60571005645 0 0 0 60.2 "day 6" "cam 1" "arena 21" "control"
4 19963.3955792327 957 2183.42208881056 4.3 55.9 "day 6" "cam 1" "arena 21" "control"
1 24682.0335206604 530 2285.31907736028 2.4 57.8 "day 6" "cam 2" "arena 22" "infected"
2 26231.5067133613 129 639.105437443375 0.6 59.6 "day 6" "cam 2" "arena 22" "infected"
3 21616.5652516608 236 799.046089116789 1.1 59.1 "day 6" "cam 2" "arena 22" "control"
4 4049.18829576791 0 0 0 60.2 "day 6" "cam 2" "arena 22" "control"
1 27663.4112301674 0 0 0 60.2 "day 6" "cam 3" "arena 23" "infected"
2 9586.66192610588 405 1348.78389973694 1.8 58.3 "day 6" "cam 3" "arena 23" "infected"
3 27414.9847946085 4361 7660.17789511995 19.4 40.7 "day 6" "cam 3" "arena 23" "control"
4 0 0 0 0 60.2 "day 6" "cam 3" "arena 23" "control"
1 25034.3493790656 1282 4028.20477664208 5.7 54.4 "day 7" "cam 1" "arena 25" "infected"
2 17237.2197327214 674 1351.67060965825 3 57.1 "day 7" "cam 1" "arena 25" "infected"
3 44815.9825902083 1054 3737.75755661301 4.7 55.4 "day 7" "cam 1" "arena 25" "control"
4 10812.7927259813 70 328.417675056031 0.3 59.8 "day 7" "cam 1" "arena 25" "control"
1 1233.93517542482 0 0 0 60.1 "day 7" "cam 2" "arena 26" "infected"
2 13716.4315700254 225 411.387204761651 1 59.1 "day 7" "cam 2" "arena 26" "infected"
3 30441.9534238741 609 2928.41185213248 2.7 57.4 "day 7" "cam 2" "arena 26" "control"
4 24197.7371986971 1007 2819.38559174089 4.5 55.6 "day 7" "cam 2" "arena 26" "control"
1 18329.3479935415 15 21.0336014589754 0.1 60.1 "day 7" "cam 3" "arena 27" "infected"
2 20027.2332274117 717 2257.62851862128 3.2 57 "day 7" "cam 3" "arena 27" "infected"
3 4811.36423326871 169 698.75931624568 0.8 59.4 "day 7" "cam 3" "arena 27" "control"
4 41981.1506563338 890 4206.84340933175 4 56.2 "day 7" "cam 3" "arena 27" "control"
1 19237.5900139973 498 1492.71355028239 2.2 57.9 "day 7" "cam 4" "arena 28" "infected"
2 32310.1153317206 697 2268.80732254213 3.1 57 "day 7" "cam 4" "arena 28" "infected"
3 20953.3838539242 347 1761.44122046069 1.5 58.6 "day 7" "cam 4" "arena 28" "control"
4 20100.3793248602 405 1157.44071235801 1.8 58.3 "day 7" "cam 4" "arena 28" "control"
1 29099.809814225 656 2768.31829148099 2.9 57.2 "day 8" "cam 1" "arena 29" "infected"
2 0 0 0 0 60.1 "day 8" "cam 1" "arena 29" "infected"
3 28801.1955387315 604 2357.34020537182 2.7 57.4 "day 8" "cam 1" "arena 29" "control"
4 27007.1021583004 1278 4351.32380537329 5.7 54.4 "day 8" "cam 1" "arena 29" "control"
1 14414.6515750103 122 1187.63283497307 0.5 59.6 "day 8" "cam 3" "arena 31" "infected"
2 29985.1041099183 242 1212.59806874478 1.1 59.1 "day 8" "cam 3" "arena 31" "infected"
3 28758.4654589357 635 1387.2904399792 2.8 57.3 "day 8" "cam 3" "arena 31" "control"
4 30104.3425122453 1788 5538.66228961328 8 52.2 "day 8" "cam 3" "arena 31" "control"
1 42200.1558943865 337 1719.35976905617 1.5 58.6 "day 8" "cam 4" "arena 32" "infected"
2 23817.1269451991 574 2453.65466614517 2.6 57.6 "day 8" "cam 4" "arena 32" "infected"
3 21150.9827266032 824 2122.06519453427 3.7 56.5 "day 8" "cam 4" "arena 32" "control"
4 33369.7049951926 569 4079.25133451358 2.5 57.6 "day 8" "cam 4" "arena 32" "control"
