"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
1 25347.5817780961 758 2543.55652661969 3.4 56.8 "day 1" "cam 1" "arena 1" "infected"
2 34542.2228063117 1097 4706.85814757114 4.9 55.2 "day 1" "cam 1" "arena 1" "infected"
3 0 0 0 0 60.1 "day 1" "cam 1" "arena 1" "control"
4 52928.5977592111 1077 7967.30472008144 4.8 55.3 "day 1" "cam 1" "arena 1" "control"
1 26767.9562171948 706 2060.58069235674 3.1 57 "day 1" "cam 2" "arena 2" "infected"
2 19034.4599255587 129 925.723668794126 0.6 59.5 "day 1" "cam 2" "arena 2" "infected"
3 38611.8286195938 553 3321.62224955528 2.5 57.7 "day 1" "cam 2" "arena 2" "control"
4 22227.7088714734 165 794.348389091724 0.7 59.4 "day 1" "cam 2" "arena 2" "control"
1 26835.1683477178 879 2389.61098237476 3.9 56.2 "day 1" "cam 3" "arena 3" "infected"
2 27810.6797683353 751 2112.81312959983 3.3 56.8 "day 1" "cam 3" "arena 3" "infected"
3 24055.1799708206 117 695.268532743115 0.5 59.6 "day 1" "cam 3" "arena 3" "control"
4 34839.0721115582 888 3899.41572143126 4 56.2 "day 1" "cam 3" "arena 3" "control"
1 22110.1297180197 227 1027.5622643667 1 59.1 "day 1" "cam 4" "arena 4" "infected"
2 33827.2617433483 818 2964.58424079502 3.6 56.5 "day 1" "cam 4" "arena 4" "infected"
3 31996.5947742852 609 2069.55292643136 2.7 57.4 "day 1" "cam 4" "arena 4" "control"
4 3257.91169356811 446 1167.88724994461 2 58.1 "day 1" "cam 4" "arena 4" "control"
1 48007.9108495682 869 4375.41713853828 3.9 56.2 "day 2" "cam 1" "arena 5" "infected"
2 40677.0107330519 509 3101.68321436659 2.3 57.8 "day 2" "cam 1" "arena 5" "infected"
3 40015.4151976815 497 3230.44347467658 2.2 57.9 "day 2" "cam 1" "arena 5" "control"
4 28076.3570008819 182 1379.7429503426 0.8 59.3 "day 2" "cam 1" "arena 5" "control"
1 37001.0276333442 759 5931.98539678999 3.4 56.7 "day 2" "cam 2" "arena 6" "infected"
2 0 0 0 0 60.1 "day 2" "cam 2" "arena 6" "infected"
3 24700.1440807236 1612 4491.73217493437 7.2 52.9 "day 2" "cam 2" "arena 6" "control"
4 39867.661639569 1091 4066.88795976164 4.9 55.2 "day 2" "cam 2" "arena 6" "control"
1 27370.4803701192 222 1822.14820743995 1 59.1 "day 2" "cam 3" "arena 7" "infected"
2 28674.1525535662 149 994.902205900839 0.7 59.5 "day 2" "cam 3" "arena 7" "infected"
3 32181.4852052375 582 3434.8497353477 2.6 57.5 "day 2" "cam 3" "arena 7" "control"
4 27208.2324748719 1344 5202.59608728531 6 54.1 "day 2" "cam 3" "arena 7" "control"
1 41135.7675549022 729 2250.51380963913 3.3 56.9 "day 2" "cam 4" "arena 8" "infected"
2 19573.4482255637 340 2206.38442879595 1.5 58.6 "day 2" "cam 4" "arena 8" "infected"
3 29372.0505074484 882 3090.36508750761 3.9 56.2 "day 2" "cam 4" "arena 8" "control"
4 20083.168191031 1263 3343.41770209492 5.6 54.5 "day 2" "cam 4" "arena 8" "control"
1 18547.794453021 282 1089.9135694834 1.3 58.9 "day 3" "cam 1" "arena 9" "infected"
2 31290.7471488671 730 2392.06180841697 3.3 56.9 "day 3" "cam 1" "arena 9" "infected"
3 20274.7453778432 1780 3175.09552978128 7.9 52.2 "day 3" "cam 1" "arena 9" "control"
4 28102.8803317939 1161 3157.24624539389 5.2 54.9 "day 3" "cam 1" "arena 9" "control"
1 41400.7338483463 341 1850.32676369407 1.5 58.6 "day 3" "cam 2" "arena 10" "infected"
