"day","camera","hour","arena","infection.status","track","total_distance_traveled_pixels","time_spent_in_open","distance_spent_in_open","minutes.moving","minutes.staying","tot.distance.cm","tot.distance.m","seconds.time.spent.in.open","open.distance.cm","open.speed.cmxmin"
"day 3","cam 3","hour 1","arena 11","control",3,24170.4674995621,239,800.478014348921,1.1,58.6,639.51,6.3951,63.9464882943144,21.18,19.3
"day 3","cam 3","hour 1","arena 11","control",4,48114.2307072303,851,7580.45246126978,3.8,55.9,1273.02,12.7302,227.692307692308,200.57,52.8
"day 3","cam 4","hour 1","arena 12","infected",1,31766.0419322079,467,3070.30683090276,2.1,58.1,840.48,8.4048,124.94983277592,81.24,38.7
"day 3","cam 4","hour 1","arena 12","infected",2,23963.2958064405,1047,3316.74466429111,4.7,55.5,634.03,6.3403,280.133779264214,87.76,18.7
"day 3","cam 4","hour 1","arena 12","control",3,24508.7646729949,576,1523.06904825337,2.6,57.6,648.46,6.4846,154.113712374582,40.3,15.5
"day 3","cam 4","hour 1","arena 12","control",4,37247.8301966072,920,4106.51386705529,4.1,56,985.52,9.8552,246.153846153846,108.65,26.5
"day 4","cam 1","hour 1","arena 13","infected",1,24624.4924678967,4300,5837.84998432912,19.2,41,651.52,6.5152,1150.5016722408,154.46,8
"day 4","cam 1","hour 1","arena 13","infected",2,69727.8292501792,1133,7247.28475115744,5.1,55.1,1844.88,18.4488,303.14381270903,191.75,37.6
"day 4","cam 1","hour 1","arena 13","control",3,48817.6876687264,373,2945.29374525056,1.7,58.5,1291.63,12.9163,99.7993311036789,77.93,45.8
"day 4","cam 1","hour 1","arena 13","control",4,42565.1404254622,152,1090.81814746488,0.7,59.5,1126.2,11.262,40.6688963210702,28.86,41.2
"day 4","cam 2","hour 1","arena 14","infected",1,29586.3096227402,442,1524.94044852582,2,58.1,782.8,7.828,118.260869565217,40.35,20.2
"day 4","cam 2","hour 1","arena 14","infected",2,30661.714338479,570,2674.40837954638,2.5,57.6,811.26,8.1126,152.508361204013,70.76,28.3
"day 4","cam 2","hour 1","arena 14","control",3,45235.4810302814,1555,7448.51511573374,6.9,53.2,1196.86,11.9686,416.053511705686,197.08,28.6
"day 4","cam 2","hour 1","arena 14","control",4,48932.4945918876,628,4081.80533711593,2.8,57.3,1294.67,12.9467,168.026755852843,108,38.6
"day 4","cam 3","hour 1","arena 15","infected",1,37077.8896028248,434,3874.27900845003,1.9,58.2,981.02,9.8102,116.120401337793,102.51,54
"day 4","cam 3","hour 1","arena 15","infected",2,40562.5176491267,901,2397.33774599282,4,56.1,1073.22,10.7322,241.070234113712,63.43,15.9
"day 4","cam 3","hour 1","arena 15","control",3,46144.6492548228,198,2033.30365257037,0.9,59.3,1220.91,12.2091,52.9765886287625,53.8,59.8
"day 4","cam 3","hour 1","arena 15","control",4,77882.9638900355,565,6759.73498638468,2.5,57.6,2060.65,20.6065,151.170568561873,178.85,71.5
"day 4","cam 4","hour 1","arena 16","infected",1,42181.709021217,706,3102.60044778532,3.1,57,1116.06,11.1606,188.896321070234,82.09,26.5
"day 4","cam 4","hour 1","arena 16","infected",2,41473.5860003626,696,4846.91013983174,3.1,57,1097.32,10.9732,186.220735785953,128.24,41.4
"day 4","cam 4","hour 1","arena 16","control",3,52826.0505148556,417,4429.60008954396,1.9,58.3,1397.69,13.9769,111.571906354515,117.2,61.7
"day 4","cam 4","hour 1","arena 16","control",4,42080.1758444387,500,3060.75026447622,2.2,57.9,1113.37,11.1337,133.779264214047,80.98,36.8
"day 5","cam 1","hour 1","arena 17","infected",1,32756.277406629,1615,4804.8394149938,7.2,52.9,866.68,8.6668,432.107023411371,127.13,17.7
"day 5","cam 1","hour 1","arena 17","infected",2,45471.5803335612,629,3579.7561644243,2.8,57.3,1203.1,12.031,168.294314381271,94.71,33.8
"day 5","cam 1","hour 1","arena 17","control",3,15636.6332688854,94,1301.07092264502,0.4,59.7,413.72,4.1372,25.1505016722408,34.42,86
"day 5","cam 1","hour 1","arena 17","control",4,66800.368052035,509,4676.72123244399,2.3,57.9,1767.43,17.6743,136.1872909699,123.74,53.8
"day 5","cam 2","hour 1","arena 18","infected",1,30415.8799294501,30,188.940550393132,0.1,59.6,804.75,8.0475,8.02675585284281,5,50
"day 5","cam 2","hour 1","arena 18","infected",2,26824.6582903199,1767,3931.06012690515,7.9,51.8,709.74,7.0974,472.775919732441,104.01,13.2
"day 5","cam 2","hour 1","arena 18","control",3,34725.565083313,899,2881.98193367517,4,55.7,918.78,9.1878,240.535117056856,76.25,19.1
"day 5","cam 2","hour 1","arena 18","control",4,35048.2029214945,434,3945.44034511714,1.9,57.8,927.32,9.2732,116.120401337793,104.39,54.9
"day 5","cam 3","hour 1","arena 19","infected",1,44501.7321100169,415,2030.0405441356,1.9,58.3,1177.44,11.7744,111.036789297659,53.71,28.3
"day 5","cam 3","hour 1","arena 19","infected",2,59954.7959594318,889,7135.98363800117,4,56.2,1586.3,15.863,237.859531772575,188.81,47.2
"day 5","cam 3","hour 1","arena 19","control",3,60084.550804339,785,5919.83308852047,3.5,56.7,1589.74,15.8974,210.033444816054,156.63,44.8
"day 5","cam 3","hour 1","arena 19","control",4,54093.2066670123,952,3363.79456618021,4.2,55.9,1431.22,14.3122,254.715719063545,89,21.2
"day 5","cam 4","hour 1","arena 20","infected",1,33112.123538225,572,1761.70781672079,2.6,56.7,876.09,8.7609,153.04347826087,46.61,17.9
"day 5","cam 4","hour 1","arena 20","infected",2,39860.2141453439,617,2574.25022299006,2.8,56.5,1054.63,10.5463,165.083612040134,68.11,24.3
"day 5","cam 4","hour 1","arena 20","control",3,34678.8562225407,3788,8379.98786009873,16.9,42.4,917.54,9.1754,1013.51170568562,221.72,13.1
