"","id","x","y","alpha","major","minor","area","frame","track"
"1",2,67.5,529.5,-90,23,13,188.5,1,3
"2",3,581.5,601.500030517578,-36.8698997497559,21.4000015258789,8.19999980926514,107.5,1,2
"3",4,1075,624.5,0,10,7,53.5,1,4
"4",5,1196,628.5,0,16,7,64.5,1,1
"5",5,66.6900024414062,534.169982910156,-81.8698959350586,25.0315818786621,11.8793954849243,203.5,2,3
"6",6,581.380004882812,601.340026855469,-36.8698997497559,21.4000015258789,7.80000019073486,107,2,2
"7",7,1075,624,0,10,6,49.5,2,4
"8",8,1190,628,0,14,6,54.5,2,1
"9",7,66.5,537,90,24,13,202.5,3,3
"10",8,580.86474609375,601.258804321289,-40.6012992858887,20.7168579101562,7.80949687957764,102.5,3,2
"11",9,1075,624,0,10,6,52,3,4
"12",10,1182,626.5,0,16,7,59.5,3,1
"13",12,67,537,-90,24,14,213,4,3
"14",13,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,103,4,2
"15",14,1169,622,0,12,6,49.5,4,1
"16",15,1075,624.5,0,10,7,52,4,4
"17",5,67,537,90,24,14,208,5,3
"18",6,581.002807617188,600.94750213623,-41.9872169494629,21.3325424194336,7.95324659347534,104.5,5,2
"19",7,1150,614,0,12,6,47.5,5,1
"20",8,1074.5,624,0,9,6,47.5,5,4
"21",9,66.5,537,90,24,13,202.5,6,3
"22",10,581.422973632812,601.384643554688,-33.6900634765625,21.3559589385986,7.76580333709717,104.5,6,2
"23",11,1139.65380859375,607.269233703613,33.6900672912598,12.4807548522949,7.48845291137695,57.5,6,1
"24",12,1075.5,624,0,9,6,42.5,6,4
"25",10,66.0540542602539,535.675689697266,-80.5376815795898,22.6870594024658,12.8231220245361,190.5,7,3
"26",11,1126,606,0,12,6,50.5,7,1
"27",12,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,105,7,2
"28",13,1074.88439941406,623.923080444336,-56.3099365234375,8.32050323486328,8.04315280914307,42,7,4
"29",8,63.7851371765137,535.460235595703,-34.5085220336914,23.7427062988281,14.7297477722168,180,8,3
"30",10,1112.01916503906,604.403861999512,11.3099327087402,11.9630842208862,5.88348484039307,45.5,8,1
"31",11,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,106.5,8,2
"32",12,1075,624.5,0,10,7,52.5,8,4
"33",8,64.5000076293945,535,-45,23.3345203399658,12.0208148956299,171.5,9,3
"34",9,1098.5,606,0,13,6,52.5,9,1
"35",10,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,106,9,2
"36",11,1075.63500976562,624.189208984375,9.46232223510742,8.54874706268311,7.06915664672852,43,9,4
"37",10,66.1382217407227,536.075088500977,-83.2901611328125,23.3682498931885,13.8456869125366,165.5,10,3
"38",11,581.422973632812,601.384643554688,-33.6900634765625,21.3559589385986,7.76580333709717,106.5,10,2
"39",12,1077.5,609,0,11,8,47,10,1
"40",13,1075,624.5,0,10,7,50,10,4
"41",9,66.2758636474609,536.310333251953,-68.1985931396484,25.9973468780518,12.2558927536011,164,11,3
"42",10,581.310363769531,600.724143981934,-41.6335372924805,22.0901012420654,7.97236680984497,109,11,2
"43",11,1066.92297363281,613.38459777832,-33.6900634765625,12.7581043243408,6.10170221328735,49.5,11,1
"44",12,1075,623.5,0,10,7,50.5,11,4
"45",6,64.0405426025391,534.256744384766,-35.5376815795898,24.6445007324219,14.4147071838379,160,12,3
"46",7,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,105,12,2
"47",8,1062.91467285156,614.73176574707,-51.3401908874512,12.4939012527466,7.65251445770264,57,12,1
"48",9,1074.5,624.5,0,11,7,51.5,12,4
"49",11,66.2738800048828,535.668807983398,-73.6104583740234,24.492036819458,10.6094532012939,159.5,13,3
"50",13,580.96484375,600.878601074219,-42.7093925476074,21.2527770996094,7.91326856613159,103.5,13,2
"51",14,1052.75012207031,618.249984741211,-45,10.6066017150879,7.07106781005859,54,13,1
"52",15,1075,624,0,10,6,41,13,4
"53",12,67.4647064208984,536.158813476562,-77.47119140625,24.8385391235352,13.1242933273315,168.5,14,3
"54",13,580.750061035156,600.749969482422,-45,21.2132034301758,7.77817440032959,104.5,14,2
"55",14,1042.5,620,0,13,6,53,14,1
"56",15,1075,624.5,0,10,7,44.5,14,4
"57",5,66,536.999984741211,-75.963752746582,27.163990020752,11.1566371917725,164,15,3
"58",6,581.002807617188,600.94750213623,-41.9872169494629,21.3325424194336,7.95324659347534,107,15,2
"59",7,1034,622,0,10,6,44,15,1
"60",8,1074.5,624.5,0,9,7,49,15,4
"61",9,66.8780517578125,536.402450561523,-77.9052429199219,25.9816074371338,12.2225313186646,172.5,16,3
"62",10,581.244018554688,601.304847717285,-38.6598091125488,21.55198097229,7.34016704559326,107,16,2
"63",11,1028.5,621.5,0,13,5,38,16,1
"64",12,1075.25012207031,624.250022888184,-45,8.48528099060059,7.77817440032959,42,16,4
"65",8,63.8414649963379,535.926818847656,-38.6598091125488,25.4563274383545,14.3679876327515,172,17,3
"66",9,581.307678222656,601.461555480957,-33.6900634765625,21.6333084106445,7.76580333709717,110.5,17,2
"67",10,1019,620.5,0,14,5,51.5,17,1
"68",11,1075,624.5,0,10,7,50,17,4
"69",5,66.022819519043,537.039428710938,-75.0685806274414,27.24782371521,11.4015712738037,168.5,18,3
"70",6,580.975219726562,600.972351074219,-41.9872169494629,21.4068717956543,7.95324659347534,110,18,2
"71",7,1005.80004882812,615.399978637695,26.5650501251221,12.5219802856445,6.26099014282227,50,18,1
"72",8,1075,624.5,0,10,7,45,18,4
"73",12,66.7941207885742,534.823516845703,-75.963752746582,23.0408821105957,11.1566371917725,165,19,3
