"","id","x","y","alpha","major","minor","area","frame","track"
"1",2,845.000061035156,98.5,-45,14.8492412567139,9.19238758087158,95,1,2
"2",4,119.5,564.5,0,11,7,67,1,3
"3",5,191.689208984375,574.864868164062,9.46232223510742,16.1111011505127,9.04194450378418,87,1,4
"4",6,1086.87805175781,591.097534179688,-38.6598052978516,17.4914627075195,10.6198167800903,113.5,1,1
"5",1,846.5,99,0,17,10,104,2,2
"6",2,122.5,563.5,0,19,9,95,2,3
"7",3,191.18000793457,576.239990234375,53.1301002502441,14.2000007629395,8.79999923706055,82,2,4
"8",5,1086.50012207031,590.999969482422,-26.5650482177734,17.8885440826416,9.3914852142334,108,2,1
"9",1,846.614868164062,98.76220703125,-5.19442749023438,15.7532196044922,10.1400032043457,98,3,2
"10",2,122.5,564,0,19,8,91,3,3
"11",3,190.941177368164,574.235290527344,14.036244392395,12.6118516921997,9.21635341644287,77,3,4
"12",5,1087.75012207031,591.249954223633,-45,16.2634563446045,8.48528099060059,81,3,1
"13",1,845.852966308594,98.5881958007812,-12.52880859375,14.8597383499146,10.1957321166992,88.5,4,2
"14",2,121.469177246094,562.33219909668,-24.4439544677734,19.4487380981445,9.93127059936523,93,4,3
"15",3,190.877349853516,574.679244995117,15.9453954696655,14.6975784301758,8.51635456085205,75,4,4
"16",5,1087.5,590,0,15,10,99,4,1
"17",1,846.000122070312,97.4999389648438,-45,17.6776695251465,9.1923885345459,94,5,2
"18",4,119,563.5,0,12,9,83.5,5,3
"19",5,191,575,0,12,10,78,5,4
"20",6,1087.79833984375,589.339447021484,16.6992416381836,14.7505264282227,12.0686111450195,111,5,1
"21",1,846.250122070312,97.7499389648438,-45,17.6776695251465,9.89949417114258,109.5,6,2
"22",2,122.5,564,0,19,8,81.5,6,3
"23",3,191.5,574.499984741211,14.036244392395,15.2797441482544,8.97381782531738,86.5,6,4
"24",4,1087.71826171875,591.646408081055,-48.0127868652344,16.649787902832,11.2980709075928,104.5,6,1
"25",1,845.750122070312,97.7499389648438,-45,16.9705619812012,9.19238758087158,97.5,7,2
"26",2,123,563.5,0,18,7,78.5,7,3
"27",3,193.688247680664,575.652938842773,12.52880859375,18.5475540161133,9.43647575378418,99.5,7,4
"28",4,1086.36474609375,589.741165161133,-4.39871215820312,19.3275184631348,9.35697269439697,100,7,1
"29",1,844.640075683594,99.0199584960938,-36.8698997497559,15,8.80000019073486,98,8,2
"30",3,120,563.5,0,14,9,86,8,3
"31",4,191.750015258789,577.249984741211,45,18.3847751617432,9.19238758087158,100,8,4
"32",5,1087,590,0,16,10,111,8,1
"33",1,845.615295410156,97.923095703125,-33.6900634765625,16.6410064697266,9.42990303039551,105,9,2
"34",2,119.500015258789,563.499984741211,-26.5650482177734,12.0747661590576,9.3914852142334,84,9,3
"35",3,191.500015258789,575.999984741211,45,14.8492412567139,7.77817440032959,81,9,4
