"","id","x","y","alpha","major","minor","area","frame","track"
"1",1,539.297302246094,104.716186523438,9.46232223510742,24.1666507720947,13.8095149993896,214,1,3
"2",2,812,123,0,14,8,66.5,1,4
"3",3,986,595.5,0,26,11,148.5,1,1
"4",1,545,107,0,24,14,227,2,3
"5",2,811.5,123,0,13,6,55.5,2,4
"6",3,987.5,594.5,0,25,11,163,2,1
"7",1,549.5,107.5,0,25,13,191.5,3,3
"8",2,810.5,123.5,0,13,7,60,3,4
"9",4,989,596,0,22,12,158,3,1
"10",1,554.834411621094,111.186279296875,41.6335411071777,23.2527351379395,14.782096862793,206,4,3
"11",2,811,123,0,10,8,60,4,4
"12",3,989.182922363281,596.353637695312,-38.6598052978516,19.2093734741211,12.9624223709106,157,4,1
"13",1,559.5,110.5,0,25,13,219.5,5,3
"14",2,809.5,123,0,13,6,58,5,4
"15",3,988.700073242188,596.39998626709,-37.8749847412109,20.4354496002197,13.4189872741699,169,5,1
"16",1,567.5,114,0,25,14,201,6,3
"17",2,810,123.5,0,10,7,54.5,6,4
"18",3,986.5,595,0,27,10,154,6,1
"19",1,573.775207519531,117.859558105469,32.0053825378418,26.8179492950439,13.3559741973877,205,7,3
"20",2,807.323608398438,122.205810546875,14.036244392395,13.8245296478271,8.00367546081543,63,7,4
"21",3,986.5,595,0,25,10,152.5,7,1
"22",1,579.140014648438,117.258666992188,3.57633447647095,26.5107746124268,13.9727373123169,221.5,8,3
"23",2,806,123.5,0,14,7,61,8,4
"24",4,987.0693359375,596.053840637207,-7.12501525878906,24.4348411560059,11.783299446106,172.5,8,1
"25",1,804,123.5,0,14,7,63,9,4
"26",2,585,120,0,26,14,221,9,3
"27",3,986.5,595,0,23,10,152,9,1
"28",1,804.5,123,0,13,6,50.5,10,4
"29",2,590,120.5,0,26,13,214,10,3
"30",3,987,595,0,24,12,164,10,1
"31",1,805,123.5,0,14,7,65.5,11,4
"32",2,593.5,122,0,25,12,206,11,3
"33",3,987,595.5,0,24,11,167.5,11,1
"34",1,805.5,124,0,13,6,54,12,4
"35",2,602.470581054688,127.38232421875,30.9637546539307,26.9252777099609,14.2343826293945,222,12,3
"36",4,989.5,595,0,17,12,150,12,1
"37",1,804.5,123.5,0,13,7,59.5,13,4
"38",2,606.961547851562,127.192321777344,29.7448825836182,24.4348392486572,14.2639942169189,218.5,13,3
"39",3,986.5,595.5,0,23,11,156.5,13,1
"40",2,806,123.5,0,12,7,57.5,14,4
"41",3,614,127,0,28,14,220.5,14,3
"42",4,987.119934082031,595.160026550293,8.13010215759277,23.1931056976318,11.3137092590332,153,14,1
"43",1,806.150085449219,123.450012207031,-18.4349517822266,11.3841991424561,7.90569353103638,63,15,4
"44",2,618.237609863281,131.11474609375,39.8055686950684,23.5587863922119,14.9803161621094,205.5,15,3
"45",3,986.669921875,595.310005187988,8.13010215759277,22.344575881958,12.3036594390869,157.5,15,1
"46",2,806.5,123,0,11,8,61.5,16,4
"47",3,625.568969726562,130.827575683594,21.8014068603516,24.6974811553955,13.7414560317993,204.5,16,3
"48",5,987.179748535156,597.38761138916,-32.0053825378418,25.7579517364502,12.2959756851196,163,16,1
"49",1,804.750061035156,122.749938964844,11.3099327087402,14.7087106704712,7.84464550018311,66,17,4
"50",2,632.600036621094,132.799926757812,26.5650501251221,26.8328151702881,13.416407585144,213,17,3
"51",3,988,595,0,22,10,146.5,17,1
"52",1,804.099975585938,123.799987792969,-18.4349517822266,15.4951591491699,7.90569353103638,72.5,18,4
"53",3,639,134.5,0,24,13,193.5,18,3
