"","X","id","x","y","alpha","major","minor","area","frame","track"
"113",113,2,886.5,107.5,0,17,7,86.5,38,4
"114",114,3,1177.29504394531,323.254150390625,50.1944274902344,19.717679977417,9.34669303894043,117,38,2
"115",115,1,1094.54321289062,105.767211914062,3.3664608001709,25.3679141998291,9.45424556732178,162,39,3
"116",116,2,886.5,107.5,0,17,7,81.5,39,4
"117",117,3,1178.88525390625,327.762298583984,50.1944313049316,17.925163269043,9.34669303894043,109.5,39,2
"118",118,1,1093.5,105.5,0,25,9,133,40,3
"119",119,2,886.5,107.5,0,17,7,74,40,4
"120",120,3,1180.81030273438,331.27587890625,68.1985931396484,17.0839710235596,9.84185314178467,115.5,40,2
"121",121,1,1093.58239746094,106.629516601562,12.5288076400757,23.753885269165,9.87033557891846,161,41,3
"122",122,2,885.5,108,0,19,8,95,41,4
"123",123,3,1181.65380859375,337.230743408203,56.3099365234375,19.4145069122314,9.70725345611572,133,41,2
"124",124,1,1094.10363769531,106.067077636719,6.34019184112549,24.5158004760742,9.6075439453125,154.5,42,3
"125",125,2,886.575500488281,106.73583984375,15.9453954696655,18.2689514160156,8.24163341522217,84.5,42,4
"126",126,3,1180.98107910156,337.933959960938,74.0546035766602,18.2689514160156,10.4394006729126,129.5,42,2
"127",127,1,1094.14831542969,105.720642089844,4.76364183425903,22.5053272247314,9.38414096832275,149.5,43,3
"128",128,2,888.5,108,0,15,8,74.5,43,4
"129",129,4,1181.90014648438,337.799957275391,63.4349517822266,18.3357563018799,9.83869934082031,126.5,43,2
"130",130,1,1093.56762695312,105.781494140625,3.1798300743103,23.2974090576172,9.37443351745605,144.5,44,3
"131",131,2,886.5,107.5,0,17,7,87,44,4
"132",132,3,1183.02001953125,339.360015869141,53.1301002502441,18.6000003814697,9.60000038146973,114.5,44,2
"133",133,1,1095,106,0,24,10,162,45,3
"134",134,2,887,108,0,16,8,81,45,4
"135",135,3,1183.25,340.25,45,17.6776695251465,9.89949417114258,118.5,45,2
"136",136,1,1095,106,0,24,10,154.5,46,3
"137",137,2,886.5,108,0,15,8,71.5,46,4
"138",138,3,1183.25012207031,340.749938964844,45,19.7989883422852,10.6066017150879,137,46,2
"139",139,2,1094,106,0,24,10,157,47,3
"140",140,3,887.5,108,0,15,8,78,47,4
"141",141,4,1184.30773925781,340.538513183594,33.6900672912598,18.859806060791,10.5393037796021,124,47,2
"142",142,1,1094.5,106,0,27,10,169,48,3
"143",143,2,887.5,107.5,0,17,7,75.5,48,4
"144",144,3,1184.16381835938,340.803344726562,39.8055686950684,19.4616050720215,10.4990253448486,139,48,2
"145",145,1,1094,106,0,24,10,164,49,3
"146",146,2,887.5,108,0,13,8,76.5,49,4
"147",147,3,1183.25,339.75,45,18.3847770690918,9.19238758087158,121,49,2
"148",148,1,1095.01110839844,105.834045410156,3.81407499313354,24.3459548950195,9.51221752166748,155.5,50,3
"149",149,2,886.5,107.5,0,19,7,87,50,4
"150",150,3,1184.00012207031,339.999877929688,45,19.7989883422852,9.89949417114258,124.5,50,2
"151",151,1,1094.15856933594,106.0732421875,6.34019184112549,24.1845073699951,9.82840633392334,162,51,3
"152",152,2,887,107.5,0,16,7,82,51,4
"153",153,3,1183.90002441406,339.699951171875,26.5650501251221,20.1246089935303,11.1803398132324,146.5,51,2
"154",154,1,1094.04150390625,105.796508789062,3.36646056175232,24.4870834350586,9.33680152893066,142,52,3
"155",155,2,886,108,0,18,8,89,52,4
"156",156,5,1183.541015625,340.049285888672,50.1944274902344,20.4859027862549,8.19436073303223,107,52,2
"157",157,2,1093.72973632812,106.12158203125,9.46232223510742,23.837854385376,9.53514099121094,144.5,53,3
"158",158,3,887,107.5,0,18,7,86.5,53,4
"159",159,4,1184.60009765625,340.799896240234,26.5650501251221,18.7829704284668,10.7331256866455,113.5,53,2
"160",160,1,1095,106,0,26,10,168,54,3
"161",161,2,886.5,107.5,0,17,7,88,54,4
"162",162,4,1183.22009277344,341.9599609375,53.1301002502441,17.7999992370605,10.3999996185303,126,54,2
"163",163,1,1094.5,106,0,25,10,171,55,3
"164",164,2,887.5,108,0,17,8,81.5,55,4
"165",165,3,1183.84997558594,340.949981689453,18.4349498748779,17.3925247192383,10.7517433166504,125,55,2
"166",166,1,1094.5,106,0,25,10,153,56,3
"167",167,2,885.5,107.5,0,19,7,86,56,4
"168",168,3,1184.5751953125,341.871643066406,48.8140754699707,17.6855525970459,9.8775691986084,121.5,56,2
"169",169,1,1094,105.5,0,24,9,140,57,3
"170",170,2,885.5,108,0,19,8,84.5,57,4
"171",171,3,1185.00024414062,340.999969482422,26.5650501251221,17.888542175293,10.7331266403198,117.5,57,2
"172",172,1,1093.57592773438,105.785949707031,3.57633447647095,23.3294811248779,9.48149967193604,154.5,58,3
"173",173,2,885.5,108,0,19,8,88,58,4
"174",174,3,1183.90563964844,342.169799804688,74.0546035766602,16.4832668304443,10.4394006729126,117,58,2
"175",175,1,1093.5,106,0,23,10,142.5,59,3
"176",176,2,886.5,108,0,17,8,80,59,4
"177",177,3,1183.51916503906,346.596160888672,78.690071105957,22.5533542633057,10.5902709960938,148.5,59,2
"178",178,1,1094.86572265625,106.207336425781,6.34019136428833,24.7366638183594,9.49711132049561,153.5,60,3
"179",179,2,886,108,0,20,8,84,60,4
"180",180,3,1182,345,-90,16,12,132.5,60,2
"181",181,1,1094,106,0,24,10,152.5,61,3
"182",182,2,886,108,0,20,8,84,61,4
"183",183,3,1181,348,-90,18,10,121,61,2
"184",184,1,1093.5,106,0,23,10,158,62,3
"185",185,2,885.5,108,0,19,8,88,62,4
"186",186,3,1182.75012207031,349.749938964844,45,14.8492422103882,11.3137073516846,120,62,2
"187",187,1,1094.17761230469,105.991455078125,6.70983695983887,24.4198188781738,9.87308502197266,153,63,3
"188",188,2,887,108,0,18,8,77.5,63,4
"189",189,3,1182.5,354.5,-90,17,11,123.5,63,2
"190",190,1,1093,106,0,22,10,150,64,3
"191",191,2,886.5,108,0,17,8,88.5,64,4
"192",192,3,1182.31555175781,357.023071289062,82.8749847412109,18.4811763763428,9.30260467529297,118,64,2
"193",193,1,1094.5,106,0,23,10,151.5,65,3
"194",194,2,886.5,108,0,19,8,88.5,65,4
"195",195,3,1182.90014648438,359.799987792969,63.4349517822266,17.4413299560547,9.83869934082031,117,65,2
"196",196,1,1094.57763671875,105.838500976562,3.81407499313354,25.3437423706055,9.44569873809814,155,66,3
"197",197,2,885.5,107.5,0,19,7,86.5,66,4
"198",198,3,1181.5,365,-90,18,9,118.5,66,2
"199",199,1,1094,105.5,0,24,9,160.5,67,3
"200",200,2,886.5,107.5,0,17,7,76,67,4
"201",201,3,1182,366,-90,18,10,130,67,2
"202",202,1,1093.6767578125,105.908569335938,6.34019184112549,23.4114856719971,9.6075439453125,147,68,3
"203",203,2,887,107.5,0,18,7,85.5,68,4
"204",204,3,1182,369,-90,18,10,113.5,68,2
"205",205,1,1094.11877441406,105.743103027344,3.01278734207153,24.2821807861328,9.46058940887451,153,69,3
"206",206,2,886,108,0,18,8,80,69,4
"207",207,3,1182.50024414062,369.999908447266,63.4349517822266,20.1246109008789,9.83869934082031,115,69,2
"208",208,1,1094.5,106,0,25,10,163,70,3
"209",209,2,886.5,108,0,17,8,89.5,70,4
"210",210,3,1183.40014648438,370.299957275391,63.4349517822266,18.7829704284668,10.2859125137329,118.5,70,2
"211",211,1,1093,106,0,24,10,156,71,3
"212",212,2,885,108,0,18,8,80,71,4
"213",213,3,1182.75012207031,370.249938964844,45,15.5563488006592,12.0208148956299,119,71,2
"214",214,1,1094.6142578125,105.901000976562,4.08561658859253,23.2977848052979,9.4046106338501,140.5,72,3
"215",215,2,887,108,0,18,8,86.5,72,4
"216",216,3,1182.60009765625,370.299957275391,71.5650482177734,18.657434463501,9.80305957794189,119,72,2
"217",217,1,1094.0634765625,105.792846679688,3.01278734207153,24.2821807861328,9.35547256469727,150,73,3
"218",218,2,887,108,0,16,8,82,73,4
"219",219,3,1180.5,374.5,-90,19,9,121,73,2
"220",220,1,1093.5,105.5,0,23,9,146,74,3
"221",221,2,886.5,108,0,15,8,75,74,4
"222",222,3,1180.5,374.5,-90,17,9,112,74,2
"223",223,1,886.5,107.5,0,17,7,77.5,75,4
"224",224,2,1093.93994140625,106.419982910156,8.13010215759277,24.6073188781738,10.465181350708,161.5,75,3
"225",225,3,1181.5,378.5,-90,15,11,119,75,2
"226",226,1,1094.5,106,0,25,10,168,76,3
"227",227,2,888,107.5,0,14,7,77.5,76,4
"228",228,3,1180.5,383,-90,18,9,108,76,2
"229",229,2,1093.60400390625,105.960388183594,5.71059322357178,23.681884765625,9.95037269592285,161,77,3
"230",230,3,887,108,0,16,8,74.5,77,4
"231",231,4,1182.5,386.5,-90,19,11,112.5,77,2
"232",232,1,1093.98449707031,105.763793945312,3.36646056175232,22.3730926513672,9.51296806335449,154.5,78,3
"233",233,2,886.5,107.5,0,17,7,65.5,78,4
"234",234,3,1184.52307128906,386.815368652344,52.1250152587891,19.1198635101318,10.5246953964233,128,78,2
"235",235,1,1094.61596679688,105.795593261719,3.01278734207153,25.2807998657227,9.40803050994873,152,79,3
"236",236,2,886.5,107.5,0,17,7,67,79,4
"237",237,3,1184.82922363281,386.53662109375,51.3401947021484,17.8038101196289,10.9321641921997,137,79,2
"238",238,1,1093.5,105.5,0,21,9,137.5,80,3
"239",239,2,886.5,107.5,0,17,7,81.5,80,4
"240",240,3,1186.53088378906,386.946197509766,29.7448825836182,16.496618270874,13.0236463546753,143.5,80,2
"241",241,1,1094.12719726562,105.602416992188,5.19442892074585,22.4528636932373,8.96303749084473,131,81,3
"242",242,2,886.5,107.5,0,17,7,73.5,81,4
"243",243,3,1187.25012207031,386.749938964844,45,18.3847751617432,10.6066017150879,137.5,81,2
"244",244,1,1094.57067871094,105.798278808594,3.3664608001709,25.3091926574707,9.27807998657227,155.5,82,3
"245",245,2,887,107.5,0,16,7,68,82,4
"246",246,3,1186.50012207031,387.000030517578,45,16.2634544372559,10.6066017150879,126,82,2
"247",247,1,1095.02465820312,105.7294921875,5.19442892074585,22.6339359283447,9.05357360839844,130.5,83,3
"248",248,2,885.5,108,0,19,8,81,83,4
"249",249,3,1186.91479492188,386.768280029297,51.3401947021484,18.5846786499023,11.0883369445801,128,83,2
"250",250,1,1093.5,105.5,0,23,9,139,84,3
"251",251,2,887,108,0,16,8,84.5,84,4
"252",252,3,1187.10009765625,386.799987792969,26.5650501251221,18.7829704284668,10.2859125137329,124.5,84,2
"253",253,1,1093.5,105.5,0,23,9,139,85,3
"254",254,2,887,107.5,0,16,7,80.5,85,4
"255",255,3,1186.48010253906,387.359954833984,36.8698959350586,15.6000003814697,10.3999996185303,116.5,85,2
"256",256,1,1093.2099609375,106.029968261719,8.13010215759277,24.4658985137939,9.6166524887085,160,86,3
"257",257,2,886.5,107.5,0,17,7,76,86,4
"258",258,3,1186.5,387.5,-90,13,11,108.5,86,2
"259",259,2,1092.17077636719,105.963439941406,6.34019088745117,20.4298362731934,9.6075439453125,140,87,3
"260",260,3,886,108,0,16,8,78,87,4
"261",261,4,1186,389,-90,14,12,124.5,87,2
"262",262,1,1093.5,105.5,0,23,9,141.5,88,3
"263",263,2,885.5,107.5,0,19,7,78.5,88,4
"264",264,3,1186.5,390,-90,14,11,117.5,88,2
"265",265,1,1094.04870605469,105.769897460938,3.81407451629639,24.5455131530762,9.51221752166748,161,89,3
"266",266,2,886.5,108,0,19,8,69.5,89,4
"267",267,3,1187,391,-90,16,10,117,89,2
"268",268,1,1094.54870605469,105.769897460938,3.81407499313354,23.4146881103516,9.57873630523682,153.5,90,3
"269",269,2,886,108,0,18,8,80,90,4
"270",270,3,1188.13464355469,392.673065185547,78.690071105957,18.2388000488281,11.7669677734375,145,90,2
"271",271,1,1094.11572265625,105.957336425781,6.34019184112549,22.7488975524902,9.82840633392334,149,91,3
"272",272,2,886,108,0,18,8,85,91,4
"273",273,3,1188,393.5,-90,17,12,137,91,2
"274",274,1,1093.61743164062,105.741088867188,3.81407499313354,23.2816505432129,9.24614238739014,136.5,92,3
"275",275,2,885.5,108,0,19,8,83.5,92,4
"276",276,3,1186,396,-90,18,12,151.5,92,2
"277",277,1,1093.65051269531,105.743286132812,3.81407499313354,23.3481693267822,9.51221752166748,140.5,93,3
"278",278,2,887,108,0,16,8,77.5,93,4
"279",279,3,1186.5,397,-90,18,11,137.5,93,2
"280",280,1,1094.54040527344,106.256652832031,9.46232223510742,25.810640335083,9.20634365081787,156,94,3
"281",281,2,886,107.5,0,18,7,82.5,94,4
"282",282,4,1185.5,398,-90,16,9,112.5,94,2
"283",283,1,1093.98229980469,105.748657226562,4.08561658859253,22.5853157043457,9.47585773468018,140,95,3
"284",284,2,886.5,108,0,17,8,80.5,95,4
"285",285,3,1186,402,-90,20,12,143.5,95,2
"286",286,1,1094.5,106,0,23,10,152,96,3
"287",287,2,887.5,107.5,0,17,7,71.5,96,4
"288",288,3,1184.25,404.749969482422,45,14.1421356201172,12.0208148956299,124.5,96,2
"289",289,1,1094.68994140625,106.169982910156,8.13010311126709,25.4558448791504,9.75807476043701,155.5,97,3
"290",290,2,886,108,0,18,8,83.5,97,4
"291",291,3,1185.5,408.5,-90,19,11,142,97,2
"292",292,2,1094.11572265625,105.957275390625,6.34019136428833,24.7366638183594,9.82840633392334,154,98,3
"293",293,3,888,108,0,14,8,80,98,4
"294",294,4,1186,409.5,-90,21,12,151,98,2
"295",295,1,1094,106,0,24,10,148.5,99,3
"296",296,2,886.5,107.5,0,17,7,85,99,4
"297",297,3,1185,409.5,-90,19,10,136,99,2
"298",298,1,1094,105.5,0,24,9,143.5,100,3
"299",299,2,886.5,107.5,0,19,7,79,100,4
"300",300,3,1187,411.5,-90,17,10,130,100,2
"301",301,1,1093,106,0,22,10,148.5,101,3
"302",302,2,887.5,108,0,17,8,87.5,101,4
"303",303,3,1187.5,415,-90,18,11,139.5,101,2
"304",304,1,1094,105.5,0,22,9,142,102,3
"305",305,2,887,107.5,0,18,7,84,102,4
"306",306,3,1187.5,415.5,-90,17,11,128,102,2
"307",307,1,1093.57763671875,105.681030273438,3.36646032333374,23.3126449584961,9.39552402496338,146,103,3
"308",308,2,887,107.5,0,18,7,87.5,103,4
"309",309,3,1189,418,-90,16,10,129,103,2
"310",310,1,1093.51904296875,105.677551269531,3.36646032333374,23.3126449584961,9.51296806335449,155.5,104,3
"311",311,2,886,108,0,18,8,78.5,104,4
"312",312,3,1189,417.5,-90,15,10,114.5,104,2
"313",313,1,1094.21325683594,106.079284667969,6.34019184112549,24.5158004760742,9.6075439453125,146.5,105,3
"314",314,2,886.5,108,0,15,8,82.5,105,4
"315",315,3,1188.5,417.5,-90,15,11,117.5,105,2
"316",316,1,1093.59533691406,105.783081054688,3.1798300743103,23.3528785705566,9.37443351745605,147.5,106,3
"317",317,2,884.327026367188,109.134643554688,-11.309928894043,15.8854074478149,8.62910938262939,85,106,4
"318",318,3,1188.13854980469,417.892303466797,-82.8749847412109,15.1322364807129,11.4111957550049,117.5,106,2
"319",319,1,1092.5,106,0,23,10,156,107,3
"320",320,2,882.858520507812,109.254760742188,-15.9453964233398,16.3459033966064,8.37899303436279,82.5,107,4
"321",321,3,1188.25012207031,420.249938964844,45,14.8492422103882,11.3137073516846,130.5,107,2
"322",322,1,1095.1103515625,106.124145507812,3.36646056175232,26.4249095916748,10.2176322937012,151.5,108,3
"323",323,2,883.865417480469,109.326904296875,-11.309928894043,15.2970590591431,7.64852952957153,83.5,108,4
"324",324,3,1188,420.5,-90,19,10,134,108,2
"325",325,1,1093.92309570312,105.884521484375,11.3099327087402,25.6912136077881,10.0019235610962,171.5,109,3
"326",326,2,881.923095703125,108.884582519531,11.3099327087402,15.8854074478149,8.82522583007812,76,109,4
"327",327,3,1187.5,420.5,-90,17,11,135,109,2
"328",328,1,1093.53271484375,105.639343261719,5.19442892074585,23.629825592041,9.32518100738525,148,110,3
"329",329,2,882.5,108.5,0,15,7,68,110,4
"330",330,3,1188,421.5,-90,17,12,136.5,110,2
"331",331,1,1094,105.5,0,24,9,151.5,111,3
"332",332,2,881,108.5,0,18,7,84,111,4
"333",333,3,1186.5,419.5,-90,15,11,121.5,111,2
"334",334,1,1094.02233886719,105.668029785156,3.81407499313354,24.3459548950195,9.57873630523682,161.5,112,3
"335",335,2,880,109,0,18,8,79.5,112,4
"336",336,3,1186.88818359375,419.7529296875,-77.47119140625,15.6189947128296,10.7380590438843,115,112,2
"337",337,1,1093.5,106,0,23,10,155.5,113,3
"338",338,2,878.615417480469,109.576904296875,-11.309928894043,17.062105178833,6.86406469345093,72,113,4
"339",339,3,1186.67578125,419.445983886719,-80.5376739501953,15.1247072219849,11.6723279953003,129,113,2
"340",340,1,1093,105.5,0,24,9,151,114,3
"341",341,2,877.5,108.5,0,19,7,90.5,114,4
"342",342,4,1186.35290527344,421.588165283203,-75.963752746582,17.9476356506348,12.1267805099487,144.5,114,2
"343",343,1,1094,105.5,0,24,9,145.5,115,3
"344",344,2,874.5,109.5,0,17,9,89.5,115,4
"345",345,3,1185,421.5,-90,19,10,125.5,115,2
"346",346,1,1094,105.5,0,24,9,137,116,3
"347",347,2,874.780517578125,110.975524902344,-38.6598052978516,17.4914627075195,8.74573135375977,93.5,116,4
"348",348,3,1183.5,421.5,-90,21,9,131.5,116,2
"349",349,1,1094.63415527344,105.792663574219,6.34019136428833,25.7305488586426,9.1658182144165,150,117,3
"350",350,2,873.5,109.5,0,15,9,82.5,117,4
"351",351,3,1181.13452148438,420.826873779297,-78.6900634765625,17.6504516601562,9.60969066619873,117,117,2
"352",352,1,1094.16162109375,105.707641601562,7.12501668930054,24.8069458007812,9.05453586578369,154.5,118,3
"353",353,2,873.5,110.5,0,15,9,91.5,118,4
"354",354,3,1181,424,-90,16,10,124.5,118,2
"355",355,1,1094.75,105.75,8.13010215759277,25.7386875152588,8.9095458984375,149,119,3
"356",356,2,872.5,110.5,0,15,9,92,119,4
"357",357,3,1178.66003417969,425.619964599609,-53.1301040649414,17,10.6000003814697,121,119,2
"358",358,1,1095.20715332031,106.134155273438,6.34019184112549,24.5158004760742,9.71797561645508,150.5,120,3
"359",359,2,870,110.5,0,16,9,102,120,4
"360",360,3,1176.4599609375,429.219940185547,-53.1301040649414,18.6000003814697,10.6000003814697,115,120,2
"361",361,1,1094,106,0,24,10,162.5,121,3
"362",362,2,870.173278808594,110.267333984375,5.71059370040894,15.5225801467896,9.05483818054199,92.5,121,4
"363",363,3,1177.5,432.5,-90,17,9,103,121,2
"364",364,1,1094.5,106,0,25,10,168.5,122,3
"365",365,2,869.5,110.5,0,15,9,88.5,122,4
"366",366,3,1176,435.5,-90,15,10,118.5,122,2
"367",367,1,1094.51220703125,105.778503417969,3.1798300743103,23.5192890167236,9.37443351745605,148.5,123,3
"368",368,2,869.064819335938,112.658752441406,-40.6012954711914,15.5105276107788,9.97880172729492,90,123,4
"369",369,3,1174.31896972656,440.422424316406,-66.8014068603516,18.6455154418945,9.84798336029053,125.5,123,2
"370",370,1,1093.54833984375,105.679321289062,3.36646056175232,23.4888076782227,9.39552402496338,137,124,3
"371",371,2,869.5,110.5,0,15,7,75.5,124,4
"372",372,3,1173.80004882812,445.600036621094,-71.5650482177734,17.7087516784668,10.119288444519,122,124,2
"373",373,1,1094.09436035156,105.963134765625,5.19442892074585,24.6257209777832,9.50625324249268,152.5,125,3
"374",374,2,868,110.5,0,18,9,92,125,4
"375",375,3,1173.96789550781,450.559600830078,73.3007583618164,18.8691806793213,11.110785484314,130,125,2
