day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 5,hour 2,cam 4,arena 20,infected,2,19495.44683,515.82,13429,59.9,0,8.6,5.1582,449.1304348,0.01,1.15
day 5,hour 2,cam 4,arena 20,control,3,23269.87798,615.68,13399,59.8,0.1,10.3,6.1568,448.1270903,0.01,1.37
day 5,hour 2,cam 4,arena 20,control,4,21341.19457,564.65,13404,59.8,0.1,9.4,5.6465,448.2943144,0.01,1.26
day 6,hour 2,cam 1,arena 21,infected,1,26429.90746,699.29,13246,59.1,0,11.8,6.9929,443.0100334,0.02,1.58
day 6,hour 2,cam 1,arena 21,infected,2,28520.61253,754.61,13159,58.7,0.4,12.9,7.5461,440.1003344,0.02,1.71
day 6,hour 2,cam 1,arena 21,control,3,1711.60571,45.29,1972,8.8,50.3,5.1,0.4529,65.95317726,0.01,0.69
day 6,hour 2,cam 1,arena 21,control,4,19963.39558,528.2,13112,58.5,0.6,9,5.282,438.5284281,0.01,1.2
day 6,hour 2,cam 2,arena 22,infected,1,24682.03352,653.05,13300,59.3,0,11,6.5305,444.8160535,0.01,1.47
day 6,hour 2,cam 2,arena 22,infected,2,26231.50671,694.04,13287,59.3,0.1,11.7,6.9404,444.3812709,0.02,1.56
day 6,hour 2,cam 2,arena 22,control,3,21616.56525,571.94,12740,56.8,2.5,10.1,5.7194,426.0869565,0.01,1.34
day 6,hour 2,cam 2,arena 22,control,4,4049.188296,107.13,4093,18.3,41.1,5.9,1.0713,136.8896321,0.01,0.78
day 6,hour 2,cam 3,arena 23,infected,1,27663.41123,731.93,13459,60,0,12.2,7.3193,450.1337793,0.02,1.63
day 6,hour 2,cam 3,arena 23,infected,2,9586.661926,253.65,6754,30.1,29.9,8.4,2.5365,225.8862876,0.01,1.12
day 6,hour 2,cam 3,arena 23,control,3,27414.98479,725.35,13049,58.2,1.8,12.5,7.2535,436.4214047,0.02,1.66
day 6,hour 2,cam 3,arena 23,control,4,0,0,0,0,60,NA,0,0,NA,NA
day 7,hour 2,cam 1,arena 25,infected,1,25034.34938,662.37,13289,59.3,0.7,11.2,6.6237,444.4481605,0.01,1.49
day 7,hour 2,cam 1,arena 25,infected,2,17237.21973,456.07,13439,59.9,0,7.6,4.5607,449.4648829,0.01,1.01
day 7,hour 2,cam 1,arena 25,control,3,44815.98259,1185.76,13069,58.3,1.6,20.3,11.8576,437.090301,0.03,2.71
day 7,hour 2,cam 1,arena 25,control,4,10812.79273,286.09,6625,29.5,30.4,9.7,2.8609,221.5719064,0.01,1.29
day 7,hour 2,cam 2,arena 26,infected,1,0,0,833,3.7,55.4,0,0,27.85953177,0,0
day 7,hour 2,cam 2,arena 26,infected,2,13716.43157,362.91,13219,58.9,0.2,6.2,3.6291,442.1070234,0.01,0.82
day 7,hour 2,cam 2,arena 26,control,3,30441.95342,805.44,13264,59.1,0,13.6,8.0544,443.6120401,0.02,1.82
day 7,hour 2,cam 2,arena 26,control,4,24197.7372,640.23,12950,57.7,1.4,11.1,6.4023,433.1103679,0.01,1.48
day 7,hour 2,cam 3,arena 27,infected,1,18329.34799,484.96,13272,59.2,0.2,8.2,4.8496,443.8795987,0.01,1.09
day 7,hour 2,cam 3,arena 27,infected,2,20027.23323,529.89,13321,59.4,0,8.9,5.2989,445.5183946,0.01,1.19
day 7,hour 2,cam 3,arena 27,control,3,4811.364233,127.3,2141,9.5,49.9,13.4,1.273,71.60535117,0.02,1.78
day 7,hour 2,cam 3,arena 27,control,4,41981.15066,1110.75,13320,59.4,0,18.7,11.1075,445.4849498,0.02,2.49
day 7,hour 2,cam 4,arena 28,infected,1,0,0,7657,34.1,25.3,0,0,256.0869565,0,0
day 7,hour 2,cam 4,arena 28,infected,2,32310.11533,854.87,13332,59.5,0,14.4,8.5487,445.8862876,0.02,1.92
day 7,hour 2,cam 4,arena 28,control,3,20953.38385,554.39,8691,38.8,20.7,14.3,5.5439,290.6688963,0.02,1.91
day 7,hour 2,cam 4,arena 28,control,4,20100.37932,531.82,13170,58.7,0.7,9.1,5.3182,440.4682274,0.01,1.21
day 8,hour 2,cam 1,arena 29,infected,1,29099.80981,769.93,13443,59.9,0.1,12.9,7.6993,449.5986622,0.02,1.71
day 8,hour 2,cam 1,arena 29,infected,2,0,0,0,0,60,NA,0,0,NA,NA
day 8,hour 2,cam 1,arena 29,control,3,28801.19554,762.03,13380,59.7,0.3,12.8,7.6203,447.4916388,0.02,1.7
day 8,hour 2,cam 1,arena 29,control,4,27007.10216,714.56,13458,60,0,11.9,7.1456,450.1003344,0.02,1.59
day 8,hour 2,cam 3,arena 31,infected,1,14414.65158,381.39,6281,28,32,13.6,3.8139,210.0668896,0.02,1.82
day 8,hour 2,cam 3,arena 31,infected,2,29985.10411,793.36,12775,57,3.1,13.9,7.9336,427.2575251,0.02,1.86
day 8,hour 2,cam 3,arena 31,control,3,28758.46546,760.9,13269,59.2,0.9,12.9,7.609,443.7792642,0.02,1.71
day 8,hour 2,cam 3,arena 31,control,4,30104.34251,796.51,13462,60,0,13.3,7.9651,450.2341137,0.02,1.77
day 8,hour 2,cam 4,arena 32,infected,1,42200.15589,1116.55,12669,56.5,2.9,19.8,11.1655,423.7123746,0.03,2.64
day 8,hour 2,cam 4,arena 32,infected,2,23817.12695,630.16,9386,41.9,17.5,15,6.3016,313.9130435,0.02,2.01
day 8,hour 2,cam 4,arena 32,control,3,21150.98273,559.62,13291,59.3,0.1,9.4,5.5962,444.5150502,0.01,1.26
day 8,hour 2,cam 4,arena 32,control,4,33369.705,882.91,13320,59.4,0,14.9,8.8291,445.4849498,0.02,1.98
day 1,hour 3,cam 1,arena 1,infected,1,17663.91304,467.36,10106,45.1,0,10.4,4.6736,337.993311,0.01,1.38
day 1,hour 3,cam 1,arena 1,infected,2,0,0,8830,39.4,5.7,0,0,295.3177258,0,0
day 1,hour 3,cam 1,arena 1,control,3,0,0,0,0,45.1,NA,0,0,NA,NA
day 1,hour 3,cam 1,arena 1,control,4,4044.181707,107,3407,15.2,29.9,7,1.07,113.9464883,0.01,0.94
day 1,hour 3,cam 2,arena 2,infected,1,17990.758,476.01,10168,45.3,0,10.5,4.7601,340.0668896,0.01,1.4
day 1,hour 3,cam 2,arena 2,infected,2,15304.24952,404.92,9395,41.9,3.4,9.7,4.0492,314.2140468,0.01,1.29
day 1,hour 3,cam 2,arena 2,control,3,18516.10293,489.91,9645,43,2.3,11.4,4.8991,322.5752508,0.02,1.52
day 1,hour 3,cam 2,arena 2,control,4,18151.73444,480.26,10022,44.7,0.7,10.7,4.8026,335.1839465,0.01,1.43
day 1,hour 3,cam 3,arena 3,infected,1,4422.60216,117.01,3010,13.4,25.6,8.7,1.1701,100.6688963,0.01,1.16
day 1,hour 3,cam 3,arena 3,infected,2,4310.543059,114.05,4118,18.4,20.6,6.2,1.1405,137.7257525,0.01,0.83
day 1,hour 3,cam 3,arena 3,control,3,11776.06798,311.58,8743,39,0,8,3.1158,292.4080268,0.01,1.07
day 1,hour 3,cam 3,arena 3,control,4,11164.17668,295.39,6220,27.7,11.3,10.7,2.9539,208.0267559,0.01,1.42
day 1,hour 3,cam 4,arena 4,infected,1,0,0,1830,8.2,37.9,0,0,61.20401338,0,0
day 1,hour 3,cam 4,arena 4,infected,2,11820.75546,312.76,7826,34.9,11.2,9,3.1276,261.7391304,0.01,1.19
day 1,hour 3,cam 4,arena 4,control,3,19991.74413,528.95,10329,46.1,0,11.5,5.2895,345.451505,0.02,1.53
day 1,hour 3,cam 4,arena 4,control,4,16749.8551,443.17,9573,42.7,3.4,10.4,4.4317,320.1672241,0.01,1.38
day 2,hour 3,cam 1,arena 5,infected,1,0,0,0,0,55.2,NA,0,0,NA,NA
day 2,hour 3,cam 1,arena 5,infected,2,22137.21313,585.71,12056,53.8,1.4,10.9,5.8571,403.2107023,0.01,1.45
day 2,hour 3,cam 1,arena 5,control,3,6950.003226,183.89,6144,27.4,27.8,6.7,1.8389,205.4849498,0.01,0.89
day 2,hour 3,cam 1,arena 5,control,4,23167.99247,612.99,12374,55.2,0,11.1,6.1299,413.8461538,0.01,1.48
day 2,hour 3,cam 2,arena 6,infected,1,11495.5139,304.15,13367,59.6,0.5,5.1,3.0415,447.0568562,0.01,0.68
day 2,hour 3,cam 2,arena 6,infected,2,0,0,10233,45.6,14.5,0,0,342.2408027,0,0
day 2,hour 3,cam 2,arena 6,control,3,16760.53044,443.46,11687,52.1,8,8.5,4.4346,390.8695652,0.01,1.13
day 2,hour 3,cam 2,arena 6,control,4,20784.80534,549.93,13484,60.1,0,9.2,5.4993,450.9698997,0.01,1.22
day 2,hour 3,cam 3,arena 7,infected,1,12926.4849,342.01,7901,35.2,19,9.7,3.4201,264.2474916,0.01,1.29
day 2,hour 3,cam 3,arena 7,infected,2,0,0,10376,46.3,8,0,0,347.0234114,0,0
day 2,hour 3,cam 3,arena 7,control,3,13446.90663,355.78,8620,38.4,15.8,9.3,3.5578,288.2943144,0.01,1.23
day 2,hour 3,cam 3,arena 7,control,4,21928.0249,580.18,12167,54.3,0,10.7,5.8018,406.9230769,0.01,1.43
day 2,hour 3,cam 4,arena 8,infected,1,0,0,0,0,52.6,NA,0,0,NA,NA
day 2,hour 3,cam 4,arena 8,infected,2,22304.39093,590.14,11130,49.6,2.9,11.9,5.9014,372.2408027,0.02,1.59
day 2,hour 3,cam 4,arena 8,control,3,16081.23708,425.48,11644,51.9,0.6,8.2,4.2548,389.4314381,0.01,1.09
day 2,hour 3,cam 4,arena 8,control,4,17633.0841,466.54,11787,52.6,0,8.9,4.6654,394.2140468,0.01,1.18
day 3,hour 3,cam 1,arena 9,infected,1,13053.62413,345.38,7843,35,3.3,9.9,3.4538,262.3076923,0.01,1.32
day 3,hour 3,cam 1,arena 9,infected,2,16613.48826,439.57,6887,30.7,7.6,14.3,4.3957,230.3344482,0.02,1.91
day 3,hour 3,cam 1,arena 9,control,3,12634.16783,334.28,8582,38.3,0,8.7,3.3428,287.0234114,0.01,1.16
day 3,hour 3,cam 1,arena 9,control,4,14706.09506,389.1,6950,31,7.3,12.6,3.891,232.4414716,0.02,1.67
day 3,hour 3,cam 2,arena 10,infected,1,12041.45361,318.6,8081,36,0,8.9,3.186,270.2675585,0.01,1.18
day 3,hour 3,cam 2,arena 10,infected,2,9250.030561,244.74,8007,35.7,0.3,6.9,2.4474,267.7926421,0.01,0.91
day 3,hour 3,cam 2,arena 10,control,3,5485.942658,145.15,4125,18.4,17.6,7.9,1.4515,137.9598662,0.01,1.05
day 3,hour 3,cam 2,arena 10,control,4,3058.718473,80.93,2181,9.7,26.3,8.3,0.8093,72.94314381,0.01,1.11
day 3,hour 3,cam 3,arena 11,infected,1,12382.55322,327.62,8654,38.6,0,8.5,3.2762,289.4314381,0.01,1.13
day 3,hour 3,cam 3,arena 11,infected,2,11409.59989,301.88,8098,36.1,2.5,8.4,3.0188,270.8361204,0.01,1.11
day 3,hour 3,cam 3,arena 11,control,3,0,0,528,2.4,36.2,0,0,17.65886288,0,0
day 3,hour 3,cam 3,arena 11,control,4,11683.97358,309.14,7739,34.5,4.1,9,3.0914,258.8294314,0.01,1.19
day 3,hour 3,cam 4,arena 12,infected,1,18098.57277,478.86,8265,36.9,0,13,4.7886,276.4214047,0.02,1.73
day 3,hour 3,cam 4,arena 12,infected,2,3862.8625,102.2,2975,13.3,23.6,7.7,1.022,99.49832776,0.01,1.03
day 3,hour 3,cam 4,arena 12,control,3,0,0,6758,30.1,6.7,0,0,226.0200669,0,0
day 3,hour 3,cam 4,arena 12,control,4,14712.1179,389.26,7738,34.5,2.4,11.3,3.8926,258.7959866,0.02,1.5
day 4,hour 3,cam 1,arena 13,infected,1,8184.883689,216.56,6596,29.4,30.1,7.4,2.1656,220.6020067,0.01,0.98
day 4,hour 3,cam 1,arena 13,infected,2,28594.54313,756.56,13344,59.5,0,12.7,7.5656,446.2876254,0.02,1.7
day 4,hour 3,cam 1,arena 13,control,3,17811.55127,471.26,13307,59.3,0.2,7.9,4.7126,445.0501672,0.01,1.06
day 4,hour 3,cam 1,arena 13,control,4,0,0,0,0,59.5,NA,0,0,NA,NA
day 4,hour 3,cam 2,arena 14,infected,1,7796.037868,206.27,6345,28.3,30.9,7.3,2.0627,212.2073579,0.01,0.97
day 4,hour 3,cam 2,arena 14,infected,2,0,0,6982,31.1,28.1,0,0,233.5117057,0,0
day 4,hour 3,cam 2,arena 14,control,3,0,0,1,0,59.2,NA,0,0.033444816,0,0
day 4,hour 3,cam 2,arena 14,control,4,15704.60852,415.52,13279,59.2,0,7,4.1552,444.1137124,0.01,0.94
day 4,hour 3,cam 3,arena 15,infected,1,3295.193205,87.19,2579,11.5,45.7,7.6,0.8719,86.2541806,0.01,1.01
day 4,hour 3,cam 3,arena 15,infected,2,16964.48208,448.85,12832,57.2,0,7.8,4.4885,429.1638796,0.01,1.05
day 4,hour 3,cam 3,arena 15,control,3,0,0,11618,51.8,5.4,0,0,388.5618729,0,0
day 4,hour 3,cam 3,arena 15,control,4,10394.52483,275.02,6442,28.7,28.5,9.6,2.7502,215.451505,0.01,1.28
day 4,hour 3,cam 4,arena 16,infected,1,16503.61375,436.66,13326,59.4,0,7.4,4.3666,445.6856187,0.01,0.98
day 4,hour 3,cam 4,arena 16,infected,2,18878.70912,499.5,13259,59.1,0.3,8.5,4.995,443.4448161,0.01,1.13
day 4,hour 3,cam 4,arena 16,control,3,14742.5092,390.06,9972,44.5,15,8.8,3.9006,333.5117057,0.01,1.17
day 4,hour 3,cam 4,arena 16,control,4,15132.60037,400.38,9888,44.1,15.3,9.1,4.0038,330.7023411,0.01,1.21
day 5,hour 3,cam 1,arena 17,infected,1,19239.79564,509.05,13368,59.6,0.3,8.5,5.0905,447.090301,0.01,1.14
day 5,hour 3,cam 1,arena 17,infected,2,20219.24791,534.97,13421,59.8,0.1,8.9,5.3497,448.8628763,0.01,1.19
day 5,hour 3,cam 1,arena 17,control,3,22715.33257,601.01,13437,59.9,0,10,6.0101,449.3979933,0.01,1.34
day 5,hour 3,cam 1,arena 17,control,4,0,0,2608,11.6,48.3,0,0,87.22408027,0,0
day 5,hour 3,cam 2,arena 18,infected,1,0,0,0,0,60.1,NA,0,0,NA,NA
day 5,hour 3,cam 2,arena 18,infected,2,16335.38898,432.21,13474,60.1,0,7.2,4.3221,450.6354515,0.01,0.96
day 5,hour 3,cam 2,arena 18,control,3,0,0,0,0,60.1,NA,0,0,NA,NA
day 5,hour 3,cam 2,arena 18,control,4,0,0,0,0,60.1,NA,0,0,NA,NA
day 5,hour 3,cam 3,arena 19,infected,1,0,0,12214,54.5,4.3,0,0,408.4949833,0,0
day 5,hour 3,cam 3,arena 19,infected,2,23636.95373,625.39,13177,58.8,0,10.6,6.2539,440.7023411,0.01,1.42
day 5,hour 3,cam 3,arena 19,control,3,17208.34337,455.3,12906,57.6,1.2,7.9,4.553,431.638796,0.01,1.05
day 5,hour 3,cam 3,arena 19,control,4,16068.07598,425.13,12946,57.7,1,7.4,4.2513,432.9765886,0.01,0.98
day 5,hour 3,cam 4,arena 20,infected,1,23951.25808,633.71,12953,57.8,2.4,11,6.3371,433.2107023,0.01,1.46
day 5,hour 3,cam 4,arena 20,infected,2,16252.146,430,13487,60.1,0,7.2,4.3,451.0702341,0.01,0.95
day 5,hour 3,cam 4,arena 20,control,3,17285.47069,457.34,13238,59,1.1,7.8,4.5734,442.7424749,0.01,1.03
day 5,hour 3,cam 4,arena 20,control,4,5418.764162,143.37,6220,27.7,32.4,5.2,1.4337,208.0267559,0.01,0.69
day 6,hour 3,cam 1,arena 21,infected,1,22374.8369,592,13481,60.1,0,9.9,5.92,450.8695652,0.01,1.31
day 6,hour 3,cam 1,arena 21,infected,2,3246.585094,85.9,1624,7.2,52.9,11.9,0.859,54.31438127,0.02,1.58
day 6,hour 3,cam 1,arena 21,control,3,0,0,2167,9.7,50.5,0,0,72.47491639,0,0
day 6,hour 3,cam 1,arena 21,control,4,0,0,0,0,60.1,NA,0,0,NA,NA
day 6,hour 3,cam 2,arena 22,infected,1,0,0,0,0,60,NA,0,0,NA,NA
day 6,hour 3,cam 2,arena 22,infected,2,24101.68431,637.69,13450,60,0,10.6,6.3769,449.8327759,0.01,1.42
day 6,hour 3,cam 2,arena 22,control,3,19193.8473,507.84,13038,58.1,1.8,8.7,5.0784,436.0535117,0.01,1.16
day 6,hour 3,cam 2,arena 22,control,4,0,0,0,0,60,NA,0,0,NA,NA
day 6,hour 3,cam 3,arena 23,infected,1,23112.23328,611.51,13455,60,0,10.2,6.1151,450,0.01,1.36
day 6,hour 3,cam 3,arena 23,infected,2,0,0,0,0,60,NA,0,0,NA,NA
day 6,hour 3,cam 3,arena 23,control,3,23182.08726,613.36,13352,59.5,0.5,10.3,6.1336,446.5551839,0.01,1.37
day 6,hour 3,cam 3,arena 23,control,4,0,0,31,0.1,59.9,0,0,1.036789298,0,0
day 7,hour 3,cam 1,arena 25,infected,1,25034.34938,662.37,13289,59.3,0.7,11.2,6.6237,444.4481605,0.01,1.49
day 7,hour 3,cam 1,arena 25,infected,2,17237.21973,456.07,13439,59.9,0,7.6,4.5607,449.4648829,0.01,1.01
day 7,hour 3,cam 1,arena 25,control,3,44815.98259,1185.76,13069,58.3,1.6,20.3,11.8576,437.090301,0.03,2.71
day 7,hour 3,cam 1,arena 25,control,4,10812.79273,286.09,6625,29.5,30.4,9.7,2.8609,221.5719064,0.01,1.29
day 7,hour 3,cam 2,arena 26,infected,1,0,0,0,0,22.9,NA,0,0,NA,NA
day 7,hour 3,cam 2,arena 26,infected,2,6220.036607,164.57,5134,22.9,0,7.2,1.6457,171.7056856,0.01,0.96
day 7,hour 3,cam 2,arena 26,control,3,7143.194115,189,5072,22.6,0.3,8.4,1.89,169.632107,0.01,1.11
day 7,hour 3,cam 2,arena 26,control,4,3111.537052,82.33,2102,9.4,13.5,8.8,0.8233,70.30100334,0.01,1.17
day 7,hour 3,cam 3,arena 27,infected,1,494.9990574,13.1,454,2,58.1,6.5,0.131,15.18394649,0.01,0.86
day 7,hour 3,cam 3,arena 27,infected,2,21377.59298,565.62,13396,59.7,0.4,9.5,5.6562,448.0267559,0.01,1.26
day 7,hour 3,cam 3,arena 27,control,3,17773.99535,470.27,13477,60.1,0,7.8,4.7027,450.735786,0.01,1.04
day 7,hour 3,cam 3,arena 27,control,4,21093.3111,558.09,13403,59.8,0.3,9.3,5.5809,448.2608696,0.01,1.25
day 7,hour 3,cam 4,arena 28,infected,1,23056.18516,610.03,13320,59.4,0,10.3,6.1003,445.4849498,0.01,1.37
day 7,hour 3,cam 4,arena 28,infected,2,21478.11101,568.28,12932,57.7,1.7,9.8,5.6828,432.5083612,0.01,1.31
day 7,hour 3,cam 4,arena 28,control,3,7842.608971,207.5,6133,27.3,32,7.6,2.075,205.1170569,0.01,1.01
day 7,hour 3,cam 4,arena 28,control,4,15941.53319,421.79,11044,49.2,10.1,8.6,4.2179,369.3645485,0.01,1.14
day 8,hour 3,cam 1,arena 29,infected,1,22404.61915,592.79,13453,60,0,9.9,5.9279,449.9331104,0.01,1.32
day 8,hour 3,cam 1,arena 29,infected,2,0,0,1,0,60,NA,0,0.033444816,0,0
day 8,hour 3,cam 1,arena 29,control,3,41370.74318,1094.6,12942,57.7,2.3,19,10.946,432.8428094,0.03,2.53
day 8,hour 3,cam 1,arena 29,control,4,7442.891154,196.93,3895,17.4,42.6,11.3,1.9693,130.2675585,0.02,1.51
day 8,hour 3,cam 3,arena 31,infected,1,0,0,1,0,40.4,NA,0,0.033444816,0,0
day 8,hour 3,cam 3,arena 31,infected,2,8175.348477,216.31,3375,15.1,25.4,14.3,2.1631,112.8762542,0.02,1.92
day 8,hour 3,cam 3,arena 31,control,3,14976.19805,396.25,9066,40.4,0,9.8,3.9625,303.2107023,0.01,1.31
day 8,hour 3,cam 3,arena 31,control,4,8058.306616,213.21,6769,30.2,10.2,7.1,2.1321,226.3879599,0.01,0.94
day 8,hour 3,cam 4,arena 32,infected,1,24092.02655,637.43,11803,52.6,0,12.1,6.3743,394.7491639,0.02,1.61
day 8,hour 3,cam 4,arena 32,infected,2,15534.61996,411.02,11435,51,1.6,8.1,4.1102,382.4414716,0.01,1.07
day 8,hour 3,cam 4,arena 32,control,3,0,0,1,0,52.6,NA,0,0.033444816,0,0
day 8,hour 3,cam 4,arena 32,control,4,5698.661617,150.78,2883,12.9,39.8,11.7,1.5078,96.42140468,0.02,1.56
