"","id","x","y","alpha","major","minor","area","frame","track"
"1",1,1172.2353515625,101.558715820312,14.036244392395,14.7946729660034,6.30592632293701,44.5,1,2
"2",2,1211.5,107,0,15,8,80.5,1,4
"3",3,91,307.5,-90,17,6,58.5,1,3
"4",4,1236.5,449.5,-90,15,9,87.5,1,1
"5",2,1167.00012207031,101.5,45,10.6066017150879,9.19238758087158,67.5,2,2
"6",3,1207.84143066406,104.073181152344,38.6598091125488,17.9599838256836,10.6198167800903,99.5,2,4
"7",4,92,307,-90,14,6,57.5,2,3
"8",5,1235.5,453.5,-90,15,7,85.5,2,1
"9",1,1162.5,102.5,0,15,7,73,3,2
"10",2,1205.2294921875,104.482299804688,40.6012992858887,14.4258756637573,8.67721939086914,74,3,4
"11",3,92,308,-90,16,6,61,3,3
"12",4,1236.5,460,-90,16,7,84,3,1
"13",1,1156,103,0,12,8,60.5,4,2
"14",2,1203.873046875,103.734558105469,37.8749847412109,14.9099855422974,9.73534393310547,90,4,4
"15",3,92,308.5,-90,15,6,63,4,3
"16",4,1235,468.5,-90,17,8,85.5,4,1
"17",2,1150,101,0,10,8,58.5,5,2
"18",3,1203,104.5,0,14,9,87.5,5,4
"19",4,91.5,307.5,-90,15,5,50.5,5,3
"20",5,1235.40026855469,474.699981689453,-63.4349517822266,14.3108339309692,10.2859125137329,93.5,5,1
"21",1,1141,102.5,0,14,7,72.5,6,2
"22",2,1203.75012207031,104.25,45,12.7279224395752,10.6066017150879,89.5,6,4
"23",3,97,286,-90,14,6,46,6,3
"24",4,1236.00012207031,481.999938964844,45,14.1421356201172,11.3137073516846,109,6,1
"25",3,1139,101,0,10,8,59.5,7,2
"26",4,1204.56896972656,104.327575683594,21.8014068603516,13.9271507263184,7.98489952087402,72.5,7,4
"27",5,97.5,274.5,-90,13,7,61.5,7,3
"28",6,1237.05895996094,488.735260009766,75.9637603759766,14.067066192627,9.45888900756836,92.5,7,1
"29",2,1126.64624023438,104.330749511719,7.12501668930054,13.0236473083496,8.93050098419189,70.5,8,2
"30",3,1204.23083496094,105.65380859375,-11.309928894043,13.1397819519043,10.0019245147705,88,8,4
"31",4,94.5,264,-90,12,7,61.5,8,3
"32",5,1236.71166992188,495.557662963867,78.690071105957,15.1009426116943,8.62910938262939,88,8,1
"33",1,1202.09216308594,102.914001464844,28.6104621887207,18.5954246520996,9.81646919250488,96.5,9,4
"34",2,1115.98071289062,106.596069335938,11.3099327087402,12.3553171157837,9.41357421875,73,9,2
"35",3,91.905403137207,257.067596435547,-80.5376739501953,11.6723279953003,5.7539644241333,43.5,9,3
"36",4,1237.5,498,-90,12,9,85.5,9,1
"37",1,1204.5,104.5,18.4349479675293,15.1789321899414,8.22192192077637,88.5,10,4
"38",2,1102.5,111,0,15,8,77.5,10,2
"39",3,93,248.5,-90,13,6,52.5,10,3
"40",4,1235.32751464844,503.931045532227,-68.1985931396484,16.7125797271729,8.35628986358643,92,10,1
"41",1,1203.75012207031,104.249938964844,45,12.7279205322266,9.19238758087158,80.5,11,4
"42",2,1091,112.5,0,16,7,67,11,2
"43",3,91.6470718383789,241.088165283203,75.9637603759766,12.611852645874,6.5484619140625,50.5,11,3
"44",4,1235,510,-90,16,8,86,11,1
"45",1,1200,103.5,0,14,9,90.5,12,4
"46",2,1075.75,112.749938964844,18.4349479675293,15.8113861083984,9.17060375213623,84,12,2
"47",3,91.1299896240234,231.589996337891,-81.8698959350586,12.7279224395752,5.79827642440796,47,12,3
"48",4,1235,510,-90,16,8,88,12,1
"49",2,1196.20007324219,103.599853515625,26.5650501251221,12.5219802856445,9.83869934082031,88.5,13,4
"50",3,1067.05004882812,114.650024414062,-18.4349517822266,13.5977935791016,8.22192192077637,72.5,13,2
"51",5,90.8500213623047,227.049987792969,71.5650482177734,12.6491098403931,6.64078283309937,57,13,3
"52",6,1234,510,-90,16,8,87,13,1
"53",1,1194.20007324219,104.099975585938,26.5650501251221,12.0747661590576,8.94427108764648,76,14,4
"54",2,1055.08825683594,115.852905273438,-14.0362396240234,17.705099105835,8.00367546081543,76.5,14,2
"55",3,90.7000045776367,226.399963378906,63.4349517822266,11.1803388595581,7.15541696548462,50,14,3
"56",4,1234,510,-90,16,8,87,14,1
"57",1,1192.75012207031,103.249938964844,45,11.3137073516846,10.6066017150879,79.5,15,4
"58",2,1044,119,0,14,8,60,15,2
"59",3,90.5,225,-90,14,7,59.5,15,3
"60",4,1234.20007324219,508.899932861328,-71.5650482177734,16.1276149749756,7.90569353103638,84.5,15,1
"61",1,1189.00012207031,103.499938964844,45,16.2634563446045,9.1923885345459,86.5,16,4
"62",2,1031.36486816406,122.503662109375,-19.9831085205078,15.3784379959106,7.86008977890015,68,16,2
"63",3,91,225,-90,14,6,54.5,16,3
"64",4,1235,510,-90,16,8,83,16,1
"65",1,1185.5,103.5,0,15,9,80,17,4
"66",2,1018,123.5,0,14,7,58,17,2
"67",3,91,226,-90,12,6,48,17,3
"68",4,1234.71997070312,510.960021972656,-81.8698959350586,18.101936340332,7.63675308227539,86.5,17,1
"69",1,1183.5,103.5,0,15,9,89,18,4
"70",2,1008.21624755859,127.297302246094,-9.46232604980469,13.8095149993896,8.21994972229004,73,18,2
"71",3,89.5,214.5,-90,15,5,55.5,18,3
"72",4,1235.88452148438,519.423065185547,78.690071105957,15.2970590591431,8.62910938262939,85,18,1
"73",1,1182,103.5,0,14,9,80.5,19,4
"74",2,1003.50006103516,131,-45,13.4350271224976,7.77817440032959,73.5,19,2
"75",3,90,201.5,-90,13,6,54,19,3
"76",4,1237.15356445312,532.730834960938,56.3099365234375,14.1448564529419,8.87520313262939,86,19,1
"77",1,1183.00012207031,102.999877929688,45,14.1421356201172,9.89949417114258,91.5,20,4
"78",2,1003,130,0,12,8,62.5,20,2
"79",3,89.2622833251953,190.885192871094,84.8055725097656,14.4857196807861,7.24285936355591,57,20,3
"80",4,1238.00024414062,537.999954223633,63.4349517822266,16.9941158294678,8.9442720413208,92.5,20,1
"81",1,1183.4501953125,103.349975585938,-18.4349517822266,10.7517433166504,9.80305957794189,76,21,4
"82",2,1003,130,0,14,8,71.5,21,2
"83",3,89,183.5,-90,13,6,51.5,21,3
"84",4,1239.50012207031,538.499984741211,45,14.1421356201172,8.48528099060059,77,21,1
"85",1,1181.5,104,0,15,8,86,22,4
"86",2,1004.70001220703,130.399963378906,-53.1301040649414,12.2000017166138,8.80000019073486,74,22,2
"87",3,89,172.5,-90,15,6,58,22,3
"88",4,1237.94409179688,539.691986083984,79.6951522827148,17.7991046905518,8.40761566162109,95.5,22,1
"89",1,1181.02453613281,101.770446777344,39.8055686950684,11.779393196106,9.34669208526611,81,23,4
"90",2,1002.5,130,0,15,8,77.5,23,2
"91",3,88,169,-90,12,6,48.5,23,3
"92",4,1237.5,538,-90,14,9,86,23,1
"93",1,1177,102,0,12,8,72.5,24,4
"94",2,1003.75006103516,131.25,-45,14.8492412567139,8.48528099060059,76,24,2
"95",3,87.3013610839844,162.636962890625,69.4439544677734,11.9381971359253,5.96909856796265,49,24,3
"96",4,1239.26477050781,541.058822631836,75.9637603759766,12.8543872833252,7.76113939285278,65.5,24,1
"97",1,1174.5,103,0,13,8,74,25,4
"98",2,1004,130,0,12,8,69.5,25,2
"99",3,89.5,154,-90,12,5,44.5,25,3
"100",4,1239,541.5,-90,15,8,93.5,25,1
"101",1,1169.5,102,0,17,8,83.5,26,4
"102",2,1004.25006103516,130.75,-45,14.8492422103882,8.48528099060059,74,26,2
"103",3,86.2000045776367,149.899963378906,63.4349517822266,11.627552986145,7.60263013839722,56.5,26,3
"104",4,1237,543.5,90,11,8,73.5,26,1
"105",1,1166.89990234375,101.699951171875,26.5650501251221,15.6524772644043,9.39148616790771,89,27,4
"106",2,1003.76928710938,124.653930664062,29.7448825836182,13.1476802825928,8.31032752990723,68,27,2
"107",3,87,146,-90,12,6,49,27,3
"108",4,1237.130859375,546.046127319336,82.8749847412109,15.504340171814,9.92277908325195,95.5,27,1
"109",1,1164.85131835938,103.108093261719,-9.46232604980469,12.8231220245361,9.04194450378418,71.5,28,4
"110",2,993,111,-90,12,8,67,28,2
"111",3,88.9153823852539,135.176879882812,-82.8749847412109,15.7524108886719,5.82963228225708,56,28,3
"112",4,1237.5,546,-90,16,9,96.5,28,1
"113",1,1163.76416015625,103.424560546875,-15.9453964233398,14.148136138916,9.75259876251221,93.5,29,4
"114",2,989.5,106,-90,12,9,71,29,2
"115",4,88.5,126,-90,12,7,48,29,3
"116",5,1237,546.5,-90,17,8,96,29,1
"117",1,1160.5,102.5,0,15,9,92,30,4
"118",2,994.5,108.5,-90,17,7,85,30,2
"119",3,89,113.5,-90,15,6,57,30,3
"120",4,1233.50012207031,551.999923706055,-45,16.2634563446045,9.19238758087158,98.5,30,1
"121",1,1157.45593261719,100.573547363281,30.9637546539307,14.0628824234009,9.43242263793945,76.5,31,4
"122",2,998.076782226562,105.384704589844,-56.3099327087402,16.6410064697266,7.21110248565674,69.5,31,2
"123",3,89,114,-90,16,6,65,31,3
"124",4,1233.5,557,-90,14,9,89,31,1
"125",1,1154,102,0,16,8,92,32,4
"126",2,1006.45129394531,102.939025878906,-38.6598091125488,15.1488552093506,7.34016704559326,73.5,32,2
"127",3,89.5,113.5,-90,15,7,60.5,32,3
"128",4,1231.10009765625,563.800003051758,-63.4349517822266,15.6524744033813,8.94427108764648,95.5,32,1
"129",2,1012.3076171875,101.961669921875,-33.6900634765625,15.5316038131714,8.04315280914307,73,33,2
"130",3,1154.5,103,0,13,10,96,33,4
"131",4,89.5,113.5,-90,15,7,57.5,33,3
"132",5,1231.5,569.5,-90,15,7,82.5,33,1
"133",1,1021.69219970703,102.538513183594,-33.690071105957,14.4222059249878,8.87520313262939,76.5,34,2
"134",2,1153,103.5,0,14,9,93.5,34,4
"135",3,88,112.5,-90,11,8,62,34,3
"136",4,1232,577,-90,16,6,75,34,1
"137",1,1030.42993164062,103.490051269531,8.13010215759277,14.5664005279541,7.91959667205811,73.5,35,2
"138",2,1149.5,103.5,0,17,9,92.5,35,4
"139",3,87.8199920654297,112.239990234375,36.8698959350586,12.3999996185303,5.80000019073486,45,35,3
"140",4,1231.75,583.750015258789,71.5650482177734,15.1789331436157,9.80306053161621,100,35,1
"141",1,1146.5,102.5,0,19,9,109.5,36,4
"142",2,1044.00012207031,103.499938964844,7.12501668930054,16.0004806518555,7.93822240829468,85,36,2
"143",3,87.7692337036133,111.34619140625,33.6900634765625,12.2034044265747,6.93375253677368,50.5,36,3
"144",4,1230.00012207031,592.499984741211,45,12.0208148956299,12.0208148956299,96.5,36,1
"145",1,1053,101.5,0,16,7,80,37,2
"146",2,1145,103.5,0,16,9,92.5,37,4
"147",3,88.0769500732422,111.115417480469,56.3099365234375,11.3713550567627,5.54700231552124,39,37,3
"148",4,1230.5,602,-90,16,9,108,37,1
"149",1,1060.5,101.5,0,13,7,65,38,2
