"day" "camera" "hour" "arena" "infection.status" "track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "tot.distance.cm" "speed.cmxmin" "tot.distance.m" "seconds.moving" "speed.mxsec" "speed.cmxsec"
"day 3" "cam 2" "hour 1" "arena 10" "infected" 2 22586.9980804509 443 1780.18435383882 2 58.1 597.61 298.8 5.9761 118.528428093645 0.05 5.04
"day 3" "cam 2" "hour 1" "arena 10" "control" 3 19523.1356177506 1211 2349.2132945966 5.4 54.7 516.55 95.7 5.1655 324.013377926421 0.02 1.59
"day 3" "cam 2" "hour 1" "arena 10" "control" 4 20791.1308376955 1150 2885.7327200461 5.1 55 550.1 107.9 5.501 307.692307692308 0.02 1.79
"day 3" "cam 3" "hour 1" "arena 11" "infected" 1 23602.986743558 99 473.320014813737 0.4 59.3 624.5 1561.2 6.245 26.4882943143813 0.24 23.58
"day 3" "cam 3" "hour 1" "arena 11" "infected" 2 20581.384553311 869 1709.25780898496 3.9 55.8 544.55 139.6 5.4455 232.508361204013 0.02 2.34
"day 3" "cam 3" "hour 1" "arena 11" "control" 3 24170.4674995621 1240 2296.46383957635 5.5 54.2 639.51 116.3 6.3951 331.772575250836 0.02 1.93
"day 3" "cam 3" "hour 1" "arena 11" "control" 4 48114.2307072303 1604 13615.5904893793 7.2 52.5 1273.02 176.8 12.7302 429.163879598662 0.03 2.97
"day 3" "cam 4" "hour 1" "arena 12" "infected" 1 31766.0419322079 951 5922.88062476745 4.2 55.9 840.48 200.1 8.4048 254.448160535117 0.03 3.3
"day 3" "cam 4" "hour 1" "arena 12" "infected" 2 23963.2958064405 1897 5790.33238115898 8.5 51.7 634.03 74.6 6.3403 507.558528428094 0.01 1.25
"day 3" "cam 4" "hour 1" "arena 12" "control" 3 24508.7646729949 918 2629.99100286616 4.1 56 648.46 158.2 6.4846 245.61872909699 0.03 2.64
"day 3" "cam 4" "hour 1" "arena 12" "control" 4 37247.8301966072 1565 6454.59041926569 7 53.2 985.52 140.8 9.8552 418.729096989967 0.02 2.35
"day 4" "cam 1" "hour 1" "arena 13" "infected" 1 24624.4924678967 7726 11237.4489702558 34.5 25.7 651.52 18.9 6.5152 2067.15719063545 0 0.32
"day 4" "cam 1" "hour 1" "arena 13" "infected" 2 69727.8292501792 2344 14473.9556269808 10.5 49.7 1844.88 175.7 18.4488 627.157190635452 0.03 2.94
"day 4" "cam 1" "hour 1" "arena 13" "control" 3 48817.6876687264 1006 6447.28177889036 4.5 55.6 1291.63 287 12.9163 269.163879598662 0.05 4.8
"day 4" "cam 1" "hour 1" "arena 13" "control" 4 42565.1404254622 378 3368.47869083356 1.7 58.4 1126.2 662.5 11.262 101.137123745819 0.11 11.14
"day 4" "cam 2" "hour 1" "arena 14" "infected" 1 29586.3096227402 1371 3718.57541796632 6.1 54 782.8 128.3 7.828 366.822742474916 0.02 2.13
"day 4" "cam 2" "hour 1" "arena 14" "infected" 2 30661.714338479 965 5409.40492726998 4.3 55.8 811.26 188.7 8.1126 258.19397993311 0.03 3.14
"day 4" "cam 2" "hour 1" "arena 14" "control" 3 45235.4810302814 2331 11200.49136214 10.4 49.7 1196.86 115.1 11.9686 623.678929765886 0.02 1.92
"day 4" "cam 2" "hour 1" "arena 14" "control" 4 48932.4945918876 1239 8061.10807218781 5.5 54.6 1294.67 235.4 12.9467 331.505016722408 0.04 3.91
