"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
2 20219.2479109096 1296 2554.039001581 5.8 54.4 "day 5" "cam 1" "arena 17" "infected"
3 22715.3325691425 3796 7074.07587127415 16.9 43.2 "day 5" "cam 1" "arena 17" "control"
4 3037.27119328612 0 0 0 60.1 "day 5" "cam 1" "arena 17" "control"
1 0 0 0 0 60.2 "day 5" "cam 2" "arena 18" "infected"
2 16335.3889808086 102 210.303849703169 0.5 59.7 "day 5" "cam 2" "arena 18" "infected"
3 0 0 0 0 60.2 "day 5" "cam 2" "arena 18" "control"
4 0 0 0 0 60.2 "day 5" "cam 2" "arena 18" "control"
1 10758.7461839017 0 0 0 60.2 "day 5" "cam 3" "arena 19" "infected"
2 23636.9537280643 2136 5569.47616341182 9.5 50.6 "day 5" "cam 3" "arena 19" "infected"
3 17208.3433652246 1748 3735.00212658183 7.8 52.4 "day 5" "cam 3" "arena 19" "control"
4 16068.0759759337 5426 5551.32439944749 24.2 36 "day 5" "cam 3" "arena 19" "control"
1 23951.2580812137 1227 3169.34721709818 5.5 54.7 "day 5" "cam 4" "arena 20" "infected"
2 16252.1459999329 803 855.909167909624 3.6 56.6 "day 5" "cam 4" "arena 20" "infected"
3 17285.4706895335 1759 2734.59948734733 7.8 52.3 "day 5" "cam 4" "arena 20" "control"
4 5418.76416237098 0 0 0 60.2 "day 5" "cam 4" "arena 20" "control"
1 22374.8368969942 2383 4461.55134135474 10.6 49.5 "day 6" "cam 1" "arena 21" "infected"
2 3246.58509408239 224 515.336556816163 1 59.1 "day 6" "cam 1" "arena 21" "infected"
3 5328.96638874623 283 753.047302041504 1.3 58.9 "day 6" "cam 1" "arena 21" "control"
4 0 0 0 0 60.1 "day 6" "cam 1" "arena 21" "control"
1 0 0 0 0 60.2 "day 6" "cam 2" "arena 22" "infected"
2 24101.6843091417 2113 5082.24809467923 9.4 50.7 "day 6" "cam 2" "arena 22" "infected"
3 19193.8473002209 1142 3958.18236755769 5.1 55.1 "day 6" "cam 2" "arena 22" "control"
4 0 0 0 0 60.2 "day 6" "cam 2" "arena 22" "control"
1 23112.2332778301 3254 4094.34451545156 14.5 45.6 "day 6" "cam 3" "arena 23" "infected"
2 0 0 0 0 60.2 "day 6" "cam 3" "arena 23" "infected"
3 23182.0872640004 9189 15330.8502788778 41 19.2 "day 6" "cam 3" "arena 23" "control"
4 79.1791896706291 0 0 0 60.2 "day 6" "cam 3" "arena 23" "control"
1 25034.3493790656 2572 6909.62710903043 11.5 48.7 "day 7" "cam 1" "arena 25" "infected"
2 17237.2197327214 1356 2613.53705324197 6 54.1 "day 7" "cam 1" "arena 25" "infected"
3 44815.9825902083 2288 7241.36116772282 10.2 49.9 "day 7" "cam 1" "arena 25" "control"
4 10812.7927259813 1167 1997.54635654429 5.2 54.9 "day 7" "cam 1" "arena 25" "control"
1 0 0 0 0 24.1 "day 7" "cam 2" "arena 26" "infected"
2 6220.03660701512 418 788.582460610812 1.9 22.2 "day 7" "cam 2" "arena 26" "infected"
3 7143.19411513159 2100 3100.5947771861 9.4 14.7 "day 7" "cam 2" "arena 26" "control"
4 3111.53705219235 3985 1180.75573914316 17.8 6.3 "day 7" "cam 2" "arena 26" "control"
1 494.999057428495 0 0 0 60.1 "day 7" "cam 3" "arena 27" "infected"
2 21377.5929840824 1446 4065.3341114009 6.4 53.7 "day 7" "cam 3" "arena 27" "infected"
3 17773.9953524159 12962 16578.7915583327 57.8 2.3 "day 7" "cam 3" "arena 27" "control"
4 21093.3110989037 1028 3040.47744344763 4.6 55.5 "day 7" "cam 3" "arena 27" "control"
1 23056.1851615571 1318 3673.00437972431 5.9 54.3 "day 7" "cam 4" "arena 28" "infected"
