"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
1 25347.5817780961 1450 5559.76297229192 6.5 53.7 "day 1" "cam 1" "arena 1" "infected"
2 34542.2228063117 1686 8149.24977230766 7.5 52.6 "day 1" "cam 1" "arena 1" "infected"
3 0 0 0 0 60.1 "day 1" "cam 1" "arena 1" "control"
4 52928.5977592111 2216 16204.2661970809 9.9 50.3 "day 1" "cam 1" "arena 1" "control"
1 26767.9562171948 1539 4339.45396042182 6.9 53.3 "day 1" "cam 2" "arena 2" "infected"
2 19034.4599255587 592 2416.85764929514 2.6 57.5 "day 1" "cam 2" "arena 2" "infected"
3 38611.8286195938 1887 6997.24104745445 8.4 51.7 "day 1" "cam 2" "arena 2" "control"
4 22227.7088714734 894 2262.32893508453 4 56.1 "day 1" "cam 2" "arena 2" "control"
1 26835.1683477178 1413 4253.47226518481 6.3 53.8 "day 1" "cam 3" "arena 3" "infected"
2 27810.6797683353 2104 5130.84653512286 9.4 50.8 "day 1" "cam 3" "arena 3" "infected"
3 24055.1799708206 659 2430.69268093688 2.9 57.2 "day 1" "cam 3" "arena 3" "control"
4 34839.0721115582 1963 8211.62142520529 8.8 51.4 "day 1" "cam 3" "arena 3" "control"
1 22110.1297180197 453 2140.59118475999 2 58.1 "day 1" "cam 4" "arena 4" "infected"
2 33827.2617433483 1515 5832.97301208 6.8 53.4 "day 1" "cam 4" "arena 4" "infected"
3 31996.5947742852 1829 5714.30100273315 8.2 52 "day 1" "cam 4" "arena 4" "control"
4 3257.91169356811 515 1471.47658973011 2.3 57.8 "day 1" "cam 4" "arena 4" "control"
1 48007.9108495682 2202 9000.87812877594 9.8 50.2 "day 2" "cam 1" "arena 5" "infected"
2 40677.0107330519 1617 6722.61472945174 7.2 52.9 "day 2" "cam 1" "arena 5" "infected"
3 40015.4151976815 890 5470.34282503176 4 56.1 "day 2" "cam 1" "arena 5" "control"
4 28076.3570008819 448 3816.03852294671 2 58.1 "day 2" "cam 1" "arena 5" "control"
1 37001.0276333442 1663 11895.5218765229 7.4 52.7 "day 2" "cam 2" "arena 6" "infected"
2 0 0 0 0 60.1 "day 2" "cam 2" "arena 6" "infected"
3 24700.1440807236 3728 7494.7602909281 16.6 43.5 "day 2" "cam 2" "arena 6" "control"
4 39867.661639569 2336 10149.5489593905 10.4 49.7 "day 2" "cam 2" "arena 6" "control"
1 27370.4803701192 527 3348.05609367276 2.4 57.8 "day 2" "cam 3" "arena 7" "infected"
2 28674.1525535662 444 2829.27521985474 2 58.2 "day 2" "cam 3" "arena 7" "infected"
3 32181.4852052375 1056 6948.67985435277 4.7 55.4 "day 2" "cam 3" "arena 7" "control"
4 27208.2324748719 1940 7639.35504521043 8.7 51.5 "day 2" "cam 3" "arena 7" "control"
1 41135.7675549022 1000 3740.27348106355 4.5 55.7 "day 2" "cam 4" "arena 8" "infected"
2 19573.4482255637 770 4063.83654924011 3.4 56.7 "day 2" "cam 4" "arena 8" "infected"
3 29372.0505074484 1894 6331.73115216515 8.4 51.7 "day 2" "cam 4" "arena 8" "control"
4 20083.168191031 2117 5470.76724794198 9.4 50.7 "day 2" "cam 4" "arena 8" "control"
1 18547.794453021 651 2344.86077049172 2.9 57.2 "day 3" "cam 1" "arena 9" "infected"
2 31290.7471488671 1353 4269.94005487004 6 54.1 "day 3" "cam 1" "arena 9" "infected"
3 20274.7453778432 2947 5201.58540783352 13.1 47 "day 3" "cam 1" "arena 9" "control"
4 28102.8803317939 2369 7070.80328184568 10.6 49.6 "day 3" "cam 1" "arena 9" "control"
1 41400.7338483463 1050 5385.16272786566 4.7 55.4 "day 3" "cam 2" "arena 10" "infected"
2 22586.9980804509 443 1780.18435383882 2 58.1 "day 3" "cam 2" "arena 10" "infected"
3 19523.1356177506 1211 2349.2132945966 5.4 54.7 "day 3" "cam 2" "arena 10" "control"
4 20791.1308376955 1150 2885.7327200461 5.1 55 "day 3" "cam 2" "arena 10" "control"
1 23602.986743558 99 473.320014813737 0.4 59.3 "day 3" "cam 3" "arena 11" "infected"
2 20581.384553311 869 1709.25780898496 3.9 55.8 "day 3" "cam 3" "arena 11" "infected"
3 24170.4674995621 1240 2296.46383957635 5.5 54.2 "day 3" "cam 3" "arena 11" "control"
4 48114.2307072303 1604 13615.5904893793 7.2 52.5 "day 3" "cam 3" "arena 11" "control"
1 31766.0419322079 951 5922.88062476745 4.2 55.9 "day 3" "cam 4" "arena 12" "infected"
2 23963.2958064405 1897 5790.33238115898 8.5 51.7 "day 3" "cam 4" "arena 12" "infected"
3 24508.7646729949 918 2629.99100286616 4.1 56 "day 3" "cam 4" "arena 12" "control"
4 37247.8301966072 1565 6454.59041926569 7 53.2 "day 3" "cam 4" "arena 12" "control"
1 24624.4924678967 7726 11237.4489702558 34.5 25.7 "day 4" "cam 1" "arena 13" "infected"
2 69727.8292501792 2344 14473.9556269808 10.5 49.7 "day 4" "cam 1" "arena 13" "infected"
3 48817.6876687264 1006 6447.28177889036 4.5 55.6 "day 4" "cam 1" "arena 13" "control"
4 42565.1404254622 378 3368.47869083356 1.7 58.4 "day 4" "cam 1" "arena 13" "control"
1 29586.3096227402 1371 3718.57541796632 6.1 54 "day 4" "cam 2" "arena 14" "infected"
2 30661.714338479 965 5409.40492726998 4.3 55.8 "day 4" "cam 2" "arena 14" "infected"
3 45235.4810302814 2331 11200.49136214 10.4 49.7 "day 4" "cam 2" "arena 14" "control"
4 48932.4945918876 1239 8061.10807218781 5.5 54.6 "day 4" "cam 2" "arena 14" "control"
1 37077.8896028248 683 5696.82700645829 3 57.1 "day 4" "cam 3" "arena 15" "infected"
2 40562.5176491267 1434 4539.62903917091 6.4 53.7 "day 4" "cam 3" "arena 15" "infected"
3 46144.6492548228 569 4676.65733613982 2.5 57.6 "day 4" "cam 3" "arena 15" "control"
4 77882.9638900355 1265 13236.1749373149 5.6 54.5 "day 4" "cam 3" "arena 15" "control"
1 42181.709021217 1740 7638.68647656615 7.8 52.4 "day 4" "cam 4" "arena 16" "infected"
2 41473.5860003626 1473 8581.93801773862 6.6 53.6 "day 4" "cam 4" "arena 16" "infected"
3 52826.0505148556 1599 10138.4202098716 7.1 53 "day 4" "cam 4" "arena 16" "control"
4 42080.1758444387 1866 7488.10973558777 8.3 51.8 "day 4" "cam 4" "arena 16" "control"
1 32756.277406629 3077 9927.43753912261 13.7 46.4 "day 5" "cam 1" "arena 17" "infected"
2 45471.5803335612 1401 6744.26781660805 6.2 53.9 "day 5" "cam 1" "arena 17" "infected"
3 15636.6332688854 271 3067.32406723752 1.2 58.9 "day 5" "cam 1" "arena 17" "control"
4 66800.368052035 1100 9251.53713513535 4.9 55.2 "day 5" "cam 1" "arena 17" "control"
1 30415.8799294501 1624 2522.89789410363 7.2 52.5 "day 5" "cam 2" "arena 18" "infected"
2 26824.6582903199 2974 6555.27262527571 13.3 46.4 "day 5" "cam 2" "arena 18" "infected"
3 34725.565083313 1388 4344.73721477591 6.2 53.5 "day 5" "cam 2" "arena 18" "control"
4 35048.2029214945 721 6487.44253086086 3.2 56.5 "day 5" "cam 2" "arena 18" "control"
1 44501.7321100169 1276 4685.8566991279 5.7 54.5 "day 5" "cam 3" "arena 19" "infected"
2 59954.7959594318 1873 12703.3415489462 8.4 51.8 "day 5" "cam 3" "arena 19" "infected"
3 60084.550804339 2184 12385.070064182 9.7 50.4 "day 5" "cam 3" "arena 19" "control"
4 54093.2066670123 1694 7138.69159651093 7.6 52.6 "day 5" "cam 3" "arena 19" "control"
1 33112.123538225 1405 4327.2976608318 6.3 53 "day 5" "cam 4" "arena 20" "infected"
2 39860.2141453439 2456 8523.66384406586 11 48.3 "day 5" "cam 4" "arena 20" "infected"
3 34678.8562225407 7465 15362.4295128683 33.3 26 "day 5" "cam 4" "arena 20" "control"
4 54064.6218514202 1549 7880.03540377078 6.9 52.4 "day 5" "cam 4" "arena 20" "control"
1 44135.9120886263 967 7695.54523215616 4.3 55.8 "day 6" "cam 1" "arena 21" "infected"
2 44418.023594177 1174 7415.21993155298 5.2 54.9 "day 6" "cam 1" "arena 21" "infected"
3 27138.2583970276 960 1735.13151424211 4.3 55.9 "day 6" "cam 1" "arena 21" "control"
4 24238.1514674349 771 1809.13072387141 3.4 56.7 "day 6" "cam 1" "arena 21" "control"
1 37597.4959307879 675 3726.65369542566 3 57.1 "day 6" "cam 2" "arena 22" "infected"
2 47807.2810060682 1347 5369.59168826088 6 54.1 "day 6" "cam 2" "arena 22" "infected"
3 49155.2700050686 299 2068.31859614685 1.3 58.8 "day 6" "cam 2" "arena 22" "control"
4 33415.3128023397 3706 10525.4228140134 16.5 43.6 "day 6" "cam 2" "arena 22" "control"
1 34253.3310780744 1280 4321.65417024033 5.7 54.4 "day 6" "cam 3" "arena 23" "infected"
2 37607.591068807 962 4630.82396736737 4.3 55.9 "day 6" "cam 3" "arena 23" "infected"
3 41248.534398789 2067 8288.79206543569 9.2 50.9 "day 6" "cam 3" "arena 23" "control"
4 1057.89244429453 0 0 0 60.2 "day 6" "cam 3" "arena 23" "control"
1 36023.8155539815 2606 8763.4950971593 11.6 48.5 "day 6" "cam 4" "arena 24" "infected"
2 38806.4351886604 1764 5358.75830855141 7.9 52.3 "day 6" "cam 4" "arena 24" "infected"
3 38589.8837207738 1490 6726.88848073314 6.6 53.5 "day 6" "cam 4" "arena 24" "control"
4 36251.5478856524 1189 4537.74127693041 5.3 54.8 "day 6" "cam 4" "arena 24" "control"
1 48428.0059259313 2516 8632.37436151034 11.2 48.9 "day 7" "cam 1" "arena 25" "infected"
2 23687.8880446785 823 2010.36239051584 3.7 56.5 "day 7" "cam 1" "arena 25" "infected"
3 67895.0053091017 658 4680.63403350397 2.9 57.2 "day 7" "cam 1" "arena 25" "control"
4 38427.1020799477 655 4221.26767925941 2.9 57.2 "day 7" "cam 1" "arena 25" "control"
1 8485.6171115972 163 280.532465835789 0.7 59.4 "day 7" "cam 2" "arena 26" "infected"
2 15653.9451698053 880 2309.70691732161 3.9 56.2 "day 7" "cam 2" "arena 26" "infected"
3 62591.0235464857 1817 10284.2410690577 8.1 52 "day 7" "cam 2" "arena 26" "control"
4 38825.3684882796 1271 6307.5331599486 5.7 54.5 "day 7" "cam 2" "arena 26" "control"
1 37421.4521447325 2657 6996.53972529128 11.8 48.3 "day 7" "cam 3" "arena 27" "infected"
2 29040.7427564398 1386 4645.38028158902 6.2 53.9 "day 7" "cam 3" "arena 27" "infected"
3 29215.7283887412 688 3959.92142941245 3.1 57.1 "day 7" "cam 3" "arena 27" "control"
4 42122.3122271582 1153 7919.89028608714 5.1 55 "day 7" "cam 3" "arena 27" "control"
1 17138.1161978717 7216 9845.98881870273 32.2 28 "day 7" "cam 4" "arena 28" "infected"
2 37686.3364058871 979 4361.89365184899 4.4 55.8 "day 7" "cam 4" "arena 28" "infected"
3 47777.2838014128 1999 10674.4799180175 8.9 51.2 "day 7" "cam 4" "arena 28" "control"
4 24474.1390197698 666 1925.23646133489 3 57.2 "day 7" "cam 4" "arena 28" "control"
1 48415.4433016278 1601 9224.6980036108 7.1 53 "day 8" "cam 1" "arena 29" "infected"
2 6617.16079193246 45 467.211004802298 0.2 59.9 "day 8" "cam 1" "arena 29" "infected"
3 54877.8657254895 1331 7772.64194155799 5.9 54.2 "day 8" "cam 1" "arena 29" "control"
4 50578.9061849158 1587 8039.22830285271 7.1 53.1 "day 8" "cam 1" "arena 29" "control"
1 35706.6591918351 754 4507.40744187498 3.4 29.8 "day 8" "cam 2" "arena 30" "infected"
2 15505.1796732859 2442 6189.93470804993 10.9 22.3 "day 8" "cam 2" "arena 30" "infected"
3 32467.3979242645 958 5965.04631382863 4.3 28.9 "day 8" "cam 2" "arena 30" "control"
4 12870.1727277565 998 2789.74859009621 4.5 28.7 "day 8" "cam 2" "arena 30" "control"
1 44747.114146337 1844 9790.22213180032 8.2 51.9 "day 8" "cam 3" "arena 31" "infected"
2 86565.3202387682 2668 16098.7006115058 11.9 48.2 "day 8" "cam 3" "arena 31" "infected"
3 45911.0774845759 1692 7276.68454647211 7.5 52.6 "day 8" "cam 3" "arena 31" "control"
4 41565.0057510072 737 4216.01620532723 3.3 56.9 "day 8" "cam 3" "arena 31" "control"
1 48940.5127844741 283 1414.656931864 1.3 58.2 "day 8" "cam 4" "arena 32" "infected"
2 50329.1179893713 1277 6146.19813623211 5.7 53.8 "day 8" "cam 4" "arena 32" "infected"
3 31355.7923882268 2203 7937.5833028649 9.8 49.7 "day 8" "cam 4" "arena 32" "control"
4 55333.7654013559 1680 9009.12966417254 7.5 52 "day 8" "cam 4" "arena 32" "control"
