"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
1 17766.3799356469 1380 2087.86899711578 6.2 54 "day 1" "cam 1" "arena 1" "infected"
2 24418.2035712891 2050 5338.45621770741 9.1 51 "day 1" "cam 1" "arena 1" "infected"
3 0 0 0 0 60.1 "day 1" "cam 1" "arena 1" "control"
4 28234.497738884 2461 9398.29180173635 11 49.2 "day 1" "cam 1" "arena 1" "control"
1 22632.4832562362 4071 8289.40749971396 18.2 42 "day 1" "cam 2" "arena 2" "infected"
2 19174.710314407 301 761.159313417903 1.3 58.8 "day 1" "cam 2" "arena 2" "infected"
3 24350.5832838713 2987 6206.21107752804 13.3 46.8 "day 1" "cam 2" "arena 2" "control"
4 24663.4385169295 2874 6908.20189238931 12.8 47.3 "day 1" "cam 2" "arena 2" "control"
1 19342.1048324125 992 2251.75329098503 4.4 55.7 "day 1" "cam 3" "arena 3" "infected"
2 13191.8696390109 761 573.783451101238 3.4 56.7 "day 1" "cam 3" "arena 3" "infected"
3 0 0 0 0 60.1 "day 1" "cam 3" "arena 3" "control"
4 20800.2131012213 2627 5344.07867117456 11.7 48.4 "day 1" "cam 3" "arena 3" "control"
1 885.969039616769 0 0 0 60.2 "day 1" "cam 4" "arena 4" "infected"
2 23433.6830190668 1275 3777.33079639212 5.7 54.5 "day 1" "cam 4" "arena 4" "infected"
3 23510.2200823371 3466 8954.1902648503 15.5 44.7 "day 1" "cam 4" "arena 4" "control"
4 28227.1540517271 1618 4293.35241711088 7.2 52.9 "day 1" "cam 4" "arena 4" "control"
1 7440.26166340987 333 1475.10005854356 1.5 58.7 "day 2" "cam 1" "arena 5" "infected"
2 26673.5759063696 1971 6552.55660066217 8.8 51.4 "day 2" "cam 1" "arena 5" "infected"
3 24273.4471034362 3323 7074.13560441904 14.8 45.3 "day 2" "cam 1" "arena 5" "control"
4 39937.6993093138 1421 8731.09483927303 6.3 53.8 "day 2" "cam 1" "arena 5" "control"
1 25294.8147298177 3056 7363.81826013445 13.6 46.5 "day 2" "cam 2" "arena 6" "infected"
2 0 0 0 0 60.1 "day 2" "cam 2" "arena 6" "infected"
