"track","frame","x","y"
1,1,1193.05004882812,397.849975585938
2,1,429.630157470703,623.013702392578
3,1,109.20002746582,164.89990234375
4,1,1183.17236328125,289.430999755859
1,2,1193,410
2,2,450.730743408203,623.846153259277
3,2,108.362075805664,165.655151367188
4,2,1183.17236328125,289.430999755859
1,3,1192,415.5
2,3,473,625
3,3,108.100028991699,166.199951171875
4,3,1183.17236328125,289.430999755859
1,4,1191.77026367188,425.121612548828
2,4,491.300048828125,628.900016784668
3,4,108.5,165
4,4,1183.17236328125,289.430999755859
1,5,1192.86755371094,435.779449462891
2,5,516,630.5
3,5,109.5,165
4,5,1179.5,265
1,6,1191.5,446.5
2,6,533.800048828125,632.099998474121
3,6,109,165
4,6,1176.5,243
1,7,1193.77465820312,458.520477294922
2,7,552,634
3,7,108,166
4,7,1181.05004882812,215.850036621094
1,8,1192.59997558594,463.699981689453
2,8,568,633
3,8,108.760032653809,165.679992675781
4,8,1181.05004882812,215.850036621094
1,9,1194.76916503906,470.653839111328
2,9,568,633
3,9,109,165.5
4,9,1181.05004882812,215.850036621094
1,10,1193,477
2,10,568,633
3,10,109,165.5
4,10,1189.13232421875,161.279479980469
1,11,1194.2353515625,482.941162109375
2,11,568,633
3,11,108.5,165.5
4,11,1188.5,149.5
1,12,1193.5,482.5
2,12,568,633
3,12,108.100006103516,165.199890136719
4,12,1187.5,142
1,13,1194.64709472656,487.411743164062
2,13,568,633
3,13,108.130004882812,165.090026855469
4,13,1187.74133300781,134.603454589844
1,14,1194.5,491.5
2,14,568,633
3,14,108.261558532715,165.792297363281
4,14,1184.42297363281,128.115417480469
1,15,1195,493.5
2,15,568,633
3,15,107.807662963867,165.038513183594
4,15,1182.40014648438,122.799926757812
1,16,1196.7001953125,496.899917602539
2,16,568,633
3,16,109,165.5
4,16,1181.75012207031,120.249938964844
1,17,1195.51550292969,497.623046875
2,17,568,633
3,17,108.5,165.5
4,17,1181.75012207031,120.249938964844
1,18,1196,497.5
2,18,568,633
3,18,109,166
4,18,1181.75012207031,120.249938964844
1,19,1196,496.5
2,19,568,633
3,19,109.019233703613,165.59619140625
4,19,1181.75012207031,120.249938964844
1,20,1195.5,497
2,20,568,633
