"track","frame","x","y"
1,1,901.200073242188,97.5999755859375
2,1,84.5,531.5
3,1,91.5,88
4,1,1047.5,625.5
1,2,892.5,98.5
2,2,84.5,532
3,2,91.5,88
4,2,1037,625.5
1,3,890.10009765625,99.7999877929688
2,3,84.5,532
3,3,92.5,88
4,3,1033,625.5
1,4,872.539367675781,104.662841796875
2,4,84.5,532
3,4,93,87.5
4,4,1020,626.5
1,5,854.85009765625,107.049926757812
2,5,84.5,531.5
3,5,94.5,87.5
4,5,1014,626
1,6,833.2890625,107.963317871094
2,6,85,531.5
3,6,95.5,87.5
4,6,999.5,626
1,7,824.204833984375,106.754089355469
2,7,85,531.5
3,7,96.7500381469727,86.7499389648438
4,7,992,626.5
1,8,811.119873046875,106.840087890625
2,8,85,531.5
3,8,98,87.5
4,8,986.5,626
1,9,803.500061035156,104.5
2,9,84.5,531.5
3,9,99.5,87.5
4,9,979.5,625.5
1,10,795,102
2,10,84.5,531
3,10,101,87.5
4,10,970.965576171875,625.586212158203
1,11,788.439086914062,97.9512329101562
2,11,84.5,531.5
3,11,102.560966491699,87.951171875
4,11,967.000061035156,624.999984741211
1,12,786,97
2,12,84.5,531.5
3,12,104.000015258789,88.4999389648438
4,12,964.5,626
1,13,779.240051269531,95.679931640625
2,13,84.5,530.5
3,13,106.70002746582,90.39990234375
4,13,955,625.5
1,14,776.5,96
2,14,84.5,530
3,14,106.477867126465,89.1681518554688
4,14,943.5,624.5
1,15,775.5,96
2,15,84.5,530
3,15,107.5,90
4,15,931.5,625
1,16,775.699951171875,94.6000366210938
2,16,84.5,530.5
3,16,108.250015258789,87.7499389648438
4,16,918.5,624.5
1,17,776,95
2,17,85,529
3,17,108,87.5
4,17,915.5,624.5
1,18,777,94
2,18,84.5,529
3,18,108,87
4,18,914.5,625
1,19,776.5,94.5
2,19,84.5,529.5
3,19,108.5,87.5
4,19,911,624.5
1,20,776.5,96.5
2,20,84.5,530
3,20,108.400032043457,88.1998901367188
4,20,901.5,626
1,21,776.5,96
2,21,84.5,530.5
3,21,108.5,87.5
4,21,893.5,626.5
1,22,777,94
2,22,84.5,529
3,22,108.5,86.5
4,22,885.5,624
1,23,777.549926757812,93.1500854492188
2,23,84.5,526.5
3,23,109.5,87
4,23,877.100158691406,623.799987792969
1,24,776.635131835938,92.689208984375
2,24,84.5,525
3,24,110.250045776367,85.7499389648438
4,24,869.500122070312,623.999984741211
1,25,777.054016113281,93.1756591796875
2,25,84.5,523
3,25,111.5,87
4,25,859,624
1,26,777.5,93.5
2,26,84.5,521.5
3,26,113.5,86.5
4,26,848,623.5
1,27,777,93
2,27,85,522
3,27,114.5,87
4,27,841.10009765625,623.199966430664
1,28,777.61767578125,92.5294189453125
2,28,85,521.5
3,28,114.5,87
4,28,830.948303222656,624.120681762695
1,29,777,92.5
2,29,84.5,521.5
3,29,115.5,87.5
4,29,822.35009765625,621.949996948242
1,30,777,93
2,30,84.5,521
3,30,115,87
4,30,812.829284667969,623.463447570801
1,31,777,92.5
2,31,84.5,519
3,31,115,86.5
4,31,812,624
1,32,777,92.5
2,32,84.5,520.5
3,32,114.5,87
4,32,807,623
1,33,776.5,92.5
2,33,84,517.5
3,33,116,87
4,33,801.5,623
1,34,777,92.5
2,34,84.5,518.5
3,34,116,86.5
4,34,787.900024414062,622.700012207031
1,35,777,92.5
2,35,84,519
3,35,116,86.5
4,35,779.038391113281,622.807754516602
1,36,776.5,94
2,36,84,519
3,36,116,87.5
4,36,770.780517578125,622.524375915527
1,37,777.400085449219,94.7000122070312
2,37,84,520.5
3,37,114.750015258789,87.7499389648438
4,37,769.5,624
1,38,777,95.5
2,38,84,521.5
3,38,115,88.5
4,38,768.5,624
1,39,776.5,95.5
2,39,84,521.5
3,39,114.770248413086,87.87841796875
4,39,768,624
1,40,776.5,95
2,40,84,521
3,40,115.000015258789,87.4999389648438
4,40,767.5,624
1,41,776.5,95
2,41,84,520.5
3,41,114.899978637695,87.199951171875
4,41,769,624.5
1,42,776.5,95
2,42,84,520.5
3,42,115.499984741211,86.9999389648438
4,42,769,624.5
1,43,776,95
2,43,84.5,519
3,43,116.5,87.5
4,43,768.600036621094,624.300010681152
1,44,777,94
2,44,84.5,518.5
3,44,119,86.5
4,44,769.5,623
1,45,777,94
2,45,84.5,518.5
3,45,120,86.5
4,45,768,623
1,46,777.644287109375,93.1752319335938
2,46,84.5,520
3,46,120,86.5
4,46,768.941284179688,623.264678955078
1,47,777,94
2,47,84.5,517.5
3,47,119.5,86.5
4,47,768.5,623.5
1,48,777,94
2,48,84.5,518
3,48,119.5,86
4,48,768.949951171875,622.849998474121
1,49,776.972961425781,93.162109375
2,49,84.5,517.5
3,49,119.5,85.5
4,49,768.5,623.5
1,50,777.269226074219,93.15380859375
2,50,84.5,519
3,50,120,85.5
4,50,768.5,622.5
1,51,777.5,92.4999389648438
2,51,84.5,519.5
3,51,120,85.5
4,51,769.5,622.5
1,52,776.5,93.5
2,52,84.5,518
3,52,120.5,85.5
4,52,769,623
1,53,777.5,93.5
2,53,84.5,517
3,53,120.5,85.5
4,53,769.480041503906,622.639976501465
1,54,777,95
2,54,84,518.5
3,54,120.5,86.5
4,54,768.400024414062,624.300003051758
1,55,777,95
2,55,84.5,519
3,55,120,86.5
4,55,769,624.5
1,56,777,95
2,56,84.5,520
3,56,119.5,86.5
4,56,769,624
1,57,776.534301757812,94.5753784179688
2,57,84,520.5
3,57,119.5,87
4,57,768.5,623.5
1,58,776.5,95.5
2,58,84,519.5
3,58,119.5,86.5
4,58,769,624
1,59,776.5,95.5
2,59,84,520.5
3,59,120.5,86.5
4,59,768.5,624
1,60,775.5,95
2,60,84,521
3,60,120.5,87
4,60,768,624
1,61,776,95
2,61,84,518.5
3,61,121.5,86.5
4,61,769.269287109375,624.153846740723
1,62,772.800109863281,93.9000244140625
2,62,84,521
3,62,122,86
4,62,768,624
1,63,764.5,96
2,63,84,519
3,63,122,86.5
4,63,768,624
1,64,757.123779296875,94.7216186523438
2,64,84,519.5
3,64,125,87
4,64,768,624
1,65,748,95
2,65,84,521.5
3,65,124.5,87
4,65,764.5,624.5
1,66,739,96.5
2,66,84,519.5
3,66,124.5,86.5
4,66,760.5,624.5
1,67,730.948547363281,94.8659057617188
2,67,84,519
3,67,125,87
4,67,759,625
1,68,721.5,95.5
2,68,84,519
3,68,127.5,87
4,68,753,625
1,69,714.5,93.5
2,69,84,519
3,69,127,86.5
4,69,752.049987792969,626.150009155273
1,70,708.609985351562,93.27001953125
2,70,84,519.5
3,70,126,87
4,70,751,625
1,71,700.882385253906,92.4705810546875
2,71,84,520.5
3,71,126.5,87
