repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett,Muetxweek
piloto,control,1,40,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,41,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,42,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,43,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,44,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,45,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,46,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38,0
piloto,control,1,47,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,39,1
piloto,control,1,48,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39,0
piloto,control,1,49,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39,0
piloto,control,1,50,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1
piloto,control,1,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,infectado,2,0,,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
piloto,infectado,2,1,,16,5,58,1,0,0,0,0,0,0,0,0,0,0,74,6,6
piloto,infectado,2,2,,2,0,8,6,55,3,0,0,0,0,0,0,0,0,65,15,9
piloto,infectado,2,3,,0,2,0,0,32,1,30,0,0,0,0,0,0,0,62,18,3
piloto,infectado,2,4,,0,0,0,0,17,1,39,0,5,0,0,0,0,0,61,19,1
piloto,infectado,2,5,,0,0,0,0,8,2,35,1,15,0,0,0,0,0,58,22,3
piloto,infectado,2,6,,0,0,0,0,4,1,25,2,26,0,0,0,0,0,55,25,3
piloto,infectado,2,7,,0,0,0,0,4,0,20,0,29,1,1,0,0,0,54,26,1
piloto,infectado,2,8,,0,0,0,0,4,0,18,1,19,0,8,0,4,0,53,27,1
piloto,infectado,2,9,,0,0,0,0,3,1,16,0,14,0,11,0,8,0,52,28,1
piloto,infectado,2,10,,0,0,0,0,1,0,7,1,12,3,14,2,12,0,46,34,6
piloto,infectado,2,11,,0,0,0,0,0,0,4,1,10,0,16,0,15,0,45,35,1
piloto,infectado,2,12,,0,0,0,0,0,0,4,0,10,0,15,1,15,0,44,36,1
piloto,infectado,2,13,,0,0,0,0,0,0,2,1,5,3,16,0,17,0,40,40,4
piloto,infectado,2,14,,0,0,0,0,0,0,1,0,4,2,16,0,17,0,38,42,2
piloto,infectado,2,15,,0,0,0,0,0,0,0,0,4,1,14,2,17,0,35,45,3
piloto,infectado,2,16,,0,0,0,0,0,0,0,0,4,0,14,0,15,2,33,47,2
piloto,infectado,2,17,,0,0,0,0,0,0,0,0,4,0,14,0,14,1,32,48,1
piloto,infectado,2,18,,0,0,0,0,0,0,0,0,4,0,14,0,14,0,32,48,0
piloto,infectado,2,19,,0,0,0,0,0,0,0,0,4,0,14,0,13,1,31,49,1
piloto,infectado,2,20,,0,0,0,0,0,0,0,0,4,0,14,0,12,1,30,50,1
piloto,infectado,2,21,,0,0,0,0,0,0,0,0,3,1,14,0,9,3,26,54,4
piloto,infectado,2,22,,0,0,0,0,0,0,0,0,3,0,14,0,9,0,26,54,0
piloto,infectado,2,23,,0,0,0,0,0,0,0,0,1,2,14,0,9,0,24,56,2
piloto,infectado,2,24,,0,0,0,0,0,0,0,0,1,0,11,3,9,0,21,59,3
piloto,infectado,2,25,,0,0,0,0,0,0,0,0,1,0,11,0,9,0,21,59,0
piloto,infectado,2,26,,0,0,0,0,0,0,0,0,0,1,9,2,8,1,17,63,4
piloto,infectado,2,27,,0,0,0,0,0,0,0,0,0,0,9,0,8,0,17,63,0
piloto,infectado,2,28,,0,0,0,0,0,0,0,0,0,0,9,0,8,0,17,63,0
piloto,infectado,2,29,,0,0,0,0,0,0,0,0,0,0,9,0,7,1,16,64,1
piloto,infectado,2,30,,0,0,0,0,0,0,0,0,0,0,9,0,6,1,15,65,1
piloto,infectado,2,31,,0,0,0,0,0,0,0,0,0,0,9,0,5,1,14,66,1
piloto,infectado,2,32,,0,0,0,0,0,0,0,0,0,0,9,0,4,1,13,67,1
piloto,infectado,2,33,,0,0,0,0,0,0,0,0,0,0,9,0,4,0,13,67,0
piloto,infectado,2,34,,0,0,0,0,0,0,0,0,0,0,9,0,4,0,13,67,0
piloto,infectado,2,35,,0,0,0,0,0,0,0,0,0,0,9,0,1,3,10,70,3
piloto,infectado,2,36,,0,0,0,0,0,0,0,0,0,0,9,0,0,1,9,71,1
piloto,infectado,2,37,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,71,0
piloto,infectado,2,38,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,71,0
piloto,infectado,2,39,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,71,0
piloto,infectado,2,40,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,71,0
piloto,infectado,2,41,,0,0,0,0,0,0,0,0,0,0,8,1,0,0,8,72,1
piloto,infectado,2,42,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,72,0
piloto,infectado,2,43,,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,73,1
piloto,infectado,2,44,,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,74,1
piloto,infectado,2,45,,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,75,1
piloto,infectado,2,46,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,76,1
piloto,infectado,2,47,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,77,1
piloto,infectado,2,48,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,78,1
piloto,infectado,2,49,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,78,0
piloto,infectado,2,50,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,78,0
piloto,infectado,2,51,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,78,0
piloto,infectado,2,52,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,79,1
piloto,infectado,2,53,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,79,0
piloto,infectado,2,54,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,79,0
piloto,infectado,2,55,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,1
