"left" "" ""
"POLYDAY1CAM1" "49.2641509433962" "640.432075471698"
"POLYDAY1CAM1" "1219.66981132075" "616.3"
"POLYDAY1CAM1" "1212.43018867925" "75.7415094339623"
"POLYDAY1CAM1" "49.2641509433962" "92.633962264151"
"POLYDAY1CAM2" "29.1813559322034" "653.152542372881"
"POLYDAY1CAM2" "1197.62372881356" "659.65593220339"
"POLYDAY1CAM2" "1210.63050847458" "89.5254237288135"
"POLYDAY1CAM2" "16.1745762711864" "89.5254237288135"
"POLYDAY1CAM3" "3.16779661016949" "585.950847457627"
"POLYDAY1CAM3" "1167.27457627119" "605.461016949153"
"POLYDAY1CAM3" "1199.79152542373" "59.1762711864407"
"POLYDAY1CAM3" "9.67118644067797" "37.4983050847458"
"POLYDAY1CAM4" "63.8661016949153" "644.481355932204"
"POLYDAY1CAM4" "1236.64406779661" "633.642372881356"
"POLYDAY1CAM4" "1247.48305084746" "96.028813559322"
"POLYDAY1CAM4" "55.1949152542373" "91.693220338983"
"POLYDAY2CAM1" "33.5169491525424" "666.159322033898"
"POLYDAY2CAM1" "1201.9593220339" "637.977966101695"
"POLYDAY2CAM1" "1193.28813559322" "98.1966101694915"
"POLYDAY2CAM1" "27.0135593220339" "113.371186440678"
"POLYDAY2CAM2" "42.1881355932203" "640.145762711865"
"POLYDAY2CAM2" "1208.46271186441" "642.313559322034"
"POLYDAY2CAM2" "1210.63050847458" "78.6864406779661"
"POLYDAY2CAM2" "33.5169491525424" "87.357627118644"
"POLYDAY2CAM3" "16.1745762711864" "601.125423728814"
"POLYDAY2CAM3" "1173.7779661017" "611.964406779661"
"POLYDAY2CAM3" "1191.12033898305" "63.5118644067796"
"POLYDAY2CAM3" "11.8389830508475" "50.5050847457627"
"POLYDAY2CAM4" "79.0406779661017" "655.320338983051"
"POLYDAY2CAM4" "1236.64406779661" "642.313559322034"
"POLYDAY2CAM4" "1238.81186440678" "102.532203389831"
"POLYDAY2CAM4" "68.2016949152542" "104.7"
"POLYDAY3CAM1" "37.8525423728814" "663.991525423729"
"POLYDAY3CAM1" "1208.46271186441" "640.145762711865"
"POLYDAY3CAM1" "1201.9593220339" "109.035593220339"
"POLYDAY3CAM1" "35.6847457627119" "124.210169491525"
"POLYDAY3CAM2" "40.0203389830508" "642.313559322034"
"POLYDAY3CAM2" "1210.63050847458" "648.816949152542"
"POLYDAY3CAM2" "1219.30169491525" "100.364406779661"
"POLYDAY3CAM2" "31.3491525423729" "98.1966101694915"
"POLYDAY3CAM3" "16.1745762711864" "601.125423728814"
"POLYDAY3CAM3" "1171.61016949153" "614.132203389831"
"POLYDAY3CAM3" "1199.79152542373" "59.1762711864407"
"POLYDAY3CAM3" "18.3423728813559" "48.3372881355932"
"POLYDAY3CAM4" "79.0406779661017" "633.642372881356"
"POLYDAY3CAM4" "1249.65084745763" "633.642372881356"
"POLYDAY3CAM4" "1251.8186440678" "89.5254237288135"
"POLYDAY3CAM4" "68.2016949152542" "87.357627118644"
"POLYDAY4CAM1" "83.3762711864407" "616.3"
"POLYDAY4CAM1" "1245.31525423729" "594.622033898305"
"POLYDAY4CAM1" "1243.14745762712" "54.8406779661017"
