"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","infected","trial","mouseidnum","lifespan","egg_total","hatch_total","avmaxtemp","avmintemp","avmaxhum","avminhum","havmaxtemp","havmintemp","havmaxhum","havminhum","PC1","PC2","PC3","PC4","TPC1","TPC2","TPC3","TPC4","TPC4.1"
"14",14,-2.77265929272979,-1.20015920759492,0.0943535771896775,-0.049661054261567,0,2,2,25,157,91,27.235593220339,25.6694915254237,52.5,41.6271186440678,27.2222222222222,25.657264957265,52.6666666666667,41.7606837606838,-2.39855984080519,-1.08385975106285,-0.0292020425801715,-0.0214071766320914,-2.72628003440697,-0.873930562696791,-0.197763706651216,-0.0335297017842717,0.0270004849200586
"15",15,1.80508205747775,-0.981980771544848,-0.465092481487329,-0.203051527068614,0,2,2,8,21,20,29.0514285714286,26.8742857142857,36.3142857142857,27.8,29.7666666666667,27.4166666666667,36.9166666666667,27.5,1.44694772565901,-0.340900250771008,0.272880552190809,-0.104817716036518,1.03719367617705,-1.36307539451834,0.800429653474284,0.161261907152905,0.0552437688802788
"16",16,-1.05816589589871,-0.722636304375707,-0.136837004114703,-0.00967838201375071,0,2,2,14,56,50,27.7476923076923,26.0738461538462,46.8615384615385,38.3076923076923,28.025641025641,26.0512820512821,45.1282051282051,35.6153846153846,-1.2576412252103,-0.90126802989132,-0.0548155120042112,0.0937969892462072,-1.61334761137187,-1.04342667112563,0.0143902450729122,0.101848597512054,-0.108199298863602
"17",17,-2.95062760225034,-1.13617019340633,0.117706827111085,0.177806546180638,0,2,2,30,79,62,27.0286713286713,25.4755244755245,51.2027972027972,39.2797202797203,27.1418918918919,25.4824324324324,52.027027027027,42.8918918918919,-2.30632162600185,-0.5837174780141,-0.02733590755747,-0.169826392922905,-2.57975526145801,-0.535659474370199,0.119415827437833,0.136730348071263,0.150263407478388
"18",18,-0.99446074265611,-0.777364941563572,0.0178979489873653,0.0284419639439372,0,2,2,20,51,43,27.0705263157895,25.5294736842105,52.821052631579,42.821052631579,27.9862745098039,26.1980392156863,44.5490196078431,35.921568627451,-2.6764959443712,-1.05899775662296,-0.0888712375575854,0.0879488814733518,-2.98880537691285,-0.780287296742597,-0.245163775340882,0.00123210140124413,-0.0836430441166881
"19",19,-1.89234943911039,-0.859492257086392,0.0168811206820502,0.0506931155191586,0,2,2,17,58,49,27.26375,25.655,50.675,41.7375,27.5803921568627,25.8078431372549,48.0392156862745,38.6666666666667,-2.27211542056055,-0.988981056623716,-0.0892112427401668,0.160735124747299,-2.59374664157218,-0.836601865176528,-0.163881403874659,0.0405855341436034,-0.163176983808898
"20",20,0.135700927268293,-1.2697087171586,-0.110692260413011,0.00214251275837052,0,2,2,24,28,22,27.1734513274336,25.6353982300885,53.4601769911504,42.3097345132743,28.8705882352941,26.9411764705882,42.2941176470588,34,-2.57326869173828,-1.15717184658219,-0.032957033255419,-0.0320264968637349,-2.90195241703705,-0.880722176324375,-0.261490643634252,-0.06212119989773,0.0424668214204408
"21",21,-1.12185324464288,-0.0119226180552801,0.359926025095533,-0.0621498026190176,0,2,2,14,4,0,27.7476923076923,26.0738461538462,46.8615384615385,38.3076923076923,27.3,25.95,42.3,34.2,-1.2576412252103,-0.90126802989132,-0.0548155120042112,0.0937969892462072,-1.61334761137187,-1.04342667112563,0.0143902450729122,0.101848597512054,-0.108199298863602
"22",22,-1.93487964449208,-0.943264804922048,0.206866871065549,0.14199806923428,0,2,2,22,33,8,27.1596153846154,25.6028846153846,53.2307692307692,42.7788461538462,27.4901639344262,25.9262295081967,47.6229508196721,39.5737704918033,-2.62016997953129,-1.16192125758331,-0.0509489972843682,0.0478561515891365,-2.94720020447425,-0.871025571387375,-0.281197149357345,-0.0571341199670683,-0.037361946862991
"23",23,-0.603885935109034,-0.381601651579632,-0.192004328273088,-0.0900866036030234,0,2,2,15,34,26,27.5814285714286,25.9371428571429,48.2857142857143,39.4285714285714,28.11,26.0666666666667,42.8666666666667,33.0666666666667,-1.60581310270477,-0.937071552176168,-0.0636010013392583,0.0981386016134234,-1.95052390205893,-0.976717446331975,-0.0480008916501949,0.0779541531836886,-0.108086067196383
"24",24,-0.619069139757011,-0.385237573340878,-0.0468938687730925,0.0979628867195542,0,2,2,16,21,14,27.4453333333333,25.8133333333333,49.5333333333333,40.4533333333333,28.05,26.0958333333333,41.75,33.9583333333333,-1.9114530178646,-0.974323794274088,-0.063753534063499,0.110569685302976,-2.24722694950284,-0.922529970300978,-0.102979049025877,0.047863770349397,-0.11589839972252
"25",25,-1.28833785349976,-0.761843014502977,0.062175098171411,-0.142167444755556,0,2,2,22,54,40,27.1596153846154,25.6028846153846,53.2307692307692,42.7788461538462,27.7589743589744,26.1282051282051,46.2820512820513,36.1282051282051,-2.62016997953129,-1.16192125758331,-0.0509489972843682,0.0478561515891365,-2.94720020447425,-0.871025571387375,-0.281197149357345,-0.0571341199670683,-0.037361946862991
"26",26,1.16210241215382,-0.541220244681994,-0.650168422404165,-0.0664474435207051,0,2,2,7,32,26,29.12,26.9466666666667,37.2333333333333,28.0666666666667,29.395,26.705,37.7,28.25,1.42979564822176,-0.493215893845221,0.309083853109206,-0.158718912143113,1.0027399867011,-1.47018127781917,0.726757084192429,0.0860325324150726,0.118207517025089
"27",27,0.680887906103985,-0.463480283064201,-0.968924567565251,-0.0506029841710697,0,2,2,6,22,19,29.232,26.804,37.72,28.12,29.34,26.2266666666667,39.8666666666667,29,1.38134089645774,-0.4945750719733,0.494903339946863,-0.121052696244046,0.955213380910391,-1.46240919566365,0.808870435989337,-0.082759165288607,0.0909144306032238
