"","idnum","threeperiod","infected","eggs.sums","hatch.sums","alive.sums"
"211",38,7,1,12,3,3
"212",38,8,1,0,0,3
"213",38,9,1,0,0,2
"214",39,1,1,21,21,3
"215",39,2,1,29,25,3
"216",39,3,1,17,15,3
"217",39,4,1,9,8,3
"218",40,1,1,12,9,3
"219",40,2,1,0,0,1
"220",41,1,1,20,10,3
"221",41,2,1,30,27,3
"222",41,3,1,24,18,3
"223",41,4,1,22,15,3
"224",41,5,1,14,13,3
"225",41,6,1,21,20,3
"226",41,7,1,4,4,3
"227",42,1,1,22,6,3
"228",42,2,1,2,0,1
"229",43,1,1,25,16,3
"230",43,2,1,21,17,3
"231",43,3,1,33,23,3
"232",43,4,1,23,19,3
"233",43,5,1,27,16,3
"234",43,6,1,28,18,3
"235",43,7,1,14,5,3
"236",43,8,1,0,0,3
"237",43,9,1,0,0,3
"238",44,1,1,30,22,3
"239",44,2,1,36,23,3
"240",44,3,1,30,21,3
"241",44,4,1,21,11,3
"242",44,5,1,22,11,3
"243",44,6,1,24,12,3
"244",44,7,1,10,1,3
"245",44,8,1,3,0,3
"246",44,9,1,0,0,1
"247",45,1,1,9,6,3
"248",45,2,1,1,1,3
"249",46,1,1,20,10,3
"250",46,2,1,1,1,3
"251",46,3,1,5,5,3
"252",46,4,1,0,0,1
"253",47,1,1,22,20,3
"254",47,2,1,22,21,3
"255",47,3,1,20,19,3
"256",47,4,1,23,18,3
"257",47,5,1,11,10,3
"258",47,6,1,17,15,3
"259",47,7,1,0,0,3
"260",47,8,1,0,0,3
"261",48,1,1,19,12,3
"262",48,2,1,27,17,3
"263",48,3,1,32,29,3
"264",48,4,1,28,23,3
"265",48,5,1,12,10,3
"266",48,6,1,13,6,3
"267",48,7,1,0,0,2
"268",49,1,1,26,26,3
"269",49,2,1,33,27,3
"270",49,3,1,34,29,3
"271",49,4,1,24,17,3
"272",49,5,1,25,12,3
"273",49,6,1,18,11,3
"274",49,7,1,19,10,3
"275",49,8,1,12,7,3
"276",49,9,1,0,0,2
"277",50,1,1,22,15,3
"278",50,2,1,33,27,3
"279",50,3,1,35,30,3
"280",50,4,1,21,18,3
"281",50,5,1,9,6,3
"282",50,6,1,3,2,3
"283",51,1,1,15,14,3
"284",51,2,1,24,19,3
"285",51,3,1,29,25,3
"286",51,4,1,0,0,1
"287",52,1,1,13,11,3
"288",52,2,1,27,25,3
"289",52,3,1,21,14,3
"290",52,4,1,25,21,3
"291",52,5,1,17,13,3
"292",52,6,1,17,16,3
"293",52,7,1,16,12,3
"294",52,8,1,14,10,3
"295",52,9,1,13,2,3
"296",52,10,1,4,3,3
"297",52,11,1,0,0,2
"298",53,1,1,14,13,3
"299",53,2,1,37,29,3
"300",53,3,1,42,39,3
"301",53,4,1,33,27,3
"302",53,5,1,34,24,3
"303",53,6,1,28,25,3
"304",53,7,1,26,15,3
"305",53,8,1,34,21,3
"306",53,9,1,24,10,3
"307",53,10,1,2,0,3
"308",53,11,1,0,0,3
"309",53,12,1,0,0,3
"310",53,19,1,0,0,1
"311",54,1,1,3,2,3
"312",54,2,1,16,10,3
"313",54,3,1,4,3,3
"314",54,4,1,3,3,3
"315",54,5,1,0,0,3
"316",54,6,1,0,0,3
"317",54,7,1,0,0,3
"318",54,8,1,0,0,3
"319",54,9,1,0,0,3
"320",54,10,1,0,0,3
"321",54,11,1,0,0,1
"322",55,1,1,16,14,3
"323",55,2,1,9,5,3
"324",55,3,1,9,7,3
"325",55,4,1,12,11,3
"326",55,5,1,0,0,1
"327",56,1,1,9,6,3
"328",56,2,1,0,0,2
"329",57,1,1,22,15,3
"330",57,2,1,34,21,3
"331",57,3,1,19,11,3
"332",57,4,1,18,8,3
"333",57,5,1,13,8,3
"334",57,6,1,15,4,3
"335",57,7,1,15,8,3
"336",57,8,1,10,2,3
"337",57,9,1,13,6,3
"338",57,10,1,10,5,3
"339",57,11,1,2,2,3
"340",57,12,1,0,0,2
"341",58,1,1,7,0,3
"342",58,2,1,0,0,3
"343",58,3,1,0,0,3
"344",58,4,1,0,0,3
"345",58,5,1,0,0,3
"346",58,6,1,0,0,1
"347",59,1,1,21,10,3
"348",59,2,1,21,17,3
