"","idnum","id","parents","infected","start","week","date","eggs","hatch","alive","mouse","procedencia","trial","perferc","avtemphigh","avtemplow","avtemp","tempmax","tempmin","tempdiff","avhumhigh","avhumlow","avhum","hummax","hummin","humdiff","eggevent","hatchevent","egg_total","hatch_total","mouseidnum","lifespan","avtemp_total","avlowtemp_total","avhightemp_total","avhum_total","avlowhum_total","avhighhum_total","hightemp_total","highhum_total","lowtemp_total","lowhum_total","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"11",11,"P11-2","P11","0",2014-12-11,"1",2014-12-18,4,3,1,"CO-A-2","CO-A",2,0.75,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,31,22,1,14,26.3000595238095,25.4357142857143,27.1644047619048,46.7720238095238,41.9952380952381,51.5488095238095,36.3,70,22.6,26,-80.4145943435424,-7.5549934347623,-6.0178387350363,-0.684573047959495,-1.00602827164584,0.681046866580588,0.193606216752122,1.33903795145529e-15,-2.41583667697045e-13
"12",12,"P12-2","P12","0",2014-12-18,"1",2014-12-25,0,NA,1,"CO-A-2","CO-A",2,NA,30.1666666666667,25.4,27.7833333333333,36.3,25.3,10.7,48,28,38,68,27,40,0,NA,43,33,1,9,26.7378703703704,25.8644444444444,27.6112962962963,42.3787037037037,37.4592592592593,47.2981481481482,36.3,68,22.6,26,-78.2702575881483,-2.46959055230038,-0.345519180778177,-0.909374742631412,-0.128515068944815,0.604790383522745,-0.0484590965763776,1.38153867661672e-15,-1.1955719096781e-14
"13",13,"P13-2","P13","0",2014-11-20,"1",2014-11-27,5,5,1,"CO-B-2","CO-B",2,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,38,29,2,22,26.4498106060606,25.6293181818182,27.270303030303,46.6219696969697,41.5242424242424,51.719696969697,36.3,72,22.6,26,-78.542904589854,-9.44115266583559,-5.03166198108223,-0.875013747464722,-0.848725514154094,0.198480840617226,0.061574325136137,1.86314201668704e-16,-1.06573609008722e-13
"14",14,"P14-2","P14","0",2014-11-20,"1",2014-11-27,4,2,1,"CO-B-2","CO-B",2,0.5,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,157,91,2,25,26.5086333333333,25.6964,27.3208666666667,46.6713333333333,41.1073333333333,52.2353333333333,36.3,72,22.6,26,-77.5776306455864,-9.65351994820404,-5.20432519735518,-0.882359200245434,-0.282049970304107,-0.140248407791358,-0.0387686632616421,-9.23908822956453e-16,2.07160628497662e-14
"15",15,"P15-2","P15","0",2014-11-20,"1",2014-11-27,0,NA,1,"CO-B-2","CO-B",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,21,20,2,8,27.9194791666667,26.780625,29.0583333333333,32.6854166666667,28.0666666666667,37.3041666666667,36.3,68,23.1,26,-73.0315242265559,4.92581882869146,14.2147573792084,-1.72516128222824,0.515280274865242,0.195556481774921,-0.113760172947707,-1.44953003617743e-15,8.50023127842527e-14
"16",16,"P16-2","P16","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,56,50,2,14,26.9447023809524,26.0589285714286,27.8304761904762,42.2130952380952,37.7095238095238,46.7166666666667,36.3,68,22.6,26,-74.2744095923471,-2.76716149816292,-0.365200429799068,-0.527884389063285,-0.702425556528077,0.488073069452718,0.0635878159607464,-7.9033511530624e-16,-1.16918198776841e-13
"17",17,"P17-2","P17","0",2014-11-27,"1",2014-12-04,3,3,1,"CO-B-2","CO-B",2,1,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,79,62,2,30,26.3005277777778,25.4983333333333,27.1027222222222,45.0094444444444,38.9561111111111,51.0627777777778,36.3,72,22.3,22,-74.2322461217762,-8.81444480889435,-3.03014581762396,-1.32053346722698,0.701585074152623,0.110455754630273,-0.261379853029822,2.9618717632316e-15,2.22980483339972e-13
"18",18,"P18-2","P18","0",2014-11-27,"1",2014-12-04,6,5,1,"CO-B-2","CO-B",2,0.833333333333333,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,51,43,2,20,26.3542916666667,25.54625,27.1623333333333,47.2991666666667,42.1766666666667,52.4216666666667,36.3,72,22.6,26,-73.7642940469741,-10.6150149955371,-6.48609697107659,-0.599612892563703,-0.854567009287532,0.195877920628094,0.0804706352892595,-6.46353066800163e-16,-1.15242022218178e-13
"19",19,"P19-2","P19","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,58,49,2,17,26.5138725490196,25.6673529411765,27.3603921568627,45.6872549019608,41.043137254902,50.3313725490196,36.3,70,22.6,26,-72.2584831723663,-7.66862405446566,-5.0074649562909,-0.35809231385036,-1.06633047043803,0.492306421174582,0.156318038237866,6.77032190510288e-18,-2.05045187122545e-13
"20",20,"P20-2","P20","0",2014-11-27,"1",2014-12-04,12,12,1,"CO-B-2","CO-B",2,1,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,28,22,2,24,26.4560763888889,25.6545833333333,27.2575694444444,47.4409722222222,41.7284722222222,53.1534722222222,36.3,72,22.6,26,-71.836364129027,-11.0347677413679,-6.87935605011085,-0.542404579175488,-0.156900121307904,-0.290849995746065,-0.0336250383147676,7.13670138365653e-16,3.68394501972326e-14
