"","id","x","y","alpha","major","minor","area","frame","track","pred1","pred2","TPX","BPX","trayn","camera","rep","trial","position"
"51",1,752,385.5,-90,7,6,31.5,11,1,2736.19999999991,371.835820895522,681,676,3,1,2,3,3
"52",1,751.500061035156,388.500022888184,45,7.07106781005859,5.65685367584229,31,12,1,2720.10196533194,371.809704680941,681,676,3,1,2,3,3
"53",1,752,390.5,-90,7,6,30,13,1,2736.19999999991,371.835820895522,681,676,3,1,2,3,3
"54",1,750.5,390.5,-90,7,5,28,14,1,2687.89999999991,371.757462686567,681,676,3,1,2,3,3
"55",1,749.5,395.5,-90,7,5,30.5,15,1,2655.69999999991,371.705223880597,681,676,3,1,2,3,3
"56",1,747.5,403.5,-90,7,5,29.5,16,1,2591.29999999991,371.600746268657,681,676,3,1,2,3,3
"57",1,743.500061035156,409.999961853027,45,6.3639612197876,6.36396026611328,29,17,1,2462.50196533195,371.39179423318,681,676,3,1,2,3,3
"58",1,738.5,420.5,-90,7,5,28.5,18,1,2301.49999999992,371.130597014925,681,676,3,1,2,3,3
"59",1,738.250061035156,420.749961853027,45,7.07106781005859,6.36396026611328,32.5,19,1,2293.45196533195,371.117540501837,681,676,3,1,2,3,3
"60",1,734.5,424,-90,8,5,31.5,20,1,2172.69999999993,370.921641791045,681,676,3,1,2,3,3
"61",1,308.5,248,0,7,4,21,1,1,590.799999999999,182.111111111111,297,292,4,1,2,3,4
"62",1,313.5,246,0,7,4,23,2,1,736.799999999997,181.849673202614,297,292,4,1,2,3,4
"63",1,319.5,244,0,7,4,20.5,3,1,911.999999999996,181.535947712418,297,292,4,1,2,3,4
"64",1,324.5,241.5,0,5,3,11,4,1,1057.99999999999,181.274509803922,297,292,4,1,2,3,4
"65",1,327.100036621094,239.699981689453,-26.5650482177734,6.70820331573486,3.13049507141113,14,5,1,1133.92106933593,181.138560176675,297,292,4,1,2,3,4
"66",1,329,238.5,0,6,3,12,6,1,1189.39999999999,181.039215686275,297,292,4,1,2,3,4
"67",1,327.5,239,0,5,4,16.5,7,1,1145.59999999999,181.117647058824,297,292,4,1,2,3,4
"68",1,326.5,239.5,90,5,5,21,8,1,1116.39999999999,181.169934640523,297,292,4,1,2,3,4
"69",1,323.5,241.5,90,5,5,20,9,1,1028.8,181.326797385621,297,292,4,1,2,3,4
"70",1,313.431030273438,246.327575683594,-21.8014068603516,7.61350870132446,3.89960217475891,20.5,10,1,734.786083984372,181.853279462827,297,292,4,1,2,3,4
"71",1,305.5,249,0,7,4,22.5,11,1,503.199999999999,182.267973856209,297,292,4,1,2,3,4
"72",1,296,250,0,8,4,24,12,1,225.800000000001,182.764705882353,297,292,4,1,2,3,4
"73",1,283.5,251,0,7,4,25,13,1,-139.199999999995,183.418300653595,297,292,4,1,2,3,4
"74",1,278.5,251,0,7,4,22.5,14,1,-285.199999999995,183.679738562092,297,292,4,1,2,3,4
"75",1,276.5,251.5,0,7,3,17.5,15,1,-343.599999999994,183.78431372549,297,292,4,1,2,3,4
"76",1,275.5,252,0,7,2,11,16,1,-372.799999999994,183.83660130719,297,292,4,1,2,3,4
"77",1,275,252,0,6,2,8.5,17,1,-387.399999999994,183.862745098039,297,292,4,1,2,3,4
"78",1,274,252,0,6,2,5.5,18,1,-416.599999999994,183.915032679739,297,292,4,1,2,3,4
"79",1,274.5,252,0,7,2,11.5,19,1,-401.999999999994,183.888888888889,297,292,4,1,2,3,4
"80",1,274.5,252,0,7,2,10,20,1,-401.999999999994,183.888888888889,297,292,4,1,2,3,4
"81",1,440.049987792969,188.149963378906,71.5650482177734,7.27323770523071,5.05964422225952,27.5,1,1,746.507402692525,184.326114338674,463,470,5,1,2,3,5
"82",1,443.5,188,0,7,6,30.5,2,1,673.071428571429,184.414012738853,463,470,5,1,2,3,5
"83",1,445.000061035156,188.999969482422,45,7.07106781005859,5.65685367584229,30,3,1,641.141557965961,184.452230854399,463,470,5,1,2,3,5
