"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,134,333,424,230,240,242,240,410,314,324,157,328
"2",2,333,526,424,230,430,236,436,404,513,316,351,321
"3",3,526,727,424,208,620,224,634,388,713,304,551,309
"4",4,134,333,230,30,247,66,246,214,319,143,172,145
"5",5,329,526,230,30,423,63,428,209,502,137,349,139
"6",6,526,727,208,30,615,50,623,199,698,125,546,127
