"","id","x","y","alpha","major","minor","area","frame","track","pred1","pred2","TPX","BPX","trayn","camera","rep","trial","position"
"1",1,356,358.5,-90,5,2,8.5,1,1,-1651.66666666671,363.961538461538,280,286,1,1,2,1,1
"2",1,355.5,355.5,-90,5,3,12.5,2,1,-1637.83333333337,363.958333333333,280,286,1,1,2,1,1
"3",1,355.5,352,-90,4,3,8.5,3,1,-1637.83333333337,363.958333333333,280,286,1,1,2,1,1
"4",1,356,350,-90,4,2,5.5,4,1,-1651.66666666671,363.961538461538,280,286,1,1,2,1,1
"5",1,355.5,345.5,90,3,1,2.5,5,1,-1637.83333333337,363.958333333333,280,286,1,1,2,1,1
"6",1,354.5,343,90,4,1,4,6,1,-1610.16666666671,363.951923076923,280,286,1,1,2,1,1
"7",1,353,339,-90,4,2,7,7,1,-1568.66666666671,363.942307692308,280,286,1,1,2,1,1
"8",1,349.5,330.5,-90,5,3,11,8,1,-1471.83333333337,363.919871794872,280,286,1,1,2,1,1
"9",1,347.100036621094,324.699996948242,63.4349517822266,4.91934967041016,2.23606777191162,7,9,1,-1405.43434651696,363.904487414238,280,286,1,1,2,1,1
"10",1,343.000030517578,317.499969482422,45,4.94974708557129,2.12132024765015,7,10,1,-1292.00084431969,363.878205323831,280,286,1,1,2,1,1
"11",1,343.5,318,-90,4,3,7.5,11,1,-1305.83333333337,363.88141025641,280,286,1,1,2,1,1
"12",1,343.500030517578,318.999984741211,45,4.94974708557129,2.12132024765015,8,12,1,-1305.83417765303,363.881410452036,280,286,1,1,2,1,1
"13",1,343.500030517578,318.999984741211,45,4.94974708557129,2.12132024765015,8,13,1,-1305.83417765303,363.881410452036,280,286,1,1,2,1,1
"14",1,343.500030517578,318.999984741211,45,4.94974708557129,2.12132024765015,8,14,1,-1305.83417765303,363.881410452036,280,286,1,1,2,1,1
"15",1,343.500030517578,318.999984741211,45,4.94974708557129,2.12132024765015,9,15,1,-1305.83417765303,363.881410452036,280,286,1,1,2,1,1
"16",1,343.500030517578,318.999984741211,45,4.94974708557129,2.12132024765015,9,16,1,-1305.83417765303,363.881410452036,280,286,1,1,2,1,1
"17",1,343.000030517578,319.999984741211,45,4.24264049530029,4.24264049530029,13,17,1,-1292.00084431969,363.878205323831,280,286,1,1,2,1,1
"18",1,335.5,323.5,0,5,3,12.5,18,1,-1084.50000000003,363.830128205128,280,286,1,1,2,1,1
"19",1,325,329,0,4,4,11,19,1,-794.000000000024,363.76282051282,280,286,1,1,2,1,1
"20",1,322,334,0,4,4,12,20,1,-711.000000000022,363.74358974359,280,286,1,1,2,1,1
"21",1,481.750030517578,284.25,45,5.65685367584229,3.5355339050293,15.5,1,1,1024.08499145506,354.433641786928,471,468,2,1,2,1,2
"22",1,481.750030517578,284.25,45,5.65685367584229,3.5355339050293,15.5,2,1,1024.08499145506,354.433641786928,471,468,2,1,2,1,2
"23",1,481.750030517578,284.25,45,5.65685367584229,3.5355339050293,15.5,3,1,1024.08499145506,354.433641786928,471,468,2,1,2,1,2
"24",1,482.000030517578,284.5,45,6.3639612197876,3.5355339050293,17,4,1,1037.6683247884,354.432098577052,471,468,2,1,2,1,2
"25",1,482.000030517578,284.5,45,6.3639612197876,3.53553366661072,18,5,1,1037.6683247884,354.432098577052,471,468,2,1,2,1,2
"26",1,482.000030517578,284.5,45,6.3639612197876,3.5355339050293,17,6,1,1037.6683247884,354.432098577052,471,468,2,1,2,1,2
"27",1,482.000030517578,284.5,45,6.3639612197876,3.5355339050293,17,7,1,1037.6683247884,354.432098577052,471,468,2,1,2,1,2
"28",1,482.75,285.249984741211,45,5.65685367584229,3.5355339050293,13.5,8,1,1078.41666666665,354.427469135802,471,468,2,1,2,1,2
"29",1,480.5,298.5,-90,5,3,13.5,9,1,956.166666666653,354.441358024691,471,468,2,1,2,1,2
"30",1,494.250061035156,314.749969482422,45,5.65685367584229,3.5355339050293,14.5,10,1,1703.25331624345,354.356481104721,471,468,2,1,2,1,2
"31",1,504.750061035156,308.749969482422,-45,5.65685367584229,3.5355339050293,15.5,11,1,2273.75331624343,354.291666289906,471,468,2,1,2,1,2
"32",1,504.5,309,0,5,4,16.5,12,1,2260.16666666661,354.293209876543,471,468,2,1,2,1,2
"33",1,507.5,308,0,5,4,17,13,1,2423.1666666666,354.274691358025,471,468,2,1,2,1,2
"34",1,515,301,90,4,4,14,14,1,2830.66666666659,354.228395061728,471,468,2,1,2,1,2
"35",1,511,296.5,-90,5,4,13.5,15,1,2613.33333333326,354.253086419753,471,468,2,1,2,1,2
"36",1,506.5,294,0,5,4,13,16,1,2368.83333333327,354.280864197531,471,468,2,1,2,1,2
"37",1,500.5,290,0,5,4,14,17,1,2042.83333333328,354.317901234568,471,468,2,1,2,1,2
"38",1,490.5,286,0,5,4,15,18,1,1499.49999999997,354.37962962963,471,468,2,1,2,1,2
"39",1,483.750030517578,284.25,45,5.65685367584229,3.5355339050293,15.5,19,1,1132.75165812172,354.421296107916,471,468,2,1,2,1,2
"40",1,479.5,283,0,5,4,16,20,1,901.833333333321,354.447530864197,471,468,2,1,2,1,2
"41",1,604.250061035156,383.249969482422,45,4.94974708557129,2.82842683792114,9.5,1,1,-518.922325721148,358.816454151009,682,669,3,1,2,1,3
"42",1,600.250061035156,355.750015258789,-45,4.94974708557129,4.24264049530029,15.5,6,1,-568.153094951917,358.917719973794,682,669,3,1,2,1,3
"43",1,607,353,0,6,4,18.5,7,1,-485.076923076917,358.746835443038,682,669,3,1,2,1,3
"44",1,617.25,351.25,-45,5.65685367584229,4.94974708557129,20.5,8,1,-358.923076923072,358.487341772152,682,669,3,1,2,1,3
"45",1,632.5,348,0,7,4,20,9,1,-171.230769230766,358.101265822785,682,669,3,1,2,1,3
"46",1,649.5,350,0,7,4,19.5,10,1,38.0000000000018,357.670886075949,682,669,3,1,2,1,3
"47",1,664.500061035156,352.000015258789,-45,4.94974756240845,4.94974708557129,17,11,1,222.616135817308,357.291137695312,682,669,3,1,2,1,3
"48",1,679,346,0,6,4,20,12,1,401.076923076923,356.924050632911,682,669,3,1,2,1,3
"49",1,686.5,335.5,0,5,5,19.5,13,1,493.384615384614,356.73417721519,682,669,3,1,2,1,3
"50",1,694.750061035156,317.749984741211,-45,5.65685367584229,4.94974708557129,17.5,14,1,594.923828124997,356.525314910502,682,669,3,1,2,1,3
"51",1,687,300,-90,6,4,17.5,15,1,499.53846153846,356.721518987342,682,669,3,1,2,1,3
"52",1,680.299987792969,290.099975585938,63.4349517822266,6.70820331573486,4.02492237091064,18.5,16,1,417.076772836538,356.891139549545,682,669,3,1,2,1,3
"53",1,681.000061035156,288.999969482422,-45,5.65685367584229,4.24264049530029,18,17,1,425.69305889423,356.873416176325,682,669,3,1,2,1,3
"54",1,681,289.5,-90,5,4,15,18,1,425.692307692306,356.873417721519,682,669,3,1,2,1,3
"55",1,681,289.5,-90,5,4,16,19,1,425.692307692306,356.873417721519,682,669,3,1,2,1,3
"56",1,681,289.5,-90,5,4,16,20,1,425.692307692306,356.873417721519,682,669,3,1,2,1,3
"57",1,323.5,117.999969482422,-26.5650482177734,5.36656332015991,3.13049507141113,12,1,1,4264.99999999965,177.593333333333,296,295,4,1,2,1,4
"58",1,325,118.5,0,6,3,14,2,1,4483.99999999963,177.573333333333,296,295,4,1,2,1,4
"59",1,331,121.5,0,6,3,14.5,3,1,5359.99999999955,177.493333333333,296,295,4,1,2,1,4
"60",1,334.750030517578,123.249969482422,45,5.65685367584229,3.5355339050293,14.5,4,1,5907.50445556591,177.443332926432,296,295,4,1,2,1,4
"61",1,341.5,128.5,0,5,3,12,5,1,6892.99999999942,177.353333333333,296,295,4,1,2,1,4
"62",1,346,133,0,4,4,13.5,6,1,7549.99999999936,177.293333333333,296,295,4,1,2,1,4
"63",1,349.000030517578,137.999969482422,45,5.65685367584229,2.82842683792114,13,7,1,7988.00445556572,177.253332926432,296,295,4,1,2,1,4
"64",1,351,140.5,0,4,3,11,8,1,8279.99999999929,177.226666666667,296,295,4,1,2,1,4
"65",1,355,149,0,4,4,12.5,9,1,8863.99999999924,177.173333333333,296,295,4,1,2,1,4
"66",1,357,152,0,4,4,13.5,10,1,9155.99999999921,177.146666666667,296,295,4,1,2,1,4
"67",1,355.5,153.5,-90,5,3,12.5,11,1,8936.99999999924,177.166666666667,296,295,4,1,2,1,4
"68",1,350.5,156,-90,6,3,13.5,12,1,8206.9999999993,177.233333333333,296,295,4,1,2,1,4
"69",1,352.500030517578,161.999969482422,45,4.94974708557129,3.5355339050293,13,13,1,8499.00445556568,177.206666259766,296,295,4,1,2,1,4
"70",1,354,164.5,-90,5,4,15,14,1,8717.99999999926,177.186666666667,296,295,4,1,2,1,4
"71",1,354,166,0,4,4,13.5,15,1,8717.99999999926,177.186666666667,296,295,4,1,2,1,4
"72",1,354.250030517578,166.749969482422,45,5.65685367584229,3.5355339050293,15.5,16,1,8754.50445556566,177.183332926432,296,295,4,1,2,1,4
"73",1,354.250030517578,166.749969482422,45,5.65685367584229,3.5355339050293,14.5,17,1,8754.50445556566,177.183332926432,296,295,4,1,2,1,4
"74",1,354.000030517578,166.499969482422,45,4.94974708557129,3.5355339050293,14,18,1,8718.00445556566,177.186666259766,296,295,4,1,2,1,4
"75",1,352.5,163,0,5,4,14,19,1,8498.99999999927,177.206666666667,296,295,4,1,2,1,4
"76",1,347.200073242188,161.599945068359,26.5650501251221,6.26099014282227,3.57770848274231,15.5,20,1,7725.21069335872,177.277332356771,296,295,4,1,2,1,4
"77",1,415,128,90,2,2,3.5,1,1,2162.00000000002,174.745098039216,467,471,5,1,2,1,5
"78",1,414.500030517578,128.5,-45,2.82842683792114,1.41421341896057,2,2,1,2180.37387847903,174.725491392846,467,471,5,1,2,1,5
"79",1,414.5,128,0,3,2,4,3,1,2180.37500000002,174.725490196078,467,471,5,1,2,1,5
