"","treatment","day","paint","days.after.paint","exp.time","alive","dead","knockdown","unviable","living","total","prop.alive","prop.dead","prop.kd","prop.uv","prop.liv","pch","lty"
"231","01H-CO-1",21,"CO",1,"01H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,18,1
"241","01H-CO-1",28,"CO",1,"01H",0,0,0,0,0,0,NA,NA,NA,NA,NA,18,1
"251","01H-CO-180",1,"CO",180,"01H",41,3,0,3,41,44,0.931818181818182,0.0681818181818182,0,0.0681818181818182,0.931818181818182,17,1
"261","01H-CO-180",7,"CO",180,"01H",36,8,0,8,36,44,0.818181818181818,0.181818181818182,0,0.181818181818182,0.818181818181818,17,1
"271","01H-CO-180",14,"CO",180,"01H",33,9,2,11,35,44,0.75,0.204545454545455,0.0454545454545455,0.25,0.795454545454545,17,1
"281","01H-CO-180",21,"CO",180,"01H",31,13,0,13,31,44,0.704545454545455,0.295454545454545,0,0.295454545454545,0.704545454545455,17,1
"291","01H-CO-180",28,"CO",180,"01H",29,14,1,15,30,44,0.659090909090909,0.318181818181818,0.0227272727272727,0.340909090909091,0.681818181818182,17,1
"30","01H-CO-90",1,"CO",90,"01H",44,3,1,4,45,48,0.916666666666667,0.0625,0.0208333333333333,0.0833333333333333,0.9375,20,1
"31","01H-CO-90",7,"CO",90,"01H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,1
"32","01H-CO-90",13,"CO",90,"01H",41,7,0,7,41,48,0.854166666666667,0.145833333333333,0,0.145833333333333,0.854166666666667,20,1
"33","01H-CO-90",21,"CO",90,"01H",39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1
"34","01H-CO-90",28,"CO",90,"01H",39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1
"36","03H-5A-1",1,"5A",1,"03H",8,3,37,40,45,48,0.166666666666667,0.0625,0.770833333333333,0.833333333333333,0.9375,18,2
"37","03H-5A-1",2,"5A",1,"03H",18,10,20,30,38,48,0.375,0.208333333333333,0.416666666666667,0.625,0.791666666666667,18,2
"38","03H-5A-1",7,"5A",1,"03H",24,20,4,24,28,48,0.5,0.416666666666667,0.0833333333333333,0.5,0.583333333333333,18,2
