"","V1"
"1",0.529411764705882
"2",0.514705882352941
"3",0.514563106796116
"4",0.492753623188406
"5",0.482558139534884
"6",0.475728155339806
"7",0.470588235294118
"8",0.47037037037037
"9",0.468646864686469
"10",0.467261904761905
"11",0.467567567567568
"12",0.464197530864198
"13",0.469248291571754
"14",0.471458773784355
"15",0.47534516765286
"16",0.477859778597786
"17",0.481802426343154
"18",0.491830065359477
"19",0.496904024767802
"20",0.50367107195301
"21",0.509776536312849
"22",0.513981358189081
"23",0.518471337579618
"24",0.521367521367521
"25",0.524647887323944
"26",0.526553672316384
"27",0.52723311546841
"28",0.525762355415352
"29",0.523373983739837
"30",0.521611001964637
"31",0.517568850902184
"32",0.514732965009208
"33",0.512934879571811
"34",0.511688311688312
"35",0.510084033613445
"36",0.507755102040816
"37",0.506349206349206
"38",0.504247104247104
"39",0.502633559066968
"40",0.5
"41",0.498213009292352
"42",0.496513249651325
"43",0.494213750850919
"44",0.493351063829787
"45",0.492857142857143
"46",0.494289340101523
"47",0.495965238981999
"48",0.497267759562842
"49",0.499108734402852
"50",0.502036067481094
"51",0.504561003420753
"52",0.506703910614525
"53",0.51013698630137
"54",0.512903225806452
"55",0.514240506329114
"56",0.515527950310559
"57",0.517276422764228
"58",0.518962075848303
"59",0.520588235294118
"60",0.52144578313253
"61",0.522274881516588
"62",0.523543123543123
"63",0.524770642201835
"64",0.52572202166065
"65",0.52708703374778
"66",0.52972027972028
"67",0.532501076194576
"68",0.535623409669211
"69",0.538236523192645
"70",0.540139975298477
"71",0.542393509127789
"72",0.544582167133147
"73",0.546314544737879
"74",0.547433903576983
"75",0.548139624088991
"76",0.549413101098069
"77",0.550242809114681
"78",0.550313306302986
"79",0.548926882502728
"80",0.548294434470377
"81",0.547323644097838
"82",0.546377318865943
"83",0.546145869339786
"84",0.545578695800615
"85",0.544350758853288
"86",0.543485504831723
"87",0.542970036219954
"88",0.542141230068337
"89",0.541974911547121
"90",0.541494435612083
"91",0.541194968553459
"92",0.540279937791602
"93",0.539384615384615
"94",0.538648813146683
"95",0.537627934978928
"96",0.536628945801072
"97",0.535651149086623
"98",0.534402332361516
"99",0.533756491633006
"100",0.533123929183324
"101",0.532786885245902
"102",0.533016228315613
"103",0.533240997229917
"104",0.533735600658256
"105",0.533822330888346
"106",0.533638320775027
"107",0.53345774460144
"108",0.534072900158479
"109",0.534415074587804
"110",0.534751037344398
"111",0.534961439588689
"112",0.535168195718654
"113",0.535371399696817
"114",0.535571142284569
"115",0.535882791159672
"116",0.53643525356967
"117",0.536490114718086
"118",0.536431856693295
"119",0.536005760921747
"120",0.535586765055939
"121",0.535064935064935
"122",0.534426229508197
"123",0.533921933085502
"124",0.533302604286702
"125",0.532921810699588
"126",0.532667876588022
"127",0.532417829806394
"128",0.532276077730623
"129",0.532579787234043
"130",0.532658895975368
"131",0.532736796158883
"132",0.533030106129521
"133",0.533319002579536
"134",0.534030296564967
"135",0.534194367986449
"136",0.534790834559596
"137",0.535170110624087
"138",0.535544041450777
"139",0.536103682369883
"140",0.536859301613233
"141",0.537806608554632
"142",0.538740189172872
"143",0.53966033966034
"144",0.540567347748463
"145",0.541067559582431
"146",0.541560727557207
"147",0.542241211885803
"148",0.542526518804243
"149",0.543103448275862
"150",0.54349895297925
"151",0.543683812405446
"152",0.543866240841631
"153",0.543859649122807
"154",0.543768545994065
"155",0.543478260869565
"156",0.54300878477306
"157",0.542560931247726
"158",0.542035798228168
"159",0.541599281221923
"160",0.541071428571429
"161",0.540823571175009
"162",0.540674077995412
"163",0.540512101017187
"164",0.540352100400906
"165",0.54036729036729
"166",0.54055450318581
"167",0.540739472783293
"168",0.541092394078612
"169",0.541102841677943
"170",0.540945014292921
"171",0.541123370110331
"172",0.541465846767492
"173",0.541969596827495
"174",0.542138984721538
"175",0.542469781117282
"176",0.543047433398311
"177",0.54345718901454
"178",0.543862467866324
"179",0.544336155935453
"180",0.545035742652899
"181",0.54565560821485
"182",0.546268656716418
"183",0.546875
"184",0.547319347319347
"185",0.547998144999227
"186",0.548754229467856
"187",0.549793483249197
"188",0.550753309998478
"189",0.551786795881284
"190",0.552726724917144
"191",0.553657074340528
"192",0.554660700969426
"193",0.555572043329871
"194",0.556244464127546
"195",0.557056836539874
"196",0.557860900058445
"197",0.55836604157581
"198",0.559010702921608
"199",0.559361059145201
"200",0.559564719358534
"201",0.559623878045306
"202",0.559682449673944
"203",0.559881506559458
"204",0.559797866367209
"205",0.559715044000559
"206",0.559772032249096
"207",0.559828468667866
"208",0.55988436123348
"209",0.559939717769557
"210",0.560130897191164
"211",0.560320260550957
"212",0.560507833603458
"213",0.560559214948246
"214",0.560743912229061
"215",0.56098535286285
"216",0.561357010336602
"217",0.561271600052763
"218",0.561055672268908
"219",0.561291165708312
"220",0.561394380853278
"221",0.561698821701411
"222",0.562258313998453
"223",0.562812780700629
"224",0.563234542667348
"225",0.563525371995422
"226",0.563813623702203
"227",0.564280312578775
"228",0.56474278544542
"229",0.565201099175618
"230",0.565530962447152
"231",0.565857885615251
"232",0.565935420261277
"233",0.56601226993865
"234",0.566332763254337
"235",0.566650450012163
"236",0.567034031730653
"237",0.56734595441939
"238",0.567535118261496
"239",0.567722653915123
"240",0.567789548863231
"241",0.567855872940619
