"","V1"
"1",0.361111111111111
"2",0.375
"3",0.388888888888889
"4",0.398601398601399
"5",0.404494382022472
"6",0.406542056074766
"7",0.408
"8",0.4
"9",0.39375
"10",0.393258426966292
"11",0.391304347826087
"12",0.384976525821596
"13",0.380952380952381
"14",0.379518072289157
"15",0.371482176360225
"16",0.36443661971831
"17",0.358208955223881
"18",0.353677621283255
"19",0.346666666666667
"20",0.340365682137834
"21",0.334672021419009
"22",0.33205619412516
"23",0.32967032967033
"24",0.326315789473684
"25",0.324354657687991
"26",0.322545846817691
"27",0.320872274143302
"28",0.319319319319319
"29",0.317874396135266
"30",0.31588785046729
"31",0.314647377938517
"32",0.313485113835377
"33",0.313242784380306
"34",0.313838550247117
"35",0.3144
"36",0.315707620528771
"37",0.316187594553706
"38",0.317378497790869
"39",0.31922525107604
"40",0.321903428971309
"41",0.324453551912568
"42",0.326884589726484
"43",0.327900912646675
"44",0.328025477707006
"45",0.326899128268991
"46",0.327649208282582
"47",0.328367103694875
"48",0.329054842473746
"49",0.330857142857143
"50",0.333146696528555
"51",0.335345773874863
"52",0.33799784714747
"53",0.340021119324182
"54",0.341968911917098
"55",0.343511450381679
"56",0.345
"57",0.346758349705305
"58",0.347972972972973
"59",0.349146110056926
"60",0.350746268656716
"61",0.351376146788991
"62",0.351534296028881
"63",0.352131438721137
"64",0.351835664335664
"65",0.352130865260439
"66",0.35284139100933
"67",0.35296574770259
"68",0.353231782626595
"69",0.35349025974026
"70",0.3536
"71",0.35410094637224
"72",0.354587869362364
"73",0.355444785276074
"74",0.35590015128593
"75",0.355729749906682
"76",0.355801104972376
"77",0.355507088331516
"78",0.355220667384284
"79",0.355295784626284
"80",0.35431969220007
"81",0.35405872193437
"82",0.353462981917434
"83",0.352544657903606
"84",0.352314352314352
"85",0.352089503126028
"86",0.351869918699187
"87",0.352619736419158
"88",0.353670162059104
"89",0.355010995915803
"90",0.35632183908046
"91",0.357603686635945
"92",0.358553631115163
"93",0.359290438965725
"94",0.360309431716751
"95",0.3613074204947
"96",0.362762237762238
"97",0.364186851211073
"98",0.365582191780822
"99",0.366949152542373
"100",0.368288590604027
"101",0.369149819994461
"102",0.369720241360395
"103",0.37055148057593
"104",0.370290635091496
"105",0.369936034115139
"106",0.370116156282999
"107",0.369769874476987
"108",0.369948186528497
"109",0.369866529774127
"110",0.369277721261445
"111",0.368699596774194
"112",0.368131868131868
"113",0.368316831683168
"114",0.369234543670265
"115",0.369649805447471
"116",0.369816779170685
"117",0.369980879541109
"118",0.370142180094787
"119",0.370535714285714
"120",0.37022367194781
"121",0.369916820702403
"122",0.369844179651696
"123",0.369772727272727
"124",0.369702434625789
"125",0.369409660107335
"126",0.368899733806566
"127",0.368397887323944
"128",0.367903930131004
"129",0.36763431542461
"130",0.366938950988822
"131",0.366254266211604
"132",0.3653683319221
"133",0.364285714285714
"134",0.363219349457882
"135",0.36237582781457
"136",0.361750205423172
"137",0.361337683523654
"138",0.360931174089069
"139",0.360530546623794
"140",0.360135674381484
"141",0.359548335974643
"142",0.359166011014949
"143",0.3587890625
"144",0.358417377812258
"145",0.358050847457627
"146",0.357880642693191
"147",0.357712765957447
"148",0.357547169811321
"149",0.357571214392804
"150",0.357594936708861
"151",0.357618343195266
"152",0.357641440117561
"153",0.357481751824818
"154",0.357324147933285
"155",0.357528818443804
"156",0.357909806728704
"157",0.358285917496444
"158",0.358480565371025
"159",0.358497191011236
"160",0.358513607815771
"161",0.35870319001387
"162",0.358890420399724
"163",0.359246575342466
"164",0.359428182437032
"165",0.359607577807848
"166",0.359784801613988
"167",0.360127005347594
"168",0.360192723043695
"169",0.360422860918401
"170",0.360650353095746
"171",0.360548661005879
"172",0.360772852735834
"173",0.36099451081692
"174",0.361213677957939
"175",0.361590038314176
"176",0.361803460866804
"177",0.362014524786865
"178",0.361909247919611
"179",0.361492816989382
"180",0.360925609566703
"181",0.36036453506333
"182",0.359864781807007
"183",0.359620968974477
"184",0.359227728792946
"185",0.358590441621295
"186",0.358411074330424
"187",0.358586614762689
"188",0.35885595113958
"189",0.359069353882632
"190",0.359133126934985
"191",0.359342915811088
"192",0.359550561797753
"193",0.359901277584204
"194",0.360104001155568
"195",0.360160965794769
"196",0.35993135993136
"197",0.359704040978941
"198",0.359478974939827
"199",0.359115243730628
"200",0.358614888546194
"201",0.358119419642857
"202",0.35748993474941
"203",0.356728378004974
"204",0.355974150969339
"205",0.355227148330597
"206",0.354487266784693
"207",0.354113023444911
"208",0.353925006743998
"209",0.353738756880118
"210",0.353420630678781
"211",0.353371458970608
"212",0.35332274291766
"213",0.353096179183136
"214",0.352871754523997
"215",0.352649438788828
"216",0.352474990255944
"217",0.352256562782879
"218",0.352168876303257
"219",0.35208199871877
"220",0.351740849381456
"221",0.351529770217088
"222",0.351573360293188
"223",0.351490753553906
"224",0.351659361302442
"225",0.35182645555417
"226",0.351867940920938
"227",0.352032620783393
"228",0.352072825685816
"229",0.352112676056338
"230",0.352152176563834
"231",0.352191331795557
"232",0.35210927112293
"233",0.352148272957035
"234",0.352186938286399
"235",0.352225271447321
"236",0.352144469525959
"237",0.352064355849994
"238",0.352102721168571
"239",0.352258064516129
"240",0.352528910174045
"241",0.352913807142026
"242",0.353295494034519
"243",0.353558657284577
"244",0.353819643882826
"245",0.353964077336689
"246",0.353993391819528
"247",0.354022466810394
"248",0.35405130523223
"249",0.353967360720315
"250",0.353996188768075
"251",0.354024785084292
"252",0.354053152451907
"253",0.353970539373131
"254",0.35399889685604
"255",0.354175824175824
"256",0.35424192665572
"257",0.354416575790622
"258",0.354372623574145
"259",0.354112554112554
"260",0.353854447439353
"261",0.353383458646617
"262",0.352878236678793
"263",0.352376891920699
"264",0.351879379910809
"265",0.351385656864819
"266",0.350895679662803
"267",0.350409405836658
"268",0.349717632294499
"269",0.349135236507606
"270",0.348557193273822
"271",0.347983453981386
"272",0.347516999793942
"273",0.346951344693081
"274",0.346492125178973
"275",0.346036274709599
"276",0.345685279187817
"277",0.345336839975723
"278",0.344990929248135
"279",0.344747941353685
"280",0.344641248874212
"281",0.34443558037495
"282",0.344296502384738
"283",0.344059405940594
"284",0.343823993685872
"285",0.34368855682265
"286",0.34375
"287",0.343615775087856
"288",0.343482490272374
"289",0.343447072508724
"290",0.343315301391036
"291",0.343184443588756
"292",0.342958557175748
"293",0.34263862332696
"294",0.342416158536585
"295",0.342195214584125
"296",0.341975775927328
"297",0.341852131271218
"298",0.341823308270677
"299",0.341701011614837
"300",0.341579536967887
"301",0.341458876069966
"302",0.341339020771513
"303",0.341219963031423
"304",0.341285924834193
"305",0.341259640102828
"306",0.341233528550512
"307",0.341116380882889
"308",0.340818181818182
"309",0.340521928234868
"310",0.340227601156069
"311",0.340025207057976
"312",0.339644651830581
"313",0.339266547406082
"314",0.33898002853067
"315",0.338606469960896
"316",0.338235294117647
"317",0.337866478276227
"318",0.3375
"319",0.337135837135837
"320",0.336773967809657
"321",0.336414370422044
"322",0.33605702364395
"323",0.335701906412478
"324",0.335348997926745
"325",0.334912159834654
"326",0.334478021978022
"327",0.334132146525163
"328",0.333788395904437
"329",0.333531813542021
"330",0.333276797829037
"331",0.333023334460602
"332",0.332687120701281
"333",0.332436974789916
"334",0.332272117962466
"335",0.332052460111937
"336",0.3320006663335
"337",0.331949173656673
"338",0.331897979463398
"339",0.331847081165882
"340",0.331714144574345
"341",0.331636841241175
"342",0.331559993452284
"343",0.331483597192753
"344",0.331407648494711
"345",0.331494402076911
"346",0.331499757320822
"347",0.331505081464752
"348",0.331590799420943
"349",0.331595829991981
"350",0.331680793219255
"351",0.331765268697177
"352",0.331769756718079
"353",0.331774219121611
"354",0.331699604743083
"355",0.331704240895475
"356",0.331787454802704
"357",0.331870199090767
"358",0.331874316085665
"359",0.331878409976617
"360",0.331960205191979
"361",0.332041543946675
"362",0.332122430051012
"363",0.332202867273008
"364",0.33228285933897
"365",0.332362409934079
"366",0.332365081791775
"367",0.332291507851807
"368",0.332218336627642
"369",0.332221379833207
"370",0.332148797822471
"371",0.332152013271
"372",0.332230410588058
"373",0.332158392080396
"374",0.332311144353029
"375",0.332388482768909
"376",0.332391013242077
"377",0.332343993470357
"378",0.332346629171909
"379",0.332275444682264
"380",0.332278248067722
"381",0.332427868732105
"382",0.332454598711189
"383",0.332481192023957
"384",0.332507649715868
