"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,162,357,465,258,268,289,258,453,342,372,184,371
"2",2,354,548,465,258,452,283,452,450,531,364,373,366
"3",3,548,748,465,258,642,289,640,451,722,373,564,364
"4",4,165,362,258,69,274,100,273,255,348,177,196,176
"5",5,359,548,258,69,455,98,456,252,533,175,376,177
"6",6,548,730,258,69,623,98,631,250,704,169,553,174
