"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,152,348,465,265,258,284,245,444,326,366,171,359
"2",2,348,540,465,265,446,286,439,448,520,371,364,361
"3",3,540,734,469,258,634,287,637,452,712,374,555,367
"4",4,160,359,265,69,270,101,264,252,344,177,187,174
"5",5,359,539,265,69,451,101,447,254,526,180,369,175
"6",6,539,720,258,69,619,103,623,252,700,177,546,177
