Repetition,Trial,Position,DishID,Orientation,BUG_CONDITION
4,2,3,9,4,A
4,2,4,5,1,F
4,2,5,7,4,A
4,2,6,8,2,A
4,2,7,4,1,F
4,2,8,3,3,F
4,2,9,10,3,A
4,2,10,2,4,F
4,2,11,6,3,F
4,2,12,11,1,A
4,3,1,6,3,K
4,3,2,7,3,A
4,3,3,1,2,F
4,3,4,4,2,F
4,3,5,2,1,A
4,3,6,5,2,F
4,3,7,11,1,A
4,3,8,12,4,A
4,3,9,10,1,A
4,3,10,3,1,A
4,3,11,8,2,A
4,3,12,9,3,A
4,4,1,8,2,A
4,4,2,2,1,F
4,4,3,7,3,A
4,4,4,5,4,A
4,4,5,4,1,F
4,4,6,9,3,A
4,4,7,12,2,A
4,4,8,10,2,A
4,4,9,11,1,A
4,4,10,1,3,F
4,4,11,3,1,F
4,4,12,6,1,F
4,5,1,5,1,F
4,5,2,6,2,F
4,5,3,3,2,F
4,5,4,8,1,A
4,5,5,11,2,A
4,5,6,7,1,A
4,5,7,4,1,F
4,5,8,10,4,A
4,5,9,12,1,A
4,5,10,9,4,A
4,5,11,2,3,F
4,5,12,1,3,F
4,6,1,11,3,A
4,6,2,2,3,A
4,6,3,1,2,F
4,6,4,4,4,F
4,6,5,12,3,A
4,6,6,9,3,A
4,6,7,6,2,F
4,6,8,10,3,A
4,6,9,7,2,A
4,6,10,5,4,A
4,6,11,8,1,A
4,6,12,3,2,A
