"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,150,320,393,220,247,232,245,372,317,303,166,301
"2",2,320,494,393,228,409,238,412,382,485,309,340,311
"3",3,494,662,393,228,566,244,567,386,637,314,500,312
"4",4,150,330,220,50,250,61,250,213,320,138,170,137
"5",5,330,494,228,65,417,77,414,222,489,153,345,147
"6",6,494,670,228,65,584,77,582,224,656,153,512,151
