"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,173,374,468,271,288,292,283,451,360,375,207,372
"2",2,374,568,468,271,465,293,474,456,552,369,392,377
"3",3,568,780,468,271,676,289,681,450,736,371,602,364
"4",4,173,374,271,90,292,109,297,255,368,179,215,187
"5",5,374,568,271,90,470,109,463,258,545,187,388,183
"6",6,568,762,271,90,659,103,665,252,737,180,589,180
