"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,182,378,468,271,299,289,291,462,367,370,214,368
"2",2,378,582,468,271,479,280,483,447,561,362,402,363
"3",3,582,793,468,271,679,283,695,446,766,363,605,364
"4",4,182,379,271,90,303,111,292,257,371,187,221,182
"5",5,379,568,271,90,477,104,469,253,545,182,395,176
"6",6,568,781,271,90,667,104,676,255,749,180,592,180
