"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,149,348,456,258,264,286,247,444,329,371,174,361
"2",2,348,540,456,258,448,282,439,448,526,369,363,357
"3",3,540,734,456,258,634,281,636,442,709,365,557,357
"4",4,149,359,258,69,274,98,258,245,341,178,189,169
"5",5,359,536,258,69,449,95,441,245,527,175,372,167
"6",6,536,720,258,69,617,93,619,244,701,172,541,170
