"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,360,465,258,275,285,268,447,348,368,192,365
"2",2,360,547,465,258,454,286,447,445,529,368,373,362
"3",3,547,745,466,258,646,287,642,450,719,374,565,366
"4",4,168,363,258,69,283,97,266,252,350,179,196,168
"5",5,363,545,258,69,459,99,455,251,533,175,377,173
"6",6,545,735,258,69,628,98,627,251,708,175,555,172
