"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,345,420,220,269,230,250,389,337,316,174,302
"2",2,345,525,420,230,436,239,425,392,512,317,350,308
"3",3,525,712,420,230,608,243,602,400,686,328,532,318
"4",4,160,345,220,30,269,47,261,201,345,133,175,118
"5",5,345,525,230,48,448,56,435,209,519,146,360,128
"6",6,525,712,230,48,615,65,616,225,693,143,542,144
