"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,150,330,405,228,248,242,238,384,318,313,167,312
"2",2,330,500,405,228,416,243,417,389,490,314,344,315
"3",3,500,662,405,228,581,250,568,392,645,326,508,314
"4",4,150,330,228,60,260,68,251,212,323,146,173,137
"5",5,330,500,228,60,416,73,417,218,339,147,339,147
"6",6,500,662,228,60,578,77,574,222,654,152,507,149
