"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,170,348,435,250,265,257,268,413,341,334,182,339
"2",2,348,519,435,250,436,258,435,418,506,338,355,339
"3",3,519,702,435,250,607,258,605,414,681,336,533,333
"4",4,170,340,250,69,263,90,261,246,337,170,177,167
"5",5,340,519,250,69,431,85,429,236,515,162,351,161
"6",6,519,702,250,69,595,83,601,236,674,160,525,162
