"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,173,374,468,271,292,293,278,452,359,373,207,366
"2",2,374,568,468,271,471,293,472,454,551,370,392,372
"3",3,568,780,468,271,661,289,678,450,748,364,595,371
"4",4,173,374,271,90,297,112,288,260,362,187,217,181
"5",5,374,568,271,90,466,112,473,260,541,180,395,188
"6",6,568,768,271,90,662,109,671,258,742,181,591,182
