"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,264,260,262,403,331,329,190,334
"2",2,342,513,418,239,421,265,423,409,496,335,349,339
"3",3,513,678,418,239,594,269,592,407,661,338,526,336
"4",4,168,342,239,76,265,91,264,230,336,163,333,161
"5",5,342,513,239,76,427,95,428,235,499,162,353,165
"6",6,513,678,239,76,593,91,596,230,666,161,527,162
