"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,266,261,267,406,333,328,189,334
"2",2,342,513,418,239,425,267,430,411,499,334,349,344
"3",3,513,678,418,239,590,264,594,411,666,336,521,341
"4",4,168,342,239,76,268,89,270,226,335,162,192,161
"5",5,342,513,239,76,430,91,430,234,499,162,354,163
"6",6,513,678,239,76,596,94,590,229,663,166,523,162
