"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,177,353,435,250,277,254,269,412,342,337,189,335
"2",2,353,523,435,250,441,261,437,415,517,337,361,333
"3",3,523,700,435,250,605,256,607,414,684,336,533,337
"4",4,177,353,250,69,275,91,271,247,342,173,190,167
"5",5,353,523,250,69,439,84,438,236,514,163,361,163
"6",6,523,700,250,69,600,83,604,236,671,164,529,165
