"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,269,256,265,400,337,331,189,329
"2",2,342,513,418,239,432,261,423,407,500,334,355,331
"3",3,513,678,418,239,611,254,610,404,686,335,543,329
"4",4,168,342,239,76,267,91,276,229,339,157,192,163
"5",5,342,513,239,76,434,93,430,230,501,164,363,161
"6",6,513,678,239,76,597,93,602,233,661,161,529,167
