"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,150,316,393,228,238,239,246,377,307,304,168,311
"2",2,316,482,393,228,403,242,408,382,474,310,335,315
"3",3,482,662,393,228,567,243,563,384,635,315,500,310
"4",4,150,330,228,55,253,67,251,214,322,143,173,143
"5",5,330,488,228,65,413,80,408,220,485,153,339,149
"6",6,488,662,228,65,561,80,561,223,635,155,492,156
