"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,140,316,393,220,234,226,231,374,304,302,158,302
"2",2,316,482,393,228,407,241,403,383,475,315,327,311
"3",3,482,662,393,228,562,242,561,382,634,312,493,312
"4",4,150,330,220,55,252,66,249,212,321,141,175,136
"5",5,330,494,228,65,411,72,413,217,481,148,338,146
"6",6,494,662,228,65,575,83,570,222,646,153,504,150
