"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,350,430,240,261,255,269,417,338,330,181,339
"2",2,350,523,430,240,438,258,437,414,515,337,359,335
"3",3,523,700,430,240,603,246,605,404,683,325,529,325
"4",4,168,350,240,60,260,93,263,245,336,166,178,172
"5",5,350,523,240,60,435,82,440,234,514,159,361,160
"6",6,523,700,240,60,607,82,599,232,680,157,529,153
