"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,348,430,251,270,258,268,413,340,333,183,336
"2",2,348,521,430,248,434,253,436,407,513,331,356,333
"3",3,521,701,430,248,603,253,609,408,680,334,533,336
"4",4,168,343,251,69,258,94,257,243,333,168,178,169
"5",5,343,518,248,69,432,85,428,234,509,162,348,156
"6",6,518,701,248,69,595,85,604,233,673,156,525,162
