"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,173,374,468,271,290,294,283,457,360,373,206,369
"2",2,374,568,468,271,468,287,471,455,549,368,391,367
"3",3,568,762,468,271,667,283,683,444,757,359,596,365
"4",4,173,374,271,101,286,111,284,257,354,184,210,187
"5",5,374,568,271,101,463,109,467,260,542,185,391,190
"6",6,568,762,271,101,658,108,672,254,745,178,159,187
