"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,149,348,456,258,258,282,257,443,333,360,174,367
"2",2,348,540,456,258,443,280,441,443,523,362,362,357
"3",3,540,734,456,258,625,281,631,445,711,365,552,362
"4",4,149,359,258,69,268,98,260,249,340,175,186,173
"5",5,359,536,258,69,447,95,446,247,526,172,367,172
"6",6,536,735,258,69,613,97,619,248,694,172,542,176
