"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,350,420,220,270,237,261,396,342,318,183,310
"2",2,350,528,420,230,437,240,439,399,516,320,358,321
"3",3,528,712,420,230,610,244,612,398,690,322,532,325
"4",4,160,350,220,30,269,51,265,210,344,133,188,130
"5",5,350,530,230,48,444,54,446,215,526,137,369,134
"6",6,530,712,230,48,620,71,608,221,696,153,544,140
