"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,267,257,265,402,335,331,186,332
"2",2,342,513,418,239,422,258,421,408,491,335,347,332
"3",3,513,678,418,239,592,265,596,411,662,337,523,339
"4",4,168,342,239,76,266,93,263,232,334,167,189,164
"5",5,342,513,239,76,421,95,423,235,494,164,347,164
"6",6,513,678,239,76,589,92,586,232,659,164,518,160
