"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,349,420,220,269,237,263,391,343,317,178,313
"2",2,349,525,420,230,437,245,431,397,517,323,359,315
"3",3,525,712,420,230,612,247,615,397,692,319,537,323
"4",4,160,349,220,30,270,55,268,210,344,134,189,132
"5",5,349,525,230,48,449,64,440,216,526,139,365,131
"6",6,525,712,230,48,617,72,616,226,693,147,540,147
