"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,350,420,220,269,233,261,389,340,314,176,306
"2",2,350,530,420,220,438,237,433,391,518,316,355,306
"3",3,530,712,420,230,614,241,613,397,693,324,536,318
"4",4,160,350,220,35,273,53,275,205,347,133,183,131
"5",5,350,530,220,35,444,54,447,210,525,135,366,134
"6",6,530,712,230,48,622,65,617,221,699,151,546,141
