"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,345,435,250,268,257,260,416,339,340,187,333
"2",2,345,525,435,250,431,264,433,422,512,340,353,346
"3",3,525,700,435,250,606,268,603,421,678,348,530,339
"4",4,160,345,250,60,266,90,261,246,338,169,177,171
"5",5,345,525,250,60,432,88,431,237,510,163,357,161
"6",6,525,700,250,60,596,78,615,234,681,151,535,166
