"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,348,410,220,277,233,260,389,342,313,186,303
"2",2,348,530,410,230,439,234,428,392,514,321,358,314
"3",3,530,712,410,230,610,244,610,395,686,321,536,319
"4",4,160,348,220,30,270,46,265,208,342,133,185,127
"5",5,348,530,230,48,444,60,442,214,524,137,365,135
"6",6,530,712,230,48,620,63,614,218,699,144,546,140
