"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,170,348,435,250,265,256,266,416,340,336,185,337
"2",2,348,519,435,250,438,254,431,409,517,336,358,327
"3",3,519,702,435,250,602,257,604,415,680,337,529,336
"4",4,170,340,250,69,262,94,262,246,333,167,186,172
"5",5,340,519,250,69,434,90,432,242,510,167,354,165
"6",6,519,690,250,69,596,87,600,238,669,163,524,164
