"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,150,316,393,228,242,234,236,378,306,308,158,308
"2",2,316,482,393,228,403,237,401,385,476,311,322,310
"3",3,482,662,393,228,555,238,557,379,623,309,486,306
"4",4,150,330,228,55,251,62,250,212,317,142,176,141
"5",5,330,494,228,55,412,80,413,218,486,151,337,150
"6",6,494,662,228,55,570,75,568,219,641,150,502,150
