"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,265,259,259,400,329,331,186,330
"2",2,342,513,418,239,426,262,427,405,498,333,352,336
"3",3,513,678,418,239,593,262,589,406,661,336,521,332
"4",4,168,342,239,76,266,87,263,229,331,161,190,158
"5",5,342,513,239,76,426,90,428,231,498,160,357,165
"6",6,513,678,239,76,591,93,590,227,661,163,523,163
