"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,149,348,456,258,259,278,259,445,334,358,176,363
"2",2,348,540,456,258,447,277,446,445,527,358,366,357
"3",3,540,734,456,258,630,272,639,443,719,356,559,357
"4",4,149,359,258,69,272,91,269,244,344,170,183,169
"5",5,359,538,258,69,447,91,449,240,530,166,371,168
"6",6,538,735,258,69,617,90,620,243,698,170,544,166
