"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,140,316,410,228,239,238,234,383,310,312,159,310
"2",2,316,482,410,228,401,245,404,386,479,313,328,316
"3",3,482,662,410,228,567,244,560,384,635,316,494,311
"4",4,140,330,228,65,247,71,243,216,316,148,171,142
"5",5,330,494,228,65,415,80,412,222,488,153,338,149
"6",6,494,662,228,65,570,78,569,219,644,153,501,150
