"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,160,350,415,220,269,230,263,389,340,313,177,311
"2",2,350,525,415,230,437,235,433,394,512,319,356,312
"3",3,525,712,415,230,622,242,616,396,699,324,543,319
"4",4,160,355,220,30,274,48,267,207,348,133,187,126
"5",5,355,530,230,48,449,59,438,216,523,142,364,132
"6",6,530,712,230,48,626,71,620,224,700,153,533,145
