"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,168,342,418,239,263,263,259,404,330,333,186,333
"2",2,342,513,418,239,422,265,423,405,496,338,351,337
"3",3,513,678,418,239,593,264,589,406,658,336,522,331
"4",4,168,342,239,76,265,93,263,233,329,165,193,162
"5",5,342,513,239,76,419,87,426,229,496,159,353,164
"6",6,513,678,239,76,588,91,590,231,662,163,521,162
