"","Tray","MXL","MXR","MYT","MYB","BPX","BPY","TPX","TPY","RPX","RPY","LPX","LPY"
"1",1,184,385,472,271,299,294,289,456,367,376,218,374
"2",2,385,578,468,271,478,286,482,447,557,368,404,368
"3",3,578,793,468,271,680,286,692,448,767,364,605,367
"4",4,184,385,271,90,306,108,298,257,371,183,222,180
"5",5,385,572,271,90,480,115,476,263,552,191,403,187
"6",6,572,773,271,90,669,108,676,260,749,183,595,185
