,,,GRUPO 1 (SIN INFECCION),,,,,,,,,,,,,,,,GRUPO 2 (infectado con TC 35),,,,,,,,,,,,,,,
,,frasco( 50 c/u),NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,,NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,
semana,Fecha,frasco,Viv1c,Muec1,Viv2c,Mue2c,Viv3c,Mue3c,Viv4c,Mue4c,Viv5c,Mue5c,Vivmc,Muemc,Vivhc,Muehc,Vivtc,Muetc,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett
20,1/19/2015,B,,,,,,,,,,,6,0,5,2,11,39,,,,,,,,,,,13,1,8,3,21,29
21,1/26/2014,A,,,,,,,,,,,3,1,0,0,3,47,,,,,,,,,,,12,0,2,1,14,36
21,1/26/2014,B,,,,,,,,,,,5,1,5,0,10,40,,,,,,,,,,,13,0,8,0,21,29
22,02/02/2015,A,,,,,,,,,,,3,0,,,3,47,,,,,,,,,,,12,0,2,0,14,36
22,02/02/2015,B,,,,,,,,,,,4,1,3,2,7,43,,,,,,,,,,,12,1,8,0,20,30
23,02/09/2015,A,,,,,,,,,,,3,0,,,3,47,,,,,,,,,,,11,1,2,0,13,37
23,02/09/2015,B,,,,,,,,,,,3,1,1,2,4,46,,,,,,,,,,,9,2,8,0,17,33
24,2/16/2015,A,,,,,,,,,,,3,0,,,3,47,,,,,,,,,,,9,2,2,0,11,39
24,2/16/2015,B,,,,,,,,,,,3,0,0,1,3,47,,,,,,,,,,,8,1,7,1,15,35
25,2/23/2015,A,,,,,,,,,,,3,0,,,3,47,,,,,,,,,,,9,0,2,0,11,39
25,2/23/2015,B,,,,,,,,,,,2,1,,,2,48,,,,,,,,,,,8,2,7,0,15,35
26,02/03/2015,A,,,,,,,,,,,3,0,,,3,47,,,,,,,,,,,9,0,2,0,11,39
26,02/03/2015,B,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,6,0,6,1,12,38
27,09/03/2015,A,,,,,,,,,,,2,1,,,2,48,,,,,,,,,,,8,1,1,1,9,41
27,09/03/2015,B,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,6,0,5,1,11,39
28,16/03/2015,A,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,8,0,1,0,9,41
28,16/03/2015,B,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,6,0,3,2,9,41
29,23/03/2015,A,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,8,0,1,0,9,41
29,23/03/2015,B,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,4,2,3,0,7,43
30,30/03/2015,A,,,,,,,,,,,1,1,,,1,49,,,,,,,,,,,8,0,1,0,9,41
30,30/03/2015,B,,,,,,,,,,,2,0,,,2,48,,,,,,,,,,,3,1,3,0,6,44
31,06/04/2015,A,,,,,,,,,,,0,1,,,0,50,,,,,,,,,,,8,0,1,0,9,41
31,06/04/2015,B,,,,,,,,,,,1,1,,,1,49,,,,,,,,,,,2,1,3,0,5,45
32,13/04/2015,A,,,,,,,,,,,,,,,0,50,,,,,,,,,,,8,0,1,0,9,41
32,13/04/2015,B,,,,,,,,,,,1,0,,,1,49,,,,,,,,,,,2,0,3,0,5,45
33,20/04/2015,A,,,,,,,,,,,,,,,0,50,,,,,,,,,,,7,1,1,0,8,42
33,20/04/2015,B,,,,,,,,,,,1,0,,,1,49,,,,,,,,,,,2,0,2,1,4,46
34,27/04/2015,A,,,,,,,,,,,,,,,0,50,,,,,,,,,,,7,0,1,0,8,42
34,27/04/2015,B,,,,,,,,,,,1,0,,,1,49,,,,,,,,,,,1,1,1,1,2,48
35,04/05/2015,A,,,,,,,,,,,,,,,0,50,,,,,,,,,,,6,1,1,0,7,43
35,04/05/2015,B,,,,,,,,,,,1,0,,,1,49,,,,,,,,,,,0,1,1,0,1,49
36,11/05/2015,A,,,,,,,,,,,,,,,0,50,,,,,,,,,,,5,1,1,0,6,44
36,11/05/2015,B,,,,,,,,,,,0,1,,,0,50,,,,,,,,,,,,,1,0,1,49
