DATE,DAY,INSECT,TREATMENT,STRAIN,QUAD,LOCATION,STATUS,ALIVE,DEAD,KNOCKDOWN,NOTES
26-Mar-15,2,T-CO-ECL-2-A,CO,ECL,2,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-CO-ECL-2-B,CO,ECL,2,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-CO-ECL-2-C,CO,ECL,2,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-CO-ECL-3-A,CO,ECL,3,PETRI_D2,A,,,,still fine
26-Mar-15,2,T-CO-ECL-3-B,CO,ECL,3,PETRI_D2,A,,,,still fine
26-Mar-15,2,T-CO-ECL-3-C,CO,ECL,3,PETRI_D2,D,,,,still dead
26-Mar-15,2,T-CO-ECL-4-A,CO,ECL,4,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-CO-ECL-4-B,CO,ECL,4,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-CO-ECL-4-C,CO,ECL,4,PETRI_D2,A,,,,alive and walking
26-Mar-15,2,T-5A-ECL-1-A,5A,ECL,1,PETRI_D2,K,,,,"alive, but on back twitching"
26-Mar-15,2,T-5A-ECL-1-B,5A,ECL,1,PETRI_D2,K,,,,"alive, but on back twitching"
26-Mar-15,2,T-5A-ECL-1-C,5A,ECL,1,PETRI_D2,K,,,,"alive, but on back twitching"
26-Mar-15,2,T-5A-ECL-2-A,5A,ECL,2,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-2-B,5A,ECL,2,PETRI_D2,K,,,,"alive on back twitching, very unresponsive"
26-Mar-15,2,T-5A-ECL-2-C,5A,ECL,2,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-3-A,5A,ECL,3,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-3-B,5A,ECL,3,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-3-C,5A,ECL,3,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-4-A,5A,ECL,4,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-4-B,5A,ECL,4,PETRI_D2,K,,,,alive on back twitching
26-Mar-15,2,T-5A-ECL-4-C,5A,ECL,4,PETRI_D2,K,,,,alive on back twitching
27-Mar-15,3,T-CF-ECL-1-A,CF,ECL,1,,A,,,,alive but slow
27-Mar-15,3,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
27-Mar-15,3,T-CF-ECL-1-C,CF,ECL,1,,A,,,,
27-Mar-15,3,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
27-Mar-15,3,T-CF-ECL-2-B,CF,ECL,2,,A,,,,
27-Mar-15,3,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
27-Mar-15,3,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
27-Mar-15,3,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
27-Mar-15,3,T-CF-ECL-3-C,CF,ECL,3,,D,,,,1 Dead
27-Mar-15,3,T-CF-ECL-4-A,CF,ECL,4,,A,,,,
27-Mar-15,3,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
27-Mar-15,3,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
27-Mar-15,3,T-CO-ECL-1-A,CO,ECL,1,,D,,,,Dead
27-Mar-15,3,T-CO-ECL-1-B,CO,ECL,1,,A,,,,alive and walking
27-Mar-15,3,T-CO-ECL-1-C,CO,ECL,1,,A,,,,alive and walking
27-Mar-15,3,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
27-Mar-15,3,T-CO-ECL-2-B,CO,ECL,2,,A,,,,
27-Mar-15,3,T-CO-ECL-2-C,CO,ECL,2,,A,,,,
27-Mar-15,3,T-CO-ECL-3-A,CO,ECL,3,,A,,,,
27-Mar-15,3,T-CO-ECL-3-B,CO,ECL,3,,A,,,,
27-Mar-15,3,T-CO-ECL-3-C,CO,ECL,3,,D,,,,
27-Mar-15,3,T-CO-ECL-4-A,CO,ECL,4,,A,,,,
27-Mar-15,3,T-CO-ECL-4-B,CO,ECL,4,,A,,,,
27-Mar-15,3,T-CO-ECL-4-C,CO,ECL,4,,A,,,,
27-Mar-15,3,T-5A-ECL-1-A,5A,ECL,1,,K,,,,on back twitching
27-Mar-15,3,T-5A-ECL-1-B,5A,ECL,1,,D,,,,dead
27-Mar-15,3,T-5A-ECL-1-C,5A,ECL,1,,K,,,,on back twitching
27-Mar-15,3,T-5A-ECL-2-A,5A,ECL,2,,K,,,,on back twitching
27-Mar-15,3,T-5A-ECL-2-B,5A,ECL,2,,D,,,,dead
27-Mar-15,3,T-5A-ECL-2-C,5A,ECL,2,,K,,,,on back twitching
27-Mar-15,3,T-5A-ECL-3-A,5A,ECL,3,,K,,,,alive but on back twitching
27-Mar-15,3,T-5A-ECL-3-B,5A,ECL,3,,K,,,,alive but on back twitching
27-Mar-15,3,T-5A-ECL-3-C,5A,ECL,3,,K,,,,alive but on back twitching
27-Mar-15,3,T-5A-ECL-4-A,5A,ECL,4,,D,,,,dead
27-Mar-15,3,T-5A-ECL-4-B,5A,ECL,4,,K,,,,DARK IN COLOR AND LEFT DARK SPOTS UNDER BUGS
27-Mar-15,3,T-5A-ECL-4-C,5A,ECL,4,,K,,,,DARK IN COLOR AND LEFT DARK SPOTS UNDER BUGS
29-Mar-15,5,T-CF-ECL-1-A,CF,ECL,1,,A,,,,Abnormal perch on paper 
29-Mar-15,5,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
29-Mar-15,5,T-CF-ECL-1-C,CF,ECL,1,,K,,,,"severe impariment, looked fine, bt was not able to regrab paper, but could have fine movement"
29-Mar-15,5,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
29-Mar-15,5,T-CF-ECL-2-B,CF,ECL,2,,A,,,,"alive, but appears wet"
29-Mar-15,5,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
29-Mar-15,5,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
29-Mar-15,5,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
29-Mar-15,5,T-CF-ECL-3-C,CF,ECL,3,,D,,,,
29-Mar-15,5,T-CF-ECL-4-A,CF,ECL,4,,A,,,,
29-Mar-15,5,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
29-Mar-15,5,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
29-Mar-15,5,T-CO-ECL-1-A,CO,ECL,1,,D,,,,
29-Mar-15,5,T-CO-ECL-1-B,CO,ECL,1,,A,,,,
29-Mar-15,5,T-CO-ECL-1-C,CO,ECL,1,,A,,,,
29-Mar-15,5,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
29-Mar-15,5,T-CO-ECL-2-B,CO,ECL,2,,A,,,,But little movement
29-Mar-15,5,T-CO-ECL-2-C,CO,ECL,2,,A,,,,
29-Mar-15,5,T-CO-ECL-3-A,CO,ECL,3,,A,,,,
29-Mar-15,5,T-CO-ECL-3-B,CO,ECL,3,,A,,,,little motion
29-Mar-15,5,T-CO-ECL-3-C,CO,ECL,3,,D,,,,
29-Mar-15,5,T-CO-ECL-4-A,CO,ECL,4,,A,,,,
